,0,1,2,3,4,5,6,7,8,9,10,11,12
9,Ahmednagar,25,-4,-,,-,-,-,-,-,-,62   ,01/01/2011
8,Ahmednagar,33,2,10,-3,90,42,0,0,-2,0,62   ,01/02/2011
9,Ahmednagar,32,-1,18,3,80,9,0,0,0,0,62   ,01/03/2011
8,Ahmednagar,38,1,13,-7,55,22,0,0,-4,1,62   ,01/04/2011
8,Ahmednagar,41,2,25,2,55,18,0,10,-1,2,62   ,01/05/2011
9,Ahmednagar,39,3,22,-1,60,-1,0,0,-5,2,62   ,01/06/2011
9,Ahmednagar,33,2,21,-1,65,-14,0,6,-102,2,62   ,01/07/2011
9,Ahmednagar,27,-2,22,1,98,18,0,17,-191,3,62   ,01/08/2011
9,Ahmednagar,31,1,23,2,95,15,32,73,-229,9,62   ,01/09/2011
9,Ahmednagar,30,0,21,1,85,8,0,0,-4,14,62   ,01/10/2011
9,Ahmednagar,-,-,14,-,85,22,0,19,-61,16,62   ,01/11/2011
9,Ahmednagar,34,5,16,2,90,23,0,19,-90,164,62   ,01/12/2011
9,Ahmednagar,33,2,11,-2,75,-27,0,0,-2,0.0,62   ,02/02/2011
9,Ahmednagar,33,-1,18,2,80,43,0,0,0,1.0,62   ,02/03/2011
9,Ahmednagar,36,-1,11,-9,53,20,0,0,-4,1,62   ,02/04/2011
9,Ahmednagar,40,1,24,1,50,13,0,10,-3,2,62   ,02/05/2011
9,Ahmednagar,39,3,-,,-,-,-,-,-,-,62   ,02/06/2011
9,Ahmednagar,-,-,21,-,70,-6,0,6,-105,2,62   ,02/07/2011
9,Ahmednagar,30,1,21,0,80,0,0,17,-195,3,62   ,02/08/2011
8,Ahmednagar,31,1,-,,-,-,-,-,-,-,62   ,02/09/2011
9,Ahmednagar,33,3,-,,-,-,-,-,-,-,62   ,02/10/2011
8,Ahmednagar,33,2,13,-3,65,3,0,19,-62,16,62   ,02/11/2011
8,Ahmednagar,33,4,12,-2,90,33,0,19,-90,16,62   ,02/12/2011
9,Ahmednagar,-,-,13,-,-,80,24,0,-,-,62   ,03/01/2011
9,Ahmednagar,32,1,12,-1,65,17,0,0,-2,0,62   ,03/02/2011
9,Ahmednagar,35,1,16,0,65,28,0,0,0,1,62   ,03/03/2011
9,Ahmednagar,37,0,15,-5,57,24,0,0,-4,1,62   ,03/04/2011
8,Ahmednagar,40,1,21,-2,55,18,0,10,-4,2.0,62   ,03/05/2011
8,Ahmednagar,34,3,22,8,65,-11,0,6,-109,2,62   ,03/07/2011
9,Ahmednagar,29,0,22,1,75,-5,0,17,-202,3,62   ,03/08/2011
9,Ahmednagar,29,-1,22,1,90,10,3,77,-232,9,62   ,03/09/2011
8,Ahmednagar,-,-,21,-,85,13,0,0,-11,14,62   ,03/10/2011
6,Ahmednagar,-,-,14,-,75,13,0,19,-62,16,62   ,03/11/2011
9,Ahmednagar,-,-,12,-,75,19,0,19,-92,16,62   ,03/12/2011
9,Ahmednagar,27,-2,14,2,80,24,0,-,-,-,62   ,04/01/2011
8,Ahmednagar,33,2,11,-2,85,37,00,0,-2,0,62   ,04/02/2011
9,Ahmednagar,36,-1,15,-5,47,14,0,0,-4,1,62   ,04/04/2011
9,Ahmednagar,40,1,19,-8,57,20,0,10,-6,2,62   ,04/05/2011
9,Ahmednagar,30,1,22,1,85,5,0,17,-206,3,62   ,04/08/2011
9,Ahmednagar,28,-2,22,1,95,13,3,80,-234,9,62   ,04/09/2011
8,Ahmednagar,31,0,21,1,90,18,0,0,-15,14,62   ,04/10/2011
9,Ahmednagar,33,3,-,,-,-,-,-,-,-,62   ,04/11/2011
7,Ahmednagar,29,0,13,1,90,34,0,0,0,0,62   ,05/01/2011
9,Ahmednagar,33,2,9,-4,90,43,0,0,-2,0,62   ,05/02/2011
9,Ahmednagar,36,2,16,0,65,28,0,0,0,0,62   ,05/03/2011
9,Ahmednagar,35,-2,15,-5,35,2,0,0,-4,1,62   ,05/04/2011
9,Ahmednagar,27,-2,22,1,85,5,0,17,-209,3,62   ,05/08/2011
9,Ahmednagar,30,0,20,-1,98,16,1,80,-236,10,62   ,05/09/2011
9,Ahmednagar,33,3,-,,-,-,-,-,-,-,62   ,05/11/2011
9,Ahmednagar,35,6,13,0,95,37,0,19,-93,16,62   ,05/12/2011
9,Ahmednagar,-,-,8,-,90,35,0,-,-,-,62   ,06/01/2011
9,Ahmednagar,34,3,8,5,60,13,0,0,-2,0,62   ,06/02/2011
9,Ahmednagar,36,2,17,1,55,18,0,0,0,1,62   ,06/03/2011
9,Ahmednagar,37,0,17,-4,50,17,0,0,-5,1,62   ,06/04/2011
9,Ahmednagar,38,-1,20,-3,57,18,0,0,-6,2,62   ,06/05/2011
