,0,1,2,3,4,5,6,7,8,9,10,11,12
24,Akola,26,-4,14,1,70,18,0,-,-,-,83   ,01/01/2011
24,Akola,33,2,16,2,75,24,0,0,-11,0,83   ,01/02/2011
25,Akola,35,0,20,3,60,19,0,0,0,1,83   ,01/03/2011
24,Akola,40,1,20,-2,30,0,0,5,5,TR,83   ,01/04/2011
24,Akola,44,3,25,-2,37,4,0,29,13,3,83   ,01/05/2011
25,Akola,42,2,27,0,57,2,0,0,-3,3,83   ,01/06/2011
25,Akola,37,3,25,0,65,-10,0,139,139,17,83   ,01/07/2011
24,Akola,34,4,24,2,75,10,0,351,-,-,83   ,01/08/2011
24,Akola,32,1,23,0,85,3,0,474,-,-,83   ,01/09/2011
24,Akola,36,4,20,-2,75,-1,0,0,-2,65,83   ,01/10/2011
24,Akola,34,1,16,-2,53,-8,0,1,-45,71,83   ,01/11/2011
23,Akola,-,-,14,-,65,7,0,1,-64,71,83   ,01/12/2011
25,Akola,33,2,16,2,60,9,0,0,-11,0,83   ,02/02/2011
25,Akola,34,-1,22,5,75,38,0,0,0,1.0,83   ,02/03/2011
25,Akola,39,0,22,0,37,7,0,5,-6,TR,83   ,02/04/2011
25,Akola,41,-2,27,0,35,2,0,29,12,3,83   ,02/05/2011
25,Akola,43,3,29,2,45,-10,0,0,0,3,83   ,02/06/2011
24,Akola,37,3,25,0,65,10,TR,139,139,17,83   ,02/07/2011
24,Akola,34,4,23,0,80,-3,0,351,351,38,83   ,02/08/2011
23,Akola,31,0,23,0,85,3,0,474,-109,52,83   ,02/09/2011
24,Akola,36,4,21,1,70,-6,0,0,-5,71,83   ,02/10/2011
23,Akola,34,1,17,0,50,-11,0,1,-45,71,83   ,02/11/2011
22,Akola,33,3,12,-2,55,-3,0,1,-67,71,83   ,02/12/2011
25,Akola,27,-3,12,-1,60,8,0,0,-1,0,83   ,03/01/2011
25,Akola,34,3,13,-1,45,-6,0,0,-11,0,83   ,03/02/2011
25,Akola,36,1,22,5,80,42,0,0,-1,1,83   ,03/03/2011
25,Akola,39,0,23,1,35,5,0,5,-6,TR,83   ,03/04/2011
23,Akola,43,0,27,0,35,2,0,29,12,3.0,83   ,03/05/2011
23,Akola,41,1,25,-2,70,15,3,3,-1,4,83   ,03/06/2011
24,Akola,38,4,25,0,65,-10,0,139,-55,22,83   ,03/07/2011
24,Akola,35,5,25,2,85,2,0,351,-,38,83   ,03/08/2011
24,Akola,32,1,22,2,90,7,22,496,-93,54,83   ,03/09/2011
23,Akola,36,4,22,1,65,-6,0,0,-9,71,83   ,03/10/2011
21,Akola,-,-,15,-,60,-1,0,1,-46,71,83   ,03/11/2011
24,Akola,33,3,12,-2,60,2,0,1,-67,71,83   ,03/12/2011
25,Akola,28,-2,12,-1,75,23,0,0,-1,0,83   ,04/01/2011
24,Akola,33,2,12,-2,60,9,0,0,-12,0,83   ,04/02/2011
24,Akola,39,0,25,3,33,3,0,5,-6,TR,83   ,04/04/2011
25,Akola,42,-1,27,0,43,10,0,29,12,3,83   ,04/05/2011
24,Akola,39,1,24,-3,85,30,12,15,8,5,83   ,04/06/2011
24,Akola,37,3,25,0,70,-5,1,140,-25,17,83   ,04/07/2011
24,Akola,31,0,22,-2,85,3,6,357,-45,39,83   ,04/08/2011
24,Akola,33,2,23,-1,85,2,2,498,-95,55,83   ,04/09/2011
23,Akola,36,3,21,0,65,-6,0,0,-12,71,83   ,04/10/2011
24,Akola,34,2,14,-3,53,-8,0,1,-46,71,83   ,04/11/2011
23,Akola,29,-1,11,-2,80,28,0,0,-2,0,83   ,05/01/2011
25,Akola,34,3,12,-3,65,16,0,0,-12,0,83   ,05/02/2011
25,Akola,37,2,21,4,60,22,0,-,-,-,83   ,05/03/2011
24,Akola,39,0,21,-1,27,-3,0,5,-7,TR,83   ,05/04/2011
24,Akola,36,-4,25,-2,70,11,0,15,6,5,83   ,05/06/2011
24,Akola,29,-2,23,-1,85,3,2,259,-51,39,83   ,05/08/2011
24,Akola,34,3,22,2,80,3,39,536,-60,59,83   ,05/09/2011
11,Akola,36,3,19,-2,60,-1,0,0,-13,71,83   ,05/10/2011
24,Akola,34,2,15,-2,45,-16,0,1,-46,71,83   ,05/11/2011
24,Akola,35,5,13,0,70,10,0,2,-,72,83   ,05/12/2011
25,Akola,28,-2,6,-7,65,14,0,0,-2,0,83   ,06/01/2011
25,Akola,35,3,12,-3,50,1,0,0,-12,0,83   ,06/02/2011
25,Akola,38,3,21,4,65,27,0,-,-,-,83   ,06/03/2011
24,Akola,39,-1,23,0,40,10,0,5,-7,TR,83   ,06/04/2011
23,Akola,41,-2,27,-1,43,9,0,29,12,3,83   ,06/05/2011
24,Akola,37,-2,25,-2,75,16,5,20,20,5,83   ,06/06/2011
24,Akola,34,1,22,-2,90,12,9,149,149,18,83   ,06/07/2011
24,Akola,32,1,24,0,90,8,1,360,-58,39,83   ,06/08/2011
24,Akola,32,1,21,-3,80,-3,11,548,-52,60,83   ,06/09/2011
24,Akola,37,4,21,0,65,-6,0,0,-14,71,83   ,06/10/2011
23,Akola,-,-,15,-,53,-8,0,1,-46,71,83   ,06/11/2011
24,Akola,36,6,15,2,70,10,0,2,-68,71,83   ,06/12/2011
24,Akola,29,-1,6,-7,75,24,0,0,-3,0,83   ,07/01/2011
24,Akola,35,3,13,-2,50,1,0,0,-13,0,83   ,07/02/2011
24,Akola,39,3,21,3,58,22,0,5,3,TR,83   ,07/03/2011
25,Akola,39,-1,23,0,55,25,6,11,11,1,83   ,07/04/2011
24,Akola,41,-2,26,-2,43,9,0,29,12,3,83   ,07/05/2011
24,Akola,39,0,27,0,60,1,1,21,16,5,83   ,07/06/2011
25,Akola,33,0,23,-1,95,17,18,167,167,20,83   ,07/07/2011
24,Akola,29,-2,23,-1,90,8,0,361,-66,39,83   ,07/08/2011
23,Akola,33,2,23,-1,90,7,2,549,-54,-,83   ,07/09/2011
24,Akola,38,5,21,0,70,-1,0,0,-15,71,83   ,07/10/2011
24,Akola,36,4,15,-1,50,-10,0,1,-46,71,83   ,07/11/2011
24,Akola,34,4,-,,-,-,-,-,-,-,83   ,07/12/2011
24,Akola,28,-2,6,-7,70,19,0,0,-4,0.0,83   ,08/01/2011
25,Akola,35,3,14,-1,55,6,0,0,-13,0,83   ,08/02/2011
25,Akola,39,3,19,1,50,14,0,5,3,TR,83   ,08/03/2011
