,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Alibaug,28,-1,15,-3,67,-2,0,-,-,-,226  ,01/01/2011
0,Alibaug,28,-1,-,,-,-,-,-,-,-,226  ,01/02/2011
0,Alibaug,31,2,22,3,80,10,0,0,0,0,226  ,01/03/2011
0,Alibaug,31,0,22,-1,85,12,0,0,0,0,226  ,01/04/2011
0,Alibaug,32,1,27,3,80,6,0,0,-1,0,226  ,01/05/2011
0,Alibaug,36,5,28,2,90,29,3,0,-6,1,226  ,01/06/2011
0,Alibaug,33,3,28,2,80,-6,0,491,-100,50,226  ,01/07/2011
0,Alibaug,27,2,25,0,98,9,29,1799,67,181,226  ,01/08/2011
0,Alibaug,29,0,25,0,98,11,13,2372,526,238,226  ,01/09/2011
0,Alibaug,-,-,25,-,90,7,0,0,-11,270,226  ,01/10/2011
0,Alibaug,34,3,23,0,85,10,0,25,-62,273,226  ,01/11/2011
0,Alibaug,32,1,24,4,90,23,0,25,-74,273,226  ,01/12/2011
0,Alibaug,-,-,19,-,85,15,0,0,-1,0.0,226  ,02/02/2011
0,Alibaug,-,-,21,1,75,5,0,0,0,0.0,226  ,02/03/2011
0,Alibaug,30,-1,-,,-,-,-,-,-,-,226  ,02/04/2011
0,Alibaug,31,-1,26,0,85,11,0,0,-1,0,226  ,02/05/2011
0,Alibaug,35,4,28,2,75,14,0,0,-11,1,226  ,02/06/2011
0,Alibaug,32,0,27,1,85,-1,3,495,-138,50,226  ,02/07/2011
0,Alibaug,27,-2,25,0,90,3,18,1817,466,182,226  ,02/08/2011
0,Alibaug,29,0,25,0,95,8,93,2465,602,247,226  ,02/09/2011
0,Alibaug,32,2,-,,-,-,-,-,-,-,226  ,02/10/2011
0,Alibaug,35,4,24,2,85,13,0,25,-63,273,226  ,02/11/2011
0,Alibaug,31,0,23,3,85,18,0,25,-74,273,226  ,02/12/2011
0,Alibaug,31,2,19,1,80,11,0,0,0,0,226  ,03/01/2011
0,Alibaug,28,0,18,0,85,15,0,0,-1,0,226  ,03/02/2011
0,Alibaug,31,1,22,2,60,-10,0,0,0,0,226  ,03/03/2011
0,Alibaug,30,-1,23,0,85,12,0,0,0,0,226  ,03/04/2011
0,Alibaug,32,0,25,-1,85,11,0,0,-2,0.0,226  ,03/05/2011
0,Alibaug,35,4,26,0,75,14,0,0,-17,1,226  ,03/06/2011
0,Alibaug,31,1,25,-1,95,9,18,513,-147,52,226  ,03/07/2011
0,Alibaug,28,-1,-,,-,-,-,-,-,-,226  ,03/08/2011
0,Alibaug,29,0,25,0,95,8,67,2532,653,254,226  ,03/09/2011
0,Alibaug,32,2,25,1,90,8,0,0,-33,27,226  ,03/10/2011
0,Alibaug,31,0,21,1,80,13,0,25,-74,273,226  ,03/12/2011
0,Alibaug,30,1,20,2,85,16,0,0,0,0,226  ,04/01/2011
0,Alibaug,33,5,19,1,85,15,00,0,-1,0,226  ,04/02/2011
0,Alibaug,33,2,22,-1,85,12,0,0,0,0,226  ,04/04/2011
0,Alibaug,31,-1,25,-1,70,-4,0,0,-2,0,226  ,04/05/2011
0,Alibaug,33,2,24,-2,85,24,27,27,7,3,226  ,04/06/2011
0,Alibaug,30,0,-,,-,-,-,-,-,-,226  ,04/07/2011
0,Alibaug,29,0,25,0,95,10,61,1878,483,189,226  ,04/08/2011
0,Alibaug,28,-1,26,1,90,3,45,2571,686,258,226  ,04/09/2011
0,Alibaug,32,1,-,,-,-,-,-,-,-,226  ,04/10/2011
0,Alibaug,35,4,24,2,100,28,0,25,-64,273,226  ,04/11/2011
0,Alibaug,29,0,20,2,85,16,0,0,0,0,226  ,05/01/2011
0,Alibaug,31,3,19,1,70,0,0,0,-2,0,226  ,05/02/2011
0,Alibaug,33,3,22,2,90,20,0,0,0,0,226  ,05/03/2011
0,Alibaug,33,2,27,-1,90,17,0,0,0,0,226  ,05/04/2011
0,Alibaug,31,0,26,0,90,8,27,54,30,6,226  ,05/06/2011
0,Alibaug,29,0,25,0,85,0,23,1901,489,191,226  ,05/08/2011
0,Alibaug,-,-,25,-,95,-,11,2588,687,260,226  ,05/09/2011
0,Alibaug,32,1,25,1,85,3,0,0,-48,270,226  ,05/10/2011
0,Alibaug,35,4,-,,-,-,-,-,-,-,226  ,05/11/2011
0,Alibaug,34,4,21,2,75,7,0,25,-75,273,226  ,05/12/2011
0,Alibaug,30,1,18,0,75,6,0,0,0,0,226  ,06/01/2011
0,Alibaug,-,-,19,-,75,5,0,0,-3,0,226  ,06/02/2011
0,Alibaug,30,0,22,2,85,15,0,0,0,0,226  ,06/03/2011
0,Alibaug,33,2,23,0,85,12,0,0,0,0,226  ,06/04/2011
0,Alibaug,32,0,25,-1,80,5,0,0,-2,0,226  ,06/05/2011
0,Alibaug,30,-1,25,-1,95,13,71,124,94,13,226  ,06/06/2011
0,Alibaug,33,3,27,2,90,4,1,523,-221,53,226  ,06/07/2011
0,Alibaug,31,2,27,2,90,5,2,1903,475,191,226  ,06/08/2011
0,Alibaug,30,1,26,1,85,-2,3,2590,678,260,226  ,06/09/2011
0,Alibaug,32,1,24,0,85,3,2,2,-49,271,226  ,06/10/2011
0,Alibaug,-,-,23,-,85,13,0,25,-64,273,226  ,06/11/2011
0,Alibaug,33,3,22,3,90,22,0,25,-75,273,226  ,06/12/2011
0,Alibaug,30,2,19,1,75,5,0,0,-3,0,226  ,07/02/2011
0,Alibaug,31,1,22,2,60,-9,0,0,0,0,226  ,07/03/2011
0,Alibaug,33,2,23,0,85,12,0,0,0,0,226  ,07/04/2011
0,Alibaug,-,-,26,-,80,5,0,0,-2,0,226  ,07/05/2011
0,Alibaug,28,3,25,-1,85,3,6,130,92,14,226  ,07/06/2011
0,Alibaug,30,0,24,-1,90,4,9,621,-148,63,226  ,07/07/2011
