,0,1,2,3,4,5,6,7,8,9,10,11,12
25,Amravati,31,2,15,0,65,15,0,-,-,-,89   ,01/01/2011
25,Amravati,32,2,18,2,53,9,0,0,-12,0,89   ,01/02/2011
26,Amravati,35,2,16,-3,48,11,0,0,0,0,89   ,01/03/2011
25,Amravati,37,-,19,-,27,-3,0,0,-15,0,89   ,01/04/2011
25,Amravati,42,1,18,-9,50,19,7,20,-4,2,89   ,01/05/2011
26,Amravati,42,2,24,3,53,0,0,-,-,-,89   ,01/06/2011
26,Amravati,34,1,23,-1,70,-7,0,-,-,-,89   ,01/07/2011
25,Amravati,29,-1,22,-1,98,16,3,-,-,-,89   ,01/09/2011
25,Amravati,35,4,-,,-,-,-,-,-,-,89   ,01/10/2011
25,Amravati,-,-,16,-,80,27,0,-,-,-,89   ,01/11/2011
24,Amravati,32,3,16,0,60,13,0,-,-,-,89   ,01/12/2011
26,Amravati,32,2,17,1,53,9,0,0,-12,0,89   ,02/02/2011
26,Amravati,34,0,16,-3,70,34,0,0,-2,0.0,89   ,02/03/2011
26,Amravati,-,-,20,-,20,-10,0,-,-,-,89   ,02/04/2011
26,Amravati,38,4,24,-3,50,19,0,-,-,-,89   ,02/05/2011
26,Amravati,42,2,23,-4,43,-10,0,-,-,-,89   ,02/06/2011
25,Amravati,35,2,-,,-,-,-,-,-,-,89   ,02/07/2011
25,Amravati,30,1,22,-1,90,4,0,-,-,-,89   ,02/08/2011
24,Amravati,31,1,23,0,85,3,0,-,-,-,89   ,02/09/2011
25,Amravati,35,4,-,,-,-,-,-,-,-,89   ,02/10/2011
24,Amravati,33,1,16,-3,70,19,0,-,-,-,89   ,02/11/2011
23,Amravati,32,3,16,0,53,6,0,-,-,-,89   ,02/12/2011
26,Amravati,27,-1,13,-2,60,10,0,-,-,-,89   ,03/01/2011
26,Amravati,32,2,17,1,58,14,0,-,-,-,89   ,03/02/2011
26,Amravati,35,1,18,-1,70,34,0,0,-3,0,89   ,03/03/2011
26,Amravati,39,1,18,-6,32,2,0,-,-,-,89   ,03/04/2011
24,Amravati,38,-2,21,-6,70,17,0,-,-,-,89   ,03/06/2011
25,Amravati,35,2,25,1,70,-7,0,-,-,-,89   ,03/07/2011
25,Amravati,32,3,24,1,85,-1,0,-,-,-,89   ,03/08/2011
25,Amravati,25,-5,21,2,95,11,56,-,-,-,89   ,03/09/2011
24,Amravati,36,5,20,-2,85,18,0,-,-,-,89   ,03/10/2011
22,Amravati,33,2,17,-2,60,9,0,-,-,-,89   ,03/11/2011
25,Amravati,31,2,16,0,55,8,0,-,-,-,89   ,03/12/2011
26,Amravati,29,1,13,-2,50,0,0,-,-,-,89   ,04/01/2011
25,Amravati,-,-,16,-,32,19,0,-,-,-,89   ,04/02/2011
25,Amravati,39,1,19,-5,20,-10,0,-,-,-,89   ,04/04/2011
26,Amravati,40,-2,-,,-,-,-,-,-,-,89   ,04/05/2011
25,Amravati,39,-1,19,-8,85,32,3,-,-,-,89   ,04/06/2011
25,Amravati,36,3,-,,-,-,-,-,-,-,89   ,04/07/2011
25,Amravati,31,1,21,-2,98,15,12,-,-,-,89   ,04/08/2011
25,Amravati,26,-4,21,-2,88,4,6,-,-,-,89   ,04/09/2011
24,Amravati,36,4,20,-2,90,23,0,-,-,-,89   ,04/10/2011
25,Amravati,33,2,-,,-,-,0,-,-,-,89   ,04/11/2011
24,Amravati,30,2,12,-3,60,10,0,-,-,-,89   ,05/01/2011
26,Amravati,33,3,16,-1,50,8,0,0,-13,0,89   ,05/02/2011
26,Amravati,37,3,17,-2,55,19,0,-,-,-,89   ,05/03/2011
25,Amravati,38,0,20,4,30,0,0,-,-,-,89   ,05/04/2011
25,Amravati,39,-1,19,-7,85,28,3,6,6,-,89   ,05/06/2011
25,Amravati,25,-5,21,-2,90,7,11,-,-,-,89   ,05/08/2011
25,Amravati,27,-3,-,,-,-,-,-,-,-,89   ,05/09/2011
12,Amravati,34,2,19,-3,90,8,0,-,-,-,89   ,05/10/2011
25,Amravati,34,3,18,-1,65,14,0,-,-,-,89   ,05/11/2011
25,Amravati,32,3,16,0,59,9,0,20,-,99,89   ,05/12/2011
26,Amravati,28,0,10,-5,50,0,0,-,-,-,89   ,06/01/2011
26,Amravati,33,2,13,-4,35,-7,0,-,-,-,89   ,06/02/2011
26,Amravati,37,3,18,-1,40,4,0,-,-,-,89   ,06/03/2011
25,Amravati,37,-2,21,-3,45,15,0,-,-,-,89   ,06/04/2011
