,0,1,2,3,4,5,6,7,8,9,10,11,12
20,Aurangabad,24,-5,13,3,50,-5,0,-,-,-,77   ,01/01/2011
20,Aurangabad,31,0,14,3,75,27,0,0,-3,0,77   ,01/02/2011
21,Aurangabad,32,-1,19,5,90,49,4,0,0,0,77   ,01/03/2011
20,Aurangabad,36,-1,20,0,35,0,0,10,5,1,77   ,01/04/2011
20,Aurangabad,41,2,28,5,60,18,0,18,8,2,77   ,01/05/2011
21,Aurangabad,38,1,25,1,75,11,0,0,-1,3,77   ,01/06/2011
21,Aurangabad,33,1,-,,-,-,-,-,-,-,77   ,01/07/2011
20,Aurangabad,30,1,22,0,90,5,3,355,45,39,77   ,01/08/2011
20,Aurangabad,30,1,23,2,98,15,13,592,111,63,77   ,01/09/2011
20,Aurangabad,31,1,23,4,75,2,0,0,-7,69,77   ,01/10/2011
20,Aurangabad,31,0,17,1,60,3,0,69,10,76,77   ,01/11/2011
19,Aurangabad,32,3,17,6,65,11,0,69,-19,76,77   ,01/12/2011
21,Aurangabad,31,0,15,4,70,22,0,0,-3,0,77   ,02/02/2011
21,Aurangabad,32,-2,19,4,85,46,0,4,4,0.0,77   ,02/03/2011
21,Aurangabad,36,-1,20,0,47,12,0,10,5,1,77   ,02/04/2011
21,Aurangabad,39,0,26,3,65,23,0,18,7,2,77   ,02/05/2011
21,Aurangabad,37,0,25,1,75,11,0,0,-4,3,77   ,02/06/2011
20,Aurangabad,34,2,23,1,85,4,TR,85,-59,12,77   ,02/07/2011
20,Aurangabad,29,0,23,1,98,13,1,356,41,39,77   ,02/08/2011
19,Aurangabad,30,1,23,2,98,15,1,593,105,63,77   ,02/09/2011
20,Aurangabad,32,2,23,4,90,17,6,6,-5,70,77   ,02/10/2011
19,Aurangabad,31,0,18,4,65,8,0,69,9,76,77   ,02/11/2011
18,Aurangabad,32,3,14,3,65,11,0,69,-22,76,77   ,02/12/2011
21,Aurangabad,25,-4,13,3,75,20,0,0,0,0,77   ,03/01/2011
21,Aurangabad,32,1,15,4,55,7,0,0,-3,0,77   ,03/02/2011
21,Aurangabad,34,0,18,3,70,31,0,4,3,0,77   ,03/03/2011
21,Aurangabad,36,-1,21,1,62,12,0,10,5,1,77   ,03/04/2011
