,0,1,2,3,4,5,6,7,8,9,10,11,12
35,Bangalore A.P,28,1,15,0,100,20,0,-,-,-,-,01/01/2011
35,Bangalore A.P,29,-1,13,3,70,1,0,0,-6,0,-,01/02/2011
36,Bangalore A.P,31,-1,15,-2,80,19,0,0,0,2,-,01/03/2011
34,Bangalore A.P,34,1,21,1,80,13,0,0,-5,2,-,01/04/2011
35,Bangalore A.P,31,-2,19,-2,85,13,13,196,152,22,-,01/05/2011
36,Bangalore A.P,31,0,21,1,80,2,0,0,-1,30,-,01/06/2011
36,Bangalore A.P,31,3,20,1,90,5,0,86,15,39,-,01/07/2011
29,Bangalore A.P,28,0,19,0,90,5,1,210,43,52,-,01/08/2011
35,Bangalore A.P,26,-2,20,1,85,1,0,383,117,69,-,01/09/2011
34,Bangalore A.P,30,1,19,0,85,3,5,5,-5,86,-,01/10/2011
35,Bangalore A.P,27,-,-,-,-,-,-,-,-,-,-,01/11/2011
34,Bangalore A.P,26,0,19,3,95,18,0,146,-103,81,-,01/12/2011
36,Bangalore A.P,29,-1,14,-2,60,-9,0,0,-6,0,-,02/02/2011
36,Bangalore A.P,30,-2,16,-2,65,4,0,0,0,2.0,-,02/03/2011
36,Bangalore A.P,33,0,22,2,85,18,0,0,-6,2,-,02/04/2011
36,Bangalore A.P,31,3,21,0,85,13,3,199,151,22,-,02/05/2011
36,Bangalore A.P,32,1,20,0,90,12,4,4,2,31,-,02/06/2011
35,Bangalore A.P,30,2,19,0,90,5,4,90,17,40,-,02/07/2011
35,Bangalore A.P,29,1,20,1,85,0,0,210,40,52,-,02/08/2011
34,Bangalore A.P,28,0,20,1,90,6,5,389,120,69,-,02/09/2011
33,Bangalore A.P,29,0,20,1,95,13,2,7,-12,87,-,02/10/2011
33,Bangalore A.P,28,2,18,2,95,18,0,146,-104,81,-,02/12/2011
36,Bangalore A.P,29,2,17,2,90,10,0,0,-1,0,-,03/01/2011
36,Bangalore A.P,29,-1,14,-2,70,1,0,0,-7,0,-,03/02/2011
36,Bangalore A.P,31,-1,15,-3,53,-8,0,1,-1,2,-,03/03/2011
36,Bangalore A.P,36,3,21,1,90,23,1,0,-6,2,-,03/04/2011
28,Bangalore A.P,33,-1,20,-1,90,18,15,214,163,24.0,-,03/05/2011
33,Bangalore A.P,29,-2,20,0,85,7,0,4,-10,31,-,03/06/2011
34,Bangalore A.P,30,2,19,0,85,0,6,96,20,40,-,03/07/2011
35,Bangalore A.P,28,0,19,0,90,5,2,212,39,52,-,03/08/2011
35,Bangalore A.P,28,0,19,0,90,6,1,389,118,70,-,03/09/2011
34,Bangalore A.P,29,0,19,-1,85,4,TR,8,-21,87,-,03/10/2011
35,Bangalore A.P,29,3,16,,100,-,0,146,-105,81,-,03/12/2011
36,Bangalore A.P,27,0,15,0,95,15,0,0,-1,0,-,04/01/2011
35,Bangalore A.P,29,-1,14,-2,80,11,0,0,-8,0,-,04/02/2011
35,Bangalore A.P,33,0,20,0,75,8,0,0,-7,2,-,04/04/2011
36,Bangalore A.P,33,-1,28,-1,80,8,0,214,163,24,-,04/05/2011
