,0,1,2,3,4,5,6,7,8,9,10,11,12
1,Bhira,30,-,-,-,-,-,-,-,-,-,490  ,01/01/2011
1,Bhira,39,-,17,-,80,-,0,0,0,0,490  ,01/03/2011
1,Bhira,41,-,15,-,65,-,0,0,-1,0,490  ,01/04/2011
1,Bhira,41,-,-,-,-,-,-,-,-,-,490  ,01/05/2011
1,Bhira,37,-,21,-,90,-,0,0,-6,0,490  ,01/06/2011
1,Bhira,31,-,19,-,90,-,-,-,-,-,490  ,01/07/2011
1,Bhira,25,-,17,-,90,-,-,-,-,-,490  ,01/08/2011
1,Bhira,27,-,19,-,95,-,36,3175,-987,317,490  ,01/09/2011
1,Bhira,32,-,19,-,90,-,27,27,17,396,490  ,01/10/2011
1,Bhira,37,-,-,-,-,-,-,-,-,-,490  ,01/11/2011
1,Bhira,-,-,17,-,90,-,0,195,26,413,490  ,01/12/2011
1,Bhira,37,-,-,-,-,-,-,-,-,-,490  ,02/02/2011
1,Bhira,38,-,15,-,85,-,0,0,0,0.0,490  ,02/03/2011
1,Bhira,39,-,13,-,85,-,0,0,-1,0,490  ,02/04/2011
1,Bhira,-,-,21,-,75,-,0,0,-6,0,490  ,02/05/2011
1,Bhira,37,-,21,-,95,-,0,0,-13,0,490  ,02/06/2011
1,Bhira,30,-,19,-,90,-,-,-,-,-,490  ,02/07/2011
1,Bhira,25,-,19,-,98,-,-,-,-,-,490  ,02/08/2011
1,Bhira,27,-,19,-,95,-,108,3283,-915,328,490  ,02/09/2011
1,Bhira,33,-,19,-,100,-,33,60,39,399,490  ,02/10/2011
1,Bhira,-,-,16,-,50,-,0,195,62,413,490  ,02/11/2011
1,Bhira,38,-,15,-,100,-,0,195,26,413,490  ,02/12/2011
1,Bhira,-,-,13,-,47,-,0,-,-,-,490  ,03/01/2011
1,Bhira,37,-,13,-,48,-,0,0,0,0,490  ,03/02/2011
1,Bhira,39,-,15,-,80,-,0,0,0,0,490  ,03/03/2011
1,Bhira,-,-,12,-,85,-,0,0,-1,0,490  ,03/04/2011
1,Bhira,38,-,17,-,95,-,56,56,36,6,490  ,03/06/2011
1,Bhira,-,-,18,-,87,-,19,560,-456,56,490  ,03/07/2011
1,Bhira,25,-,17,-,95,-,5,1785,-1140,179,490  ,03/08/2011
1,Bhira,27,-,-,-,-,-,-,3352,-893,335,490  ,03/09/2011
1,Bhira,-,-,18,-,90,-,33,93,60,401,490  ,03/10/2011
1,Bhira,-,-,14,-,65,-,0,195,26,413,490  ,03/12/2011
1,Bhira,33,-,17,-,47,-,0,0,-,-,490  ,04/01/2011
1,Bhira,37,-,13,-,55,-,0,0,0,0,490  ,04/02/2011
1,Bhira,37,-,-,-,-,-,-,-,-,-,490  ,04/04/2011
1,Bhira,39,-,18,-,85,-,0,0,-6,0,490  ,04/05/2011
1,Bhira,31,-,19,-,95,-,39,95,67,9,490  ,04/06/2011
1,Bhira,27,-,19,-,98,-,12,573,-507,57,490  ,04/07/2011
1,Bhira,27,-,17,-,98,-,-,1849,-1123,185,490  ,04/08/2011
1,Bhira,25,-,19,-,99,-,175,3527,-747,353,490  ,04/09/2011
1,Bhira,33,-,18,-,90,-,0,93,55,402,490  ,04/10/2011
1,Bhira,37,-,24,-,60,-,0,195,60,413,490  ,04/11/2011
1,Bhira,34,-,15,-,57,-,0,-,-,-,490  ,05/01/2011
1,Bhira,37,-,11,-,90,-,0,0,0,0,490  ,05/02/2011
1,Bhira,39,-,15,-,85,-,0,0,0,0,490  ,05/03/2011
1,Bhira,-,-,16,-,75,-,0,0,-1,0,490  ,05/04/2011
1,Bhira,29,-,19,-,95,-,39,134,93,13,490  ,05/06/2011
1,Bhira,-,-,17,-,98,-,68,1917,-1114,192,490  ,05/08/2011
1,Bhira,27,-,19,-,98,-,44,3571,-729,357,490  ,05/09/2011
1,Bhira,32,-,17,-,95,-,4,97,52,403,490  ,05/10/2011
1,Bhira,35,-,17,-,57,-,0,195,59,413,490  ,05/11/2011
1,Bhira,39,-,15,-,90,-,0,175,24,413,490  ,05/12/2011
1,Bhira,32,-,17,-,55,-,0,0,-,-,490  ,06/01/2011
1,Bhira,39,-,-,-,-,-,-,-,-,-,490  ,06/02/2011
1,Bhira,40,-,15,-,80,-,0,0,0,0,490  ,06/03/2011
1,Bhira,38,-,16,-,75,-,0,0,-1,0,490  ,06/04/2011
1,Bhira,33,-,-,-,-,-,-,-,-,-,490  ,06/05/2011
1,Bhira,31,-,19,-,95,-,7,141,90,14,490  ,06/06/2011
1,Bhira,-,-,19,-,90,-,7,580,-598,58,490  ,06/07/2011
1,Bhira,27,-,19,-,95,-,87,2004,-1071,200,490  ,06/08/2011
1,Bhira,27,-,-,-,-,-,-,-,-,-,490  ,06/09/2011
1,Bhira,32,-,-,,-,-,-,-,-,-,490  ,06/10/2011
1,Bhira,38,-,17,-,75,-,0,195,58,413,490  ,06/11/2011
1,Bhira,-,-,15,-,90,-,0,195,24,413,490  ,06/12/2011
0,Bhira,32,-,11,-,45,-,0,-,-,-,490  ,07/01/2011
1,Bhira,39,-,11,-,85,-,0,0,0,0,490  ,07/02/2011
1,Bhira,41,-,15,-,80,-,0,0,0,0,490  ,07/03/2011
1,Bhira,40,-,17,-,80,-,0,0,-1,0,490  ,07/04/2011
1,Bhira,37,-,19,-,80,-,0,0,-6,0,490  ,07/05/2011
1,Bhira,27,-,19,-,98,-,8,149,76,15,490  ,07/06/2011
1,Bhira,27,-,19,-,98,-,13,593,-663,59,490  ,07/07/2011
1,Bhira,27,-,18,-,98,-,34,2038,-1082,204,490  ,07/08/2011
1,Bhira,-,-,16,-,90,-,10,107,51,404,490  ,07/10/2011
1,Bhira,37,-,16,-,85,-,0,195,57,413,490  ,07/11/2011
1,Bhira,-,-,15,-,80,-,0,195,24,413,490  ,07/12/2011
1,Bhira,33,-,10,-,53,-,0,-,-,-,490  ,08/01/2011
1,Bhira,37,-,11,-,90,-,0,0,0,0,490  ,08/02/2011
1,Bhira,43,-,15,-,80,-,0,0,0,0,490  ,08/03/2011
1,Bhira,40,-,18,-,90,-,0,0,-1,0,490  ,08/04/2011
1,Bhira,36,-,-,,-,-,-,-,-,-,490  ,08/05/2011
1,Bhira,-,-,17,-,90,-,55,-,-,-,490  ,08/07/2011
