,0,1,2,3,4,5,6,7,8,9,10,11,12
26,Brahmapuri,29,1,18,4,95,21,0,-,-,-,139  ,01/01/2011
26,Brahmapuri,33,3,-,,-,-,-,-,-,-,139  ,01/02/2011
27,Brahmapuri,33,0,17,1,70,10,0,-,-,0,139  ,01/03/2011
26,Brahmapuri,-,-,26,-,80,30,0,-,-,-,139  ,01/04/2011
26,Brahmapuri,41,1,28,2,68,24,0,42,5,8,139  ,01/05/2011
27,Brahmapuri,46,5,29,3,37,19,0,-,-,-,139  ,01/06/2011
27,Brahmapuri,34,1,27,2,65,-14,0,-,-,-,139  ,01/07/2011
26,Brahmapuri,28,-2,25,2,85,3,15,-,-,-,139  ,01/09/2011
26,Brahmapuri,33,2,-,,-,-,-,-,-,-,139  ,01/11/2011
25,Brahmapuri,31,2,15,0,50,-22,0,-,-,-,139  ,01/12/2011
27,Brahmapuri,33,3,17,3,85,17,0,0,-,-,139  ,02/02/2011
27,Brahmapuri,34,0,20,3,85,27,0,0,-2,0.0,139  ,02/03/2011
27,Brahmapuri,-,-,21,-,60,10,0,-,-,-,139  ,02/04/2011
27,Brahmapuri,40,-2,27,1,60,16,0,-,-,-,139  ,02/05/2011
27,Brahmapuri,43,3,31,4,40,-16,0,-,-,-,139  ,02/06/2011
26,Brahmapuri,36,3,-,,-,-,-,-,-,-,139  ,02/07/2011
26,Brahmapuri,33,4,26,3,85,5,0,-,-,-,139  ,02/08/2011
25,Brahmapuri,28,-2,24,1,85,3,13,-,-,-,139  ,02/09/2011
24,Brahmapuri,-,-,15,-,55,-17,0,-,-,-,139  ,02/12/2011
27,Brahmapuri,27,-1,15,1,90,16,0,-,-,-,139  ,03/01/2011
27,Brahmapuri,32,2,-,,-,-,-,-,-,-,139  ,03/02/2011
27,Brahmapuri,-,-,20,3,80,22,0,0,-5,0,139  ,03/03/2011
27,Brahmapuri,-,-,22,-,65,15,0,-,-,-,139  ,03/04/2011
25,Brahmapuri,-,-,31,-,45,-11,0,-,-,-,139  ,03/06/2011
26,Brahmapuri,37,4,26,1,75,-4,0,-,-,-,139  ,03/07/2011
26,Brahmapuri,33,4,25,2,90,0,26,-,-,-,139  ,03/08/2011
26,Brahmapuri,31,1,24,1,85,1,6,-,-,-,139  ,03/09/2011
25,Brahmapuri,35,4,24,2,70,-12,0,-,-,-,139  ,03/10/2011
23,Brahmapuri,-,-,15,-,53,-22,0,-,-,-,139  ,03/11/2011
26,Brahmapuri,31,2,16,1,55,-17,0,-,-,-,139  ,03/12/2011
27,Brahmapuri,-,-,12,-,75,1,0,-,-,-,139  ,04/01/2011
26,Brahmapuri,-,-,15,-,75,7,0,-,-,-,139  ,04/02/2011
26,Brahmapuri,-,-,22,-,65,15,0,-,-,-,139  ,04/04/2011
27,Brahmapuri,42,-2,-,,-,-,-,-,-,-,139  ,04/05/2011
26,Brahmapuri,43,3,26,-1,55,-1,0,-,-,-,139  ,04/06/2011
26,Brahmapuri,33,0,-,,-,-,-,-,-,-,139  ,04/07/2011
26,Brahmapuri,28,-2,-,,-,-,-,-,-,-,139  ,04/08/2011
26,Brahmapuri,31,1,25,2,90,6,6,-,-,-,139  ,04/09/2011
25,Brahmapuri,34,2,24,2,75,-7,0,-,-,-,139  ,04/10/2011
26,Brahmapuri,33,2,-,,-,-,-,-,-,-,139  ,04/11/2011
25,Brahmapuri,27,-1,9,-5,65,-9,0,-,-,-,139  ,05/01/2011
27,Brahmapuri,32,2,13,-1,65,-1,0,-,-,-,139  ,05/02/2011
27,Brahmapuri,36,2,21,4,80,22,0,-,-,-,139  ,05/03/2011
26,Brahmapuri,41,3,23,1,70,20,0,-,-,-,139  ,05/04/2011
26,Brahmapuri,39,-1,26,-1,55,-5,0,-,-,-,139  ,05/06/2011
26,Brahmapuri,28,-2,24,0,90,1,9,-,-,-,139  ,05/08/2011
26,Brahmapuri,32,2,25,2,86,1,8,-,-,-,139  ,05/09/2011
13,Brahmapuri,-,-,23,1,70,-12,0,-,-,-,139  ,05/10/2011
26,Brahmapuri,-,-,18,-,70,-5,0,-,-,-,139  ,05/11/2011
26,Brahmapuri,33,4,17,3,58,-16,0,1,-,110,139  ,05/12/2011
27,Brahmapuri,25,-3,9,-5,60,-14,0,-,-,-,139  ,06/01/2011
27,Brahmapuri,-,-,14,-,70,4,0,-,-,-,139  ,06/02/2011
27,Brahmapuri,36,2,21,4,75,17,0,-,-,-,139  ,06/03/2011
26,Brahmapuri,37,-1,23,0,85,36,0,-,-,-,139  ,06/04/2011
24,Brahmapuri,43,1,27,1,53,9,0,-,-,-,139  ,06/05/2011
26,Brahmapuri,-,-,25,-,70,10,9,-,-,-,139  ,06/06/2011
26,Brahmapuri,29,-3,24,0,70,-12,0,-,-,-,139  ,06/07/2011
26,Brahmapuri,32,2,25,2,85,1,22,-,-,-,139  ,06/09/2011
26,Brahmapuri,34,2,24,2,80,-2,-,-,-,-,139  ,06/10/2011
25,Brahmapuri,35,4,18,-1,57,-6,0,-,-,-,139  ,06/11/2011
26,Brahmapuri,31,2,18,4,60,-14,0,-,-,-,139  ,06/12/2011
26,Brahmapuri,-,-,9,-,60,-14,0,-,-,-,139  ,07/01/2011
26,Brahmapuri,37,3,-,,-,-,-,-,-,-,139  ,07/03/2011
27,Brahmapuri,39,1,23,0,75,26,0,-,-,-,139  ,07/04/2011
26,Brahmapuri,43,1,28,2,50,6,0,-,-,-,139  ,07/05/2011
26,Brahmapuri,38,-2,27,0,63,3,0,-,-,-,139  ,07/06/2011
27,Brahmapuri,-,-,25,-,85,3,4,-,-,-,139  ,07/07/2011
26,Brahmapuri,29,-1,25,1,85,-4,4,-,-,-,139  ,07/08/2011
25,Brahmapuri,28,-2,23,0,81,-3.,79,-,-,-,139  ,07/09/2011
26,Brahmapuri,-,-,24,-,65,17,0,-,-,-,139  ,07/10/2011
26,Brahmapuri,35,4,17,-1,60,-14,0,-,-,-,139  ,07/11/2011
26,Brahmapuri,27,-1,9,-5,65,9,0,-,-,-,139  ,08/01/2011
27,Brahmapuri,37,3,-,,-,-,-,-,-,-,139  ,08/03/2011
27,Brahmapuri,-,-,22,-1,90,41,2,-,-,-,139  ,08/04/2011
25,Brahmapuri,43,1,28,2,50,6,0,42,6,8,139  ,08/05/2011
26,Brahmapuri,40,0,27,0,63,3,0,-,-,-,139  ,08/06/2011
26,Brahmapuri,31,-1,25,1,80,-2,12,-,-,-,139  ,08/07/2011
26,Brahmapuri,25,-5,23,0,85,2,39,-,-,-,139  ,08/09/2011
24,Brahmapuri,34,2,24,2,70,-11,0,-,-,-,139  ,08/10/2011
25,Brahmapuri,-,-,19,-,75,26,0,-,-,-,139  ,08/11/2011
25,Brahmapuri,33,4,15,1,55,-19,0,-,-,-,139  ,08/12/2011
27,Brahmapuri,27,-1,9,-5,65,-9,0,-,-,-,139  ,09/01/2011
26,Brahmapuri,34,4,17,3,75,7,0,0,-18,-,139  ,09/02/2011
27,Brahmapuri,37,3,21,3,70,14,0,-,-,-,139  ,09/03/2011
26,Brahmapuri,37,-1,-,,-,-,-,-,-,-,139  ,09/04/2011
26,Brahmapuri,39,-1,29,2,55,-5,0,-,-,-,139  ,09/06/2011
26,Brahmapuri,31,-1,25,1,85,3,5,-,-,-,139  ,09/07/2011
26,Brahmapuri,-,-,23,-,85,2,2,-,-,-,139  ,09/09/2011
25,Brahmapuri,34,2,24,2,70,-11,0,-,-,-,139  ,09/10/2011
24,Brahmapuri,35,4,18,0,65,-9,0,-,-,-,139  ,09/11/2011
26,Brahmapuri,33,4,15,1,50,-24,0,-,-,-,139  ,09/12/2011
27,Brahmapuri,28,0,10,-4,60,-14,0,-,-,-,139  ,10/01/2011
27,Brahmapuri,34,3,17,2,80,15,0,-,-,-,139  ,10/02/2011
27,Brahmapuri,-,-,20,2,17,14,0,-,-,-,139  ,10/03/2011
26,Brahmapuri,38,0,23,0,90,41,0,-,-,-,139  ,10/04/2011
