,0,1,2,3,4,5,6,7,8,9,10,11,12
27,Buldhana,22,-5,11,-4,60,5,0,-,-,-,85   ,01/01/2011
27,Buldhana,-,-,16,-,65,-3,0,-,-,-,85   ,01/02/2011
28,Buldhana,33,1,-,,-,-,-,-,-,-,85   ,01/03/2011
27,Buldhana,41,3,26,0,47,3,0,0,-15,0,85   ,01/05/2011
28,Buldhana,39,3,27,2,55,-10,0,-,-,-,85   ,01/06/2011
28,Buldhana,33,2,28,5,70,-12,0,-,-,-,85   ,01/07/2011
27,Buldhana,29,2,22,1,98,10,94,-,-,-,85   ,01/09/2011
26,Buldhana,31,2,-,,-,-,-,-,-,-,85   ,01/10/2011
27,Buldhana,-,-,-,-,-,-,-,-,-,-,85   ,01/11/2011
26,Buldhana,30,2,17,1,53,1,0,-,-,-,85   ,01/12/2011
28,Buldhana,32,3,16,-1,65,19,0,-,-,-,85   ,02/02/2011
28,Buldhana,32,-1,19,-1,75,33,0,0,0,0.0,85   ,02/03/2011
28,Buldhana,-,-,23,-,45,7,0,-,-,-,85   ,02/04/2011
28,Buldhana,-,-,23,-,45,1,0,-,-,-,85   ,02/05/2011
28,Buldhana,39,3,27,2,60,-5,0,-,-,-,85   ,02/06/2011
27,Buldhana,35,4,-,,-,-,-,-,-,-,85   ,02/07/2011
27,Buldhana,31,4,22,1,85,-3,0,-,-,-,85   ,02/08/2011
26,Buldhana,29,2,23,2,91,3,0,-,-,-,85   ,02/09/2011
26,Buldhana,32,3,-,,-,-,-,-,-,-,85   ,02/10/2011
25,Buldhana,30,0,-,,-,-,-,-,-,-,85   ,02/11/2011
25,Buldhana,30,2,15,-1,75,23,0,-,-,-,85   ,02/12/2011
28,Buldhana,23,-4,13,-2,55,0,0,-,-,-,85   ,03/01/2011
28,Buldhana,31,2,-,,-,-,-,-,-,-,85   ,03/02/2011
28,Buldhana,33,0,20,0,55,13,0,0,-2,-,85   ,03/03/2011
28,Buldhana,37,1,24,0,32,-6,0,-,-,-,85   ,03/04/2011
27,Buldhana,35,4,23,0,75,-7,0,-,-,-,85   ,03/07/2011
27,Buldhana,32,5,24,3,90,2,0,-,-,-,85   ,03/08/2011
