,0,1,2,3,4,5,6,7,8,9,10,11,12
28,Chandrapur,27,-2,19,6,70,-3,0,-,-,-,128  ,01/01/2011
28,Chandrapur,32,1,18,3,80,14,0,0,-,-,128  ,01/02/2011
29,Chandrapur,34,0,-,,-,-,-,-,-,-,128  ,01/03/2011
27,Chandrapur,40,1,-,,-,-,-,-,-,-,128  ,01/04/2011
28,Chandrapur,40,-1,27,0,53,19,0,55,17,6,128  ,01/05/2011
29,Chandrapur,44,4,31,3,37,15,0,-,-,-,128  ,01/06/2011
29,Chandrapur,34,1,28,3,70,-5,0,-,-,-,128  ,01/07/2011
28,Chandrapur,30,-1,-,,-,-,-,-,-,-,128  ,01/09/2011
27,Chandrapur,33,2,-,,-,-,-,-,-,-,128  ,01/10/2011
28,Chandrapur,-,-,18,-,75,15,0,-,-,-,128  ,01/11/2011
27,Chandrapur,32,3,15,2,75,3,0,-,-,-,128  ,01/12/2011
29,Chandrapur,33,2,18,3,75,9,0,0,-8,0,128  ,02/02/2011
29,Chandrapur,34,-1,21,3,70,19,0,0,-1,0.0,128  ,02/03/2011
29,Chandrapur,40,1,22,-1,40,-9,0,-,-,-,128  ,02/04/2011
29,Chandrapur,40,-3,29,2,55,21,0,-,-,-,128  ,02/05/2011
29,Chandrapur,44,4,33,5,45,-7,0,-,-,-,128  ,02/06/2011
28,Chandrapur,3,2,-,,-,-,-,-,-,-,128  ,02/07/2011
28,Chandrapur,31,1,25,1,85,0,0,-,-,-,128  ,02/08/2011
27,Chandrapur,30,1,24,0,86,3,51,-,-,-,128  ,02/09/2011
27,Chandrapur,35,4,-,,-,-,-,-,-,-,128  ,02/10/2011
26,Chandrapur,32,1,-,,-,-,-,-,-,-,128  ,02/11/2011
26,Chandrapur,31,2,15,2,80,8,0,-,-,-,128  ,02/12/2011
29,Chandrapur,26,-3,15,2,65,-8,0,-,-,-,128  ,03/01/2011
29,Chandrapur,32,1,-,,-,-,-,-,-,-,128  ,03/02/2011
29,Chandrapur,34,-1,21,3,75,24,0,0,-3,0,128  ,03/03/2011
29,Chandrapur,40,1,21,-2,45,-4,0,-,-,-,128  ,03/04/2011
26,Chandrapur,42,2,30,2,60,8,0,-,-,-,128  ,03/06/2011
28,Chandrapur,37,4,-,,-,-,-,-,-,-,128  ,03/07/2011
28,Chandrapur,33,3,27,3,85,0,0,-,-,-,128  ,03/08/2011
28,Chandrapur,31,0,24,0,85,2,27,-,-,-,128  ,03/09/2011
27,Chandrapur,35,4,25,3,85,8,0,-,-,-,128  ,03/10/2011
24,Chandrapur,-,-,16,-,95,22,0,-,-,-,128  ,03/11/2011
28,Chandrapur,31,2,15,2,80,8,0,-,-,-,128  ,03/12/2011
29,Chandrapur,28,-1,-,,-,-,-,-,-,-,128  ,04/01/2011
28,Chandrapur,-,-,14,-,85,19,0,-,-,-,128  ,04/02/2011
28,Chandrapur,40,1,24,1,60,11,0,-,-,-,128  ,04/04/2011
29,Chandrapur,42,-1,-,,-,-,-,-,-,-,128  ,04/05/2011
28,Chandrapur,42,2,24,-4,85,33,77,-,-,-,128  ,04/06/2011
28,Chandrapur,32,1,24,0,86,3,10,-,-,-,128  ,04/09/2011
27,Chandrapur,33,1,23,1,90,12,10,-,-,-,128  ,04/10/2011
28,Chandrapur,31,1,-,,-,-,-,-,-,-,128  ,04/11/2011
29,Chandrapur,32,1,13,-2,75,11,0,-,-,-,128  ,05/02/2011
29,Chandrapur,36,1,22,4,70,19,0,-,-,-,128  ,05/03/2011
28,Chandrapur,40,1,25,2,50,1,0,-,-,-,128  ,05/04/2011
28,Chandrapur,37,-3,24,-3,85,29,77,-,-,-,128  ,05/06/2011
28,Chandrapur,29,-2,26,2,98,15,1,-,-,-,128  ,05/08/2011
28,Chandrapur,32,1,25,1,90,7,1,-,-,-,128  ,05/09/2011
15,Chandrapur,33,1,23,1,90,12,0,-,-,-,128  ,05/10/2011
28,Chandrapur,-,-,17,-,90,17,0,-,-,-,128  ,05/11/2011
28,Chandrapur,32,3,17,4,87,12,0,49,-,122,128  ,05/12/2011
29,Chandrapur,28,-1,8,-5,85,12,0,-,-,-,128  ,06/01/2011
29,Chandrapur,-,-,13,-,85,21,0,-,-,-,128  ,06/02/2011
29,Chandrapur,37,2,23,5,60,9,0,-,-,-,128  ,06/03/2011
28,Chandrapur,39,0,24,1,65,23,0,-,-,-,128  ,06/04/2011
26,Chandrapur,42,-1,26,-2,47,13,0,-,-,-,128  ,06/05/2011
28,Chandrapur,39,0,26,-1,90,24,14,-,-,-,128  ,06/06/2011
27,Chandrapur,27,-4,25,1,85,2,21,-,-,-,128  ,06/08/2011
