,0,1,2,3,4,5,6,7,8,9,10,11,12
2,Dahanu,26,-3,15,-2,60,-8,0,-,-,-,200  ,01/01/2011
1,Dahanu,-,-,17,-,85,16,0,0,0,0,200  ,01/02/2011
2,Dahanu,30,1,20,1,65,-2,0,0,0,0,200  ,01/03/2011
2,Dahanu,37,6,21,-2,75,4,0,0,0,0,200  ,01/04/2011
2,Dahanu,33,-1,22,1,75,0,0,0,0,0,200  ,01/05/2011
2,Dahanu,35,2,29,2,75,-8,0,0,-5,TR,200  ,01/06/2011
2,Dahanu,32,1,28,2,80,-9,0,40,-429,12,200  ,01/07/2011
2,Dahanu,27,-2,25,0,98,7,110,1141,-49,122,200  ,01/08/2011
2,Dahanu,32,3,26,1,98,10,4,1757,104,184,200  ,01/09/2011
2,Dahanu,32,0,26,3,85,8,0,0,-3,216,200  ,01/10/2011
2,Dahanu,36,4,23,1,65,-8,0,25,-27,219,200  ,01/11/2011
2,Dahanu,33,2,23,4,85,18,0,25,-41,219,200  ,01/12/2011
2,Dahanu,27,-1,17,0,55,-12,0,0,0,0.0,200  ,02/02/2011
2,Dahanu,30,1,21,1,58,-9,0,0,0,0.0,200  ,02/03/2011
2,Dahanu,30,-1,21,-2,80,9,0,0,0,0,200  ,02/04/2011
2,Dahanu,34,1,27,1,80,5,0,0,0,0,200  ,02/05/2011
2,Dahanu,36,3,29,2,70,-13,0,0,-7,TR,200  ,02/06/2011
2,Dahanu,33,2,26,0,85,-4,5,45,-454,13,200  ,02/07/2011
2,Dahanu,30,1,25,0,98,7,76,1217,-1,130,200  ,02/08/2011
2,Dahanu,32,3,25,0,98,10,52,1809,138,189,200  ,02/09/2011
2,Dahanu,32,0,25,2,90,13,3,3,-5,217,200  ,02/10/2011
2,Dahanu,35,3,25,4,55,-15,0,25,-27,219,200  ,02/11/2011
2,Dahanu,31,0,22,3,80,13,0,23,-41,219,200  ,02/12/2011
2,Dahanu,26,-2,17,0,80,12,0,0,0,0,200  ,03/01/2011
2,Dahanu,28,0,18,1,75,8,0,0,0,0,200  ,03/02/2011
2,Dahanu,31,2,21,1,57,-10,0,0,0,0,200  ,03/03/2011
2,Dahanu,32,1,23,0,80,9,0,0,0,0,200  ,03/04/2011
1,Dahanu,33,0,27,1,75,0,0,0,0,0.0,200  ,03/05/2011
2,Dahanu,36,3,27,0,70,-13,1,1,-11,TR,200  ,03/06/2011
2,Dahanu,32,1,25,-1,90,1,14,59,-461,14,200  ,03/07/2011
2,Dahanu,30,1,25,0,90,-1,1,1218,-18,130,200  ,03/08/2011
2,Dahanu,29,0,26,1,98,-,30,1839,153,192,200  ,03/09/2011
2,Dahanu,32,0,27,3,75,-6,0,3,-9,217,200  ,03/10/2011
0,Dahanu,37,5,23,2,65,-5,0,25,-28,413,200  ,03/11/2011
2,Dahanu,31,0,19,0,65,-2,0,25,-41,219,200  ,03/12/2011
2,Dahanu,27,-1,20,3,75,7,0,0,0,0,200  ,04/01/2011
2,Dahanu,33,5,19,2,60,-7,0,0,0,0,200  ,04/02/2011
2,Dahanu,33,2,21,-2,80,9,0,0,0,0,200  ,04/04/2011
2,Dahanu,32,-1,28,2,65,10,0,0,0,0,200  ,04/05/2011
2,Dahanu,33,0,27,0,80,-3,0,1,-17,TR,200  ,04/06/2011
2,Dahanu,32,1,26,0,90,1,16,75,-479,15,200  ,04/07/2011
2,Dahanu,30,1,25,0,95,5,24,1242,-11,132,200  ,04/08/2011
2,Dahanu,30,1,25,0,95,6,34,1873,172,195,200  ,04/09/2011
