,0,1,2,3,4,5,6,7,8,9,10,11,12
33,Delhi (PLM),17,-4,9,4,99,19,0,-,-,-,75   ,01/01/2011
33,Delhi (PLM),22,0,07,-2,98,34,0,0,-13,0,75   ,01/02/2011
34,Delhi (PLM),25,-1,11,1,95,26,0,0,0,1,75   ,01/03/2011
32,Delhi (PLM),35,1,-,,-,-,-,-,-,-,75   ,01/04/2011
33,Delhi (PLM),43,5,-,,-,-,-,-,-,-,75   ,01/05/2011
34,Delhi (PLM),42,1,25,-3,70,31,0,0,-1,4,75   ,01/06/2011
34,Delhi (PLM),34,-3,26,-2,75,12,0,61,13,11,75   ,01/07/2011
27,Delhi (PLM),9,5,39,3,86,6,0,272,-167,15,75   ,01/08/2011
33,Delhi (PLM),37,3,29,4,70,-10,0,-,-,-,75   ,01/09/2011
32,Delhi (PLM),34,0,22,0,60,-4,0,0,-,-,75   ,01/10/2011
33,Delhi (PLM),32,-,-,-,-,-,-,-,-,-,75   ,01/11/2011
32,Delhi (PLM),26,-3,11,2,85,16,0,0,-26,57,75   ,01/12/2011
34,Delhi (PLM),22,-1,8,1,80,2,0,0,-13,0,75   ,02/02/2011
34,Delhi (PLM),23,5,14,3,90,24,0,0,0,1.0,75   ,02/03/2011
34,Delhi (PLM),34,0,21,3,40,3,0,1,-6,1,75   ,02/04/2011
34,Delhi (PLM),41,2,27,5,33,-4,0,10,1,2,75   ,02/05/2011
34,Delhi (PLM),37,-4,23,-5,65,26,0,0,-2,4,75   ,02/06/2011
33,Delhi (PLM),35,-2,28,0,70,7,0,61,9,11,75   ,02/07/2011
33,Delhi (PLM),38,4,29,3,70,10,0,105,-179,15,75   ,02/08/2011
32,Delhi (PLM),38,4,29,4,65,15,0,-,-,-,75   ,02/09/2011
31,Delhi (PLM),34,0,22,0,60,-4,0,-,-,-,75   ,02/10/2011
31,Delhi (PLM),26,-3,12,3,85,16,0,0,-26,57,75   ,02/12/2011
34,Delhi (PLM),15,-6,8,3,85,5,0,0,-1,0,75   ,03/01/2011
34,Delhi (PLM),25,2,11,4,90,12,0,0,-13,0,75   ,03/02/2011
34,Delhi (PLM),25,-3,16,5,90,24,2,-,-,-,75   ,03/03/2011
34,Delhi (PLM),36,2,21,4,40,-9,0,1,-6,1,75   ,03/04/2011
26,Delhi (PLM),41,2,27,3,37,8,0,10,1,2.0,75   ,03/05/2011
31,Delhi (PLM),38,3,26,-2,55,16,0,0,-2,4,75   ,03/06/2011
32,Delhi (PLM),35,-2,-,,-,-,-,-,-,-,75   ,03/07/2011
33,Delhi (PLM),39,5,28,2,65,-15,0,106,-192,15,75   ,03/08/2011
33,Delhi (PLM),37,3,23,-1,75,-4,18,-,-,-,75   ,03/09/2011
32,Delhi (PLM),35,1,23,3,60,-10,0,0,-,-,75   ,03/10/2011
29,Delhi (PLM),32,2,-,,-,-,-,-,-,-,75   ,03/11/2011
