,0,1,2,3,4,5,6,7,8,9,10,11,12
34,Delhi (SFD),18,-4,8,1,95,24,0,-,-,-,78   ,01/01/2011
34,Delhi (SFD),22,-1,08,1,90,22,0,0,-22,0,78   ,01/02/2011
35,Delhi (SFD),24,-3,11,-1,80,26,0,0,0,3,78   ,01/03/2011
33,Delhi (SFD),33,-1,19,2,57,8,0,1,-6,1,78   ,01/04/2011
34,Delhi (SFD),41,3,26,4,35,-3,0,12,-9,4,78   ,01/05/2011
35,Delhi (SFD),41,0,26,-1,65,22,0,0,-1,6,78   ,01/06/2011
35,Delhi (SFD),34,-4,27,0,70,5,0,91,26,15,78   ,01/07/2011
28,Delhi (SFD),37,3,29,2,70,-8,0,124,-139,19,78   ,01/08/2011
34,Delhi (SFD),36,2,29,4,85,10,0,285,-171,35,78   ,01/09/2011
33,Delhi (SFD),35,2,23,2,60,-13,0,0,-3,57,78   ,01/10/2011
34,Delhi (SFD),32,-,-,-,-,-,-,-,-,-,78   ,01/11/2011
33,Delhi (SFD),26,6,10,0,80,28,0,0,-24,55,78   ,01/12/2011
35,Delhi (SFD),22,0,9,0,75,11,0,0,-23,0,78   ,02/02/2011
35,Delhi (SFD),22,-5,14,1,85,32,0,0,-1,3.0,78   ,02/03/2011
35,Delhi (SFD),34,0,22,5,40,-9,0,4,-11,3,78   ,02/04/2011
35,Delhi (SFD),41,2,25,3,33,-5,0,12,-9,4,78   ,02/05/2011
35,Delhi (SFD),37,-4,23,-4,65,22,0,0,-1,6,78   ,02/06/2011
34,Delhi (SFD),36,-2,28,1,70,5,0,91,22,15,78   ,02/07/2011
34,Delhi (SFD),37,3,29,2,70,-8,0,124,-147,19,78   ,02/08/2011
33,Delhi (SFD),37,3,29,4,70,-5,0,285,-176,35,78   ,02/09/2011
32,Delhi (SFD),35,2,23,2,60,-13,0,0,-5,57,78   ,02/10/2011
31,Delhi (SFD),33,2,-,,-,-,-,-,-,-,78   ,02/11/2011
32,Delhi (SFD),27,1,13,3,95,33,0,0,-24,55,78   ,02/12/2011
35,Delhi (SFD),15,-7,8,1,90,19,-,0,-2,0,78   ,03/01/2011
35,Delhi (SFD),24,2,9,0,90,26,0,0,-24,0,78   ,03/02/2011
35,Delhi (SFD),25,-2,14,1,98,45,2,2,0,3,78   ,03/03/2011
35,Delhi (SFD),34,6,20,2,45,8,0,4,-11,3,78   ,03/04/2011
27,Delhi (SFD),40,1,26,4,45,7,0,12,-10,39.0,78   ,03/05/2011
32,Delhi (SFD),37,-4,26,-1,55,12,0,0,-2,6,78   ,03/06/2011
33,Delhi (SFD),36,-2,-,,-,-,-,-,-,-,78   ,03/07/2011
34,Delhi (SFD),38,4,29,2,75,-3,0,124,-156,19,78   ,03/08/2011
34,Delhi (SFD),37,3,24,0,80,1,17,302,-164,37,78   ,03/09/2011
33,Delhi (SFD),35,2,24,3,65,6,0,0,-7,57,78   ,03/10/2011
30,Delhi (SFD),32,2,-,,-,-,-,-,-,-,78   ,03/11/2011
34,Delhi (SFD),28,-1,14,5,90,21,0,0,-25,55,78   ,03/12/2011
35,Delhi (SFD),15,-7,4,-3,98,15,0,0,-2,0,78   ,04/01/2011
34,Delhi (SFD),26,4,-,,-,-,-,-,-,-,78   ,04/02/2011
34,Delhi (SFD),31,-3,16,-1,50,1,0,4,-11,3,78   ,04/04/2011
35,Delhi (SFD),41,2,28,6,43,5,0,12,-10,39,78   ,04/05/2011
34,Delhi (SFD),39,-2,26,-1,45,2,0,0,-3,6,78   ,04/06/2011
33,Delhi (SFD),39,0,28,1,65,0,0,91,14,15,78   ,04/07/2011
32,Delhi (SFD),35,1,28,1,85,8,0,124,-165,19,78   ,04/08/2011
34,Delhi (SFD),34,0,25,1,95,16,25,327,-145,39,78   ,04/09/2011
33,Delhi (SFD),35,1,24,3,65,6,0,0,-9,57,78   ,04/10/2011
34,Delhi (SFD),32,2,15,1,85,20,0,0,-22,57,78   ,04/11/2011
