,0,1,2,3,4,5,6,7,8,9,10,11,12
4,Goa(Panjim),31,-1,19,-1,80,1,0,0,0,0,294  ,01/01/2011
3,Goa(Panjim),35,4,19,0,85,14,0,0,-1,0,294  ,01/02/2011
4,Goa(Panjim),35,4,22,0,85,11,0,0,0,0.0,294  ,01/03/2011
3,Goa(Panjim),33,1,25,1,90,15,0,0,-1,0.0,294  ,01/04/2011
3,Goa(Panjim),34,1,26,-1,71,0,0,16,4,1.56,294  ,01/05/2011
4,Goa(Panjim),35,4,25,0,78,-3,0,0,-10,1.67,294  ,01/06/2011
4,Goa(Panjim),31,3,23,-1,95,10,31,757,-176,77.4,294  ,01/07/2011
4,Goa(Panjim),28,-1,25,1,95,8,13,1688,-211,170.44,294  ,01/08/2011
4,Goa(Panjim),28,-1,24,0,99,12,62,2537,104,255.34,294  ,01/09/2011
4,Goa(Panjim),32,2,24,1,85,-3,0,0,-7,296.86,294  ,01/10/2011
4,Goa(Panjim),34,2,25,3,90,18,0,40,-89,300.89,294  ,01/11/2011
4,Goa(Panjim),33,1,25,3,94,19,0,50,-108,301.82,294  ,01/12/2011
0,Goa(Panjim),29,-1,19,1,85,6,0,0,0,0,294,02/01/2011
4,Goa(Panjim),35,-,20,-,65,-6,0,0,-1,0.0,294  ,02/02/2011
4,Goa(Panjim),36,5,22,0,80,6,0,0,0,0.0,294  ,02/03/2011
4,Goa(Panjim),34,2,22,-2,69,-6,0,0,-1,0.0,294  ,02/04/2011
4,Goa(Panjim),35,2,27,0,70,-1,0,16,4,1.56,294  ,02/05/2011
4,Goa(Panjim),34,3,27,2,80,1,0,0,-20,2,294  ,02/06/2011
4,Goa(Panjim),29,1,24,0,98,13,6,763,-206,78.0,294  ,02/07/2011
4,Goa(Panjim),31,2,23,-1,98,11,43,1731,-193,174.7,294  ,02/08/2011
3,Goa(Panjim),29,0,25,1,97,10,15,2552,105,256.86,294  ,02/09/2011
4,Goa(Panjim),33,3,25,2,83,-5,0,0,-17,296.86,294  ,02/10/2011
3,Goa(Panjim),35,3,25,3,90,15,0,40,-91,300.89,294  ,02/11/2011
3,Goa(Panjim),33,-1,24,-2,96,23,0,50,-108,301.82,294  ,02/12/2011
4,Goa(Panjim),29,-3,19,-1,90,11,0,0,0,0.0,294  ,03/01/2011
4,Goa(Panjim),35,4,20,1,75,4,0,0,-1,0.0,294  ,03/02/2011
4,Goa(Panjim),35,3,23,1,80,16,0,0,0,0.0,294  ,03/03/2011
4,Goa(Panjim),34,2,22,-2,80,5,0,0,-1,0.0,294  ,03/04/2011
3,Goa(Panjim),34,1,27,0,80,9,0,16,1,1.56,294  ,03/05/2011
3,Goa(Panjim),34,3,23,-2,100,19,44,44,14,6.04,294  ,03/06/2011
3,Goa(Panjim),27,-1,25,1,90,5,20,784,-220,800.3,294  ,03/07/2011
4,Goa(Panjim),27,-2,23,-1,95,8,166,1897,-52,191.33,294  ,03/08/2011
4,Goa(Panjim),28,-1,24,0,98,9,80,2632,174,264.84,294  ,03/09/2011
3,Goa(Panjim),32,-,24,-,95,8,0,0,-26,296.86,294  ,03/10/2011
1,Goa(Panjim),34,2,25,3,90,15,2,2,-90,301.10,294  ,03/11/2011
4,Goa(Panjim),32,0,24,2,93,20,0,50,-108,301.82,294  ,03/12/2011
4,Goa(Panjim),29,-3,21,1,90,11,0,0,-1,0.0,294  ,04/01/2011
3,Goa(Panjim),32,1,19,0,90,19,0,0,-1,0.0,294  ,04/02/2011
4,Goa(Panjim),33,1,22,-2,79,4,0,0,-1,0.0,294  ,04/04/2011
4,Goa(Panjim),34,1,25,-2,74,3,0,16,-3,1.56,294  ,04/05/2011
4,Goa(Panjim),31,0,24,-1,90,9,21,65,17,8.17,294  ,04/06/2011
4,Goa(Panjim),31,3,22,-2,95,10,42,825,-205,842.1,294  ,04/07/2011
4,Goa(Panjim),26,-3,24,0,92,5,58,1954,-13,1971.1,294  ,04/08/2011
4,Goa(Panjim),29,0,24,0,98,11,39,2671,205,268.74,294  ,04/09/2011
3,Goa(Panjim),31,1,23,-1,86,-1,0,0,-39,296.86,294  ,04/10/2011
4,Goa(Panjim),33,1,25,3,90,15,0,42,-90,301.10,294  ,04/11/2011
3,Goa(Panjim),33,1,21,1,90,11,0,0,-1,0.0,294  ,05/01/2011
4,Goa(Panjim),34,3,19,-1,73,1,0,0,-1,0,294  ,05/02/2011
4,Goa(Panjim),35,3,22,,85,11,0,0,0,0.0,294  ,05/03/2011
4,Goa(Panjim),32,0,21,-3,76,1,0,0,-2,0.0,294  ,05/04/2011
4,Goa(Panjim),31,0,25,0,95,12,20,85,17,10.19,294  ,05/06/2011
0,Goa(Panjim),30,2,24,0,100,14,4,830,-231,84.64,294,05/07/2011
4,Goa(Panjim),30,-3,25,1,95,8,9,1963,-22,197.98,294  ,05/08/2011
4,Goa(Panjim),30,1,25,1,97,10,7,2678,201,269.44,294  ,05/09/2011
4,Goa(Panjim),32,2,23,-1,90,3,0,0,-45,296.86,294  ,05/10/2011
4,Goa(Panjim),34,2,25,3,75,0,0,42,-91,301.10,294  ,05/11/2011
4,Goa(Panjim),32,0,23,1,91,18,0,50,-111,301.82,294  ,05/12/2011
4,Goa(Panjim),34,4,21,1,65,-14,0,0,-1,0.0,294  ,06/01/2011
4,Goa(Panjim),35,4,19,-1,70,-2,0,0,-1,0,294  ,06/02/2011
4,Goa(Panjim),33,1,23,1,88,14,0,0,0,0,294  ,06/03/2011
4,Goa(Panjim),32,0,22,-3,78,4,0,0,-2,0.0,294  ,06/04/2011
4,Goa(Panjim),34,1,25,-2,71,-1,0,16,-20,1.56,294  ,06/05/2011
3,Goa(Panjim),27,-4,25,0,90,7,23,108,17,12.49,294  ,06/06/2011
3,Goa(Panjim),30,2,25,1,95,9,14,844,-239,86.10,294  ,06/07/2011
4,Goa(Panjim),30,1,25,1,92,5,17,1980,-24,199.70,294  ,06/08/2011
4,Goa(Panjim),30,1,24,0,95,8,24,-,-,-,294  ,06/09/2011
4,Goa(Panjim),32,2,25,1,90,3,0,0,-47,296.86,294  ,06/10/2011
3,Goa(Panjim),34,2,25,3,65,-10,0,42,-93,301,294  ,06/11/2011
4,Goa(Panjim),32,0,22,0,90,17,0,50,-112,301.82,294  ,06/12/2011
3,Goa(Panjim),33,1,18,-2,55,-24,0,0,-1,0.0,294  ,07/01/2011
4,Goa(Panjim),35,4,19,-1,85,13,0,0,-1,0,294  ,07/02/2011
4,Goa(Panjim),34,2,22,0,90,17,0,0,0,0.0,294  ,07/03/2011
4,Goa(Panjim),32,-1,23,-2,81,7,0,0,-2,0.0,294  ,07/04/2011
4,Goa(Panjim),34,1,26,-1,70,-2,0,16,-4,1.56,294  ,07/05/2011
4,Goa(Panjim),29,-2,25,0,92,9,44,152,36,16.9,294  ,07/06/2011
4,Goa(Panjim),26,-2,23,-1,98,12,40,884,-223,90.03,294  ,07/07/2011
4,Goa(Panjim),30,1,25,1,90,3,7,1988,-44,200.44,294  ,07/08/2011
3,Goa(Panjim),30,1,24,0,95,8,39,2741,245,275.74,294  ,07/09/2011
4,Goa(Panjim),32,2,24,0,89,2,1,1,-50,296.94,294  ,07/10/2011
4,Goa(Panjim),34,2,25,3,94,21,0,42,-94,301.14,294  ,07/11/2011
4,Goa(Panjim),34,2,22,0,91,16,0,50,-112,301.82,294  ,07/12/2011
3,Goa(Panjim),33,1,17,-3,80,1,0,0,-1,0.0,294  ,08/01/2011
4,Goa(Panjim),34,3,20,0,90,18,0,0,-1,0,294  ,08/02/2011
4,Goa(Panjim),34,2,24,2,90,17,0,0,0,0.0,294  ,08/03/2011
4,Goa(Panjim),33,0,25,0,90,16,0,0,-2,0.0,294  ,08/04/2011
4,Goa(Panjim),33,0,26,-1,72,0,0,16,-4,1.56,294  ,08/05/2011
3,Goa(Panjim),31,0,25,0,99,16,11,63,18,17.9,294  ,08/06/2011
3,Goa(Panjim),25,-3,22,-2,95,9,51,935,-208,95.17,294  ,08/07/2011
4,Goa(Panjim),30,1,26,2,85,-2,TR,1988,-66,200.46,294  ,08/08/2011
4,Goa(Panjim),27,-2,24,0,94,7,35,2776,272,279.26,294  ,08/09/2011
4,Goa(Panjim),31,0,25,1,93,7,TR,1,-57,296.94,294  ,08/10/2011
