,0,1,2,3,4,5,6,7,8,9,10,11,12
5,Harnai,27,-2,17,-6,55,-3,0,-,-,-,252  ,01/01/2011
4,Harnai,29,-,22,-,55,-,0,0,0,0,252  ,01/02/2011
5,Harnai,31,3,24,1,67,5,0,0,0,0,252  ,01/03/2011
4,Harnai,31,2,25,0,33,-50,0,0,0,0,252  ,01/04/2011
4,Harnai,31,-1,26,-1,75,-1,0,0,-3,0,252  ,01/05/2011
5,Harnai,33,3,28,2,60,-24,0,0,-8,0,252  ,01/06/2011
5,Harnai,31,-2,27,3,85,-4,1,684,-30,68,252  ,01/07/2011
5,Harnai,26,-2,24,0,98,9,123,2389,849,239,252  ,01/08/2011
5,Harnai,30,2,25,1,98,10,16,3183,1090,318,252  ,01/09/2011
5,Harnai,30,1,25,1,75,-8,0,0,-9,351,252  ,01/10/2011
5,Harnai,33,3,25,0,60,-10,0,124,29,363,252  ,01/11/2011
5,Harnai,30,0,25,1,85,28,0,124,9,363,252  ,01/12/2011
5,Harnai,30,2,22,0,45,-7,0,0,0,0.0,252  ,02/02/2011
5,Harnai,31,2,24,1,55,10,0,0,0,0.0,252  ,02/03/2011
5,Harnai,29,0,21,-4,65,-8,0,0,0,0,252  ,02/04/2011
5,Harnai,30,-1,26,-1,80,4,0,0,-3,0,252  ,02/05/2011
5,Harnai,34,4,28,-,70,-14,0,0,-17,0,252  ,02/06/2011
5,Harnai,31,2,24,0,95,6,31,715,-37,71,252  ,02/07/2011
5,Harnai,28,0,23,-1,98,9,44,2433,865,243,252  ,02/08/2011
4,Harnai,29,1,24,0,98,10,118,3301,1194,330,252  ,02/09/2011
5,Harnai,30,1,25,1,80,-3,0,0,-17,351,252  ,02/10/2011
4,Harnai,32,2,25,1,55,-10,0,124,28,363,252  ,02/11/2011
4,Harnai,30,0,25,1,75,18,0,124,9,363,252  ,02/12/2011
5,Harnai,27,-2,20,-3,70,12,0,0,0,0,252  ,03/01/2011
5,Harnai,32,4,23,1,60,2,0,0,0,0,252  ,03/02/2011
