,0,1,2,3,4,5,6,7,8,9,10,11,12
36,Hyderabad,30,2,18,4,95,16,0,-,-,-,82   ,01/01/2011
36,Hyderabad,31,1,15,-1,75,5,0,0,-7,0,82   ,01/02/2011
37,Hyderabad,31,-2,20,2,80,21,0,0,0,3,82   ,01/03/2011
35,Hyderabad,39,3,20,-2,27,-,0,2,-12,3,82   ,01/04/2011
36,Hyderabad,39,1,26,0,55,7,0,8,-31,3,82   ,01/05/2011
37,Hyderabad,38,2,27,2,50,-12,0,0,-1,3,82   ,01/06/2011
37,Hyderabad,36,5,25,2,55,-24,0,36,-73,7,82   ,01/07/2011
30,Hyderabad,31,2,21,-1,85,1,0,211,-67,25,82   ,01/08/2011
36,Hyderabad,29,-1,24,2,95,13,13,452,29,49,82   ,01/09/2011
35,Hyderabad,34,4,21,0,63,-16,0,0,-4,55,82   ,01/10/2011
36,Hyderabad,33,-,-,-,-,-,-,-,-,-,82   ,01/11/2011
35,Hyderabad,32,4,17,2,65,-3,0,39,-65,59,82   ,01/12/2011
37,Hyderabad,32,2,15,-1,65,-5,0,0,-7,0,82   ,02/02/2011
37,Hyderabad,32,-1,20,1,70,13,0,0,-1,3.0,82   ,02/03/2011
37,Hyderabad,39,3,21,-1,25,-27,0,2,-14,3,82   ,02/04/2011
37,Hyderabad,38,-1,25,-1,40,-8,0,8,-32,3,82   ,02/05/2011
37,Hyderabad,40,4,23,-2,60,-2,1,1,-2,4,82   ,02/06/2011
36,Hyderabad,36,5,24,1,75,-4,4,40,-73,7,82   ,02/07/2011
36,Hyderabad,30,1,21,-1,80,-4,2,213,-71,25,82   ,02/08/2011
35,Hyderabad,31,1,23,1,85,3,5,457,29,49,82   ,02/09/2011
34,Hyderabad,34,4,22,1,60,-19,0,0,-8,55,82   ,02/10/2011
34,Hyderabad,33,5,16,1,55,-13,0,39,-65,59,82   ,02/12/2011
37,Hyderabad,28,0,17,3,85,6,0,0,-1,0,82   ,03/01/2011
37,Hyderabad,31,1,14,-2,53,17,0,0,-7,0,82   ,03/02/2011
37,Hyderabad,33,0,21,2,60,3,0,0,-1,3,82   ,03/03/2011
37,Hyderabad,36,3,21,1,90,23,1,0,-6,2,82   ,03/04/2011
34,Hyderabad,39,3,24,,65,-,0,1,-4,4,82   ,03/06/2011
35,Hyderabad,36,5,23,0,75,-4,3,42,-76,8,82   ,03/07/2011
36,Hyderabad,33,4,22,0,85,1,0,213,-76,25,82   ,03/08/2011
36,Hyderabad,30,0,23,1,80,-3,TR,457,23,49,82   ,03/09/2011
35,Hyderabad,35,5,22,1,70,-6,0,0,-11,54,82   ,03/10/2011
31,Hyderabad,29,0,-,,-,-,-,-,-,-,82   ,03/11/2011
36,Hyderabad,33,5,-,,-,-,-,40,-65,59,82   ,03/12/2011
37,Hyderabad,28,0,17,3,80,1,0,0,-1,0,82   ,04/01/2011
36,Hyderabad,31,1,15,-1,65,5,0,0,-7,0,82   ,04/02/2011
36,Hyderabad,39,3,23,1,30,-22,0,2,-14,3,82   ,04/04/2011
37,Hyderabad,41,2,25,-1,30,-18,0,8,-32,3,82   ,04/05/2011
36,Hyderabad,35,-1,24,-1,65,3,0,1,-6,4,82   ,04/06/2011
35,Hyderabad,35,4,21,-2,80,1,36,78,-45,11,82   ,04/07/2011
34,Hyderabad,28,-2,23,1,80,-2,0,213,-81,25,82   ,04/08/2011
36,Hyderabad,30,0,23,1,80,-3,TR,437,17,49,82   ,04/09/2011
35,Hyderabad,33,3,21,0,95,19,32,0,-13,54,82   ,04/10/2011
36,Hyderabad,26,-3,20,1,75,6,2,-,-,-,82   ,04/11/2011
34,Hyderabad,27,-1,14,0,65,-14,0,0,-1,0,82   ,05/01/2011
37,Hyderabad,32,2,13,-3,65,-2,0,0,-8,0,82   ,05/02/2011
37,Hyderabad,35,2,19,0,40,-17,0,0,-2,3,82   ,05/03/2011
36,Hyderabad,39,3,21,-1,35,-12,0,2,-15,3,82   ,05/04/2011
36,Hyderabad,36,0,23,-2,65,0,-,1,-8,4,82   ,05/06/2011
36,Hyderabad,31,1,21,-1,80,-2,5,218,-81,25,82   ,05/08/2011
36,Hyderabad,31,1,23,1,80,-3,7,464,19,50,82   ,05/09/2011
23,Hyderabad,29,-1,22,1,75,-1,0,25,-25,88,82   ,05/10/2011
35,Hyderabad,31,2,20,3,65,-4,0,40,-46,58,82   ,05/11/2011
36,Hyderabad,31,2,17,3,90,11,0,40,-66,58,82   ,05/12/2011
37,Hyderabad,29,1,8,-6,43,-36,0,0,-2,0,82   ,06/01/2011
37,Hyderabad,32,2,14,-2,55,-12,0,0,-8,0,82   ,06/02/2011
37,Hyderabad,36,3,18,-1,40,-17,0,0,-2,3,82   ,06/03/2011
36,Hyderabad,38,2,23,0,80,28,0,2,-16,3,82   ,06/04/2011
34,Hyderabad,40,1,25,-1,35,-13,0,8,-35,3,82   ,06/05/2011
36,Hyderabad,37,1,24,-1,60,-5,0,1,-10,4,82   ,06/06/2011
