,0,1,2,3,4,5,6,7,8,9,10,11,12
10,Jalgaon,26,-4,10,-2,43,-18,0,-,-,-,75   ,01/01/2011
9,Jalgaon,31,-1,11,-2,60,10,0,0,-4,0,75   ,01/02/2011
10,Jalgaon,35,0,14,-2,60,19,0,0,0,0,75   ,01/03/2011
9,Jalgaon,39,-1,20,-2,37,0,0,3,-3,TR,75   ,01/04/2011
9,Jalgaon,45,3,28,2,37,-10,TR,3,-5,TR,75   ,01/05/2011
10,Jalgaon,43,3,27,0,80,16,0,0,-1,1,75   ,01/06/2011
10,Jalgaon,36,3,24,-1,60,-20,0,33,-91,6,75   ,01/07/2011
10,Jalgaon,32,1,24,0,85,-2,13,278,-77,28,75   ,01/08/2011
10,Jalgaon,32,1,22,-1,96,8,10,447,-114,45,75   ,01/09/2011
10,Jalgaon,35,2,20,-2,75,-5,0,0,-2,49,75   ,01/10/2011
10,Jalgaon,34,0,15,-2,47,-18,0,0,-42,49,75   ,01/11/2011
10,Jalgaon,33,2,14,1,55,-6,0,0,-59,49,75   ,01/12/2011
10,Jalgaon,33,1,11,-2,55,5,0,0,-4,0.0,75   ,02/02/2011
10,Jalgaon,-,-,17,0,63,23,3,3,0,0.0,75   ,02/03/2011
10,Jalgaon,38,-2,20,-2,57,20,0,3,-3,TR,75   ,02/04/2011
10,Jalgaon,45,2,27,1,37,-10,0,3,-6,TR,75   ,02/05/2011
10,Jalgaon,41,1,25,-2,55,-9,0,0,-3,1,75   ,02/06/2011
10,Jalgaon,32,1,23,-1,85,-2,0,278,-83,28,75   ,02/08/2011
9,Jalgaon,30,-1,23,0,90,3,1,449,-118,45,75   ,02/09/2011
10,Jalgaon,36,3,21,-1,75,-5,0,0,-5,49,75   ,02/10/2011
9,Jalgaon,34,0,15,-1,45,-18,0,0,-43,49,75   ,02/11/2011
9,Jalgaon,33,2,10,-5,47,-14,0,0,-59,49,75   ,02/12/2011
10,Jalgaon,27,-3,7,-5,50,-11,0,0,-1,0,75   ,03/01/2011
10,Jalgaon,34,2,11,-2,53,3,0,0,-4,0,75   ,03/02/2011
10,Jalgaon,36,0,15,-2,45,5,0,3,3,0,75   ,03/03/2011
10,Jalgaon,38,-2,21,-1,45,8,0,3,-3,TR,75   ,03/04/2011
9,Jalgaon,43,0,26,0,50,3,0,3,-6,0.0,75   ,03/05/2011
8,Jalgaon,42,2,26,-1,65,1,0,0,-3,1,75   ,03/06/2011
9,Jalgaon,37,4,19,-6,65,-15,0,53,-106,6,75   ,03/07/2011
10,Jalgaon,33,2,23,-1,99,12,1,279,-91,29,75   ,03/08/2011
10,Jalgaon,32,1,23,0,90,3,1,450,-122,45,75   ,03/09/2011
9,Jalgaon,35,2,23,2,85,10,0,0,-9,49,75   ,03/10/2011
7,Jalgaon,33,0,15,-1,40,-23,0,0,-44,49,75   ,03/11/2011
10,Jalgaon,32,1,11,-2,47,-14,0,0,-59,49,75   ,03/12/2011
10,Jalgaon,26,-4,13,1,50,-11,0,0,-1,0,75   ,04/01/2011
9,Jalgaon,33,1,09,-4,55,5,0,0,-4,0,75   ,04/02/2011
10,Jalgaon,39,-1,21,-1,57,20,0,3,-3,TR,75   ,04/04/2011
10,Jalgaon,41,-2,26,0,60,13,0,3,-7,TR,75   ,04/05/2011
9,Jalgaon,37,-3,24,-3,65,1,1,1,-3,1,75   ,04/06/2011
9,Jalgaon,35,2,24,-1,60,-20,1,54,-109,6,75   ,04/07/2011
10,Jalgaon,31,0,22,-2,90,3,7,286,-95,29,75   ,04/08/2011
10,Jalgaon,33,2,23,0,95,8,21,471,-107,48,75   ,04/09/2011
9,Jalgaon,33,-1,21,0,80,5,0,0,-12,49,75   ,04/10/2011
10,Jalgaon,34,3,13,-3,37,-26,0,0,-45,49,75   ,04/11/2011
8,Jalgaon,28,-2,9,-3,65,4,0,0,-1,0,75   ,05/01/2011
10,Jalgaon,34,2,9,-5,45,-3,0,0,-4,0,75   ,05/02/2011
10,Jalgaon,36,0,18,1,50,10,0,3,3,0,75   ,05/03/2011
10,Jalgaon,39,-1,19,-3,27,-10,0,3,-3,TR,75   ,05/04/2011
9,Jalgaon,37,-3,24,-2,65,-2,0,1,-5,6.7,75   ,05/06/2011
10,Jalgaon,28,-3,22,-2,85,-2,2,288,-104,29,75   ,05/08/2011
10,Jalgaon,31,0,-,,-,-,-,-,-,-,75   ,05/09/2011
10,Jalgaon,34,1,13,-3,38,-25,0,0,-45,49,75   ,05/11/2011
10,Jalgaon,34,3,11,-2,47,-15,0,0,-61,49,75   ,05/12/2011
10,Jalgaon,27,-3,6,-6,45,-15,0,0,-1,0,75   ,06/01/2011
10,Jalgaon,35,3,11,3,48,0,0,0,-5,0,75   ,06/02/2011
10,Jalgaon,37,1,17,0,50,10,0,3,2,TR,75   ,06/03/2011
10,Jalgaon,39,-1,21,-2,33,-4,0,3,-3,TR,75   ,06/04/2011
10,Jalgaon,41,-2,26,-1,65,16,0,3,-7,TR,75   ,06/05/2011
9,Jalgaon,40,0,-,,-,-,37,38,30,1,75   ,06/06/2011
9,Jalgaon,34,1,23,-1,85,3,1,55,-121,6,75   ,06/07/2011
10,Jalgaon,29,-2,23,-1,90,3,12,300,-103,31,75   ,06/08/2011
10,Jalgaon,31,0,21,-2,75,-12,2,473,-117,48,75   ,06/09/2011
10,Jalgaon,35,1,20,-1,65,-10,0,0,-13,48,75   ,06/10/2011
9,Jalgaon,31,1,12,-4,40,-23,0,0,-45,49,75   ,06/11/2011
10,Jalgaon,36,5,12,-1,-,-,0,0,-61,49,75   ,06/12/2011
9,Jalgaon,27,-3,4,-8,60,0,0,0,-1,0,75   ,07/01/2011
10,Jalgaon,35,3,10,-4,45,-3,0,0,-4,0,75   ,07/02/2011
10,Jalgaon,38,2,15,-2,43,4,0,3,2,TR,75   ,07/03/2011
10,Jalgaon,39,-1,23,0,43,6,0,3,-3,TR,75   ,07/04/2011
10,Jalgaon,42,-1,25,-2,65,16,0,3,-7,TR,75   ,07/05/2011
9,Jalgaon,38,2,23,-3,75,8,0,38,25,1,75   ,07/06/2011
10,Jalgaon,33,0,23,-1,90,8,18,74,-110,1,75   ,07/07/2011
10,Jalgaon,-,-,23,-,85,-2,1,301,-106,30,75   ,07/08/2011
9,Jalgaon,30,-1,-,,-,-,-,-,-,-,75   ,07/09/2011
10,Jalgaon,-,-,21,-,65,-10,0,0,-14,49,75   ,07/10/2011
10,Jalgaon,35,2,11,-4,45,-17,0,0,-45,49,75   ,07/11/2011
10,Jalgaon,35,4,14,2,55,8,0,0,-61,49,75   ,07/12/2011
9,Jalgaon,27,-3,3,-9,55,-5,0,0,-1,0.0,75   ,08/01/2011
10,Jalgaon,34,2,10,-4,55,7,0,0,-5,0,75   ,08/02/2011
10,Jalgaon,39,3,18,1,48,9,0,3,2,TR,75   ,08/03/2011
10,Jalgaon,39,-1,21,-2,60,23,0,3,-3,0,75   ,08/04/2011
10,Jalgaon,40,-3,26,-1,65,16,0,3,-7,TR,75   ,08/05/2011
9,Jalgaon,39,-1,23,-3,80,13,8,47,32,1,75   ,08/06/2011
9,Jalgaon,31,-2,23,-1,95,13,29,103,-87,1,75   ,08/07/2011
10,Jalgaon,29,-2,23,-1,85,-2,3,304,-110,31,75   ,08/08/2011
10,Jalgaon,32,1,23,0,80,-7,2,473,-128,48,75   ,08/09/2011
10,Jalgaon,36,2,19,-1,70,-3,0,0,-17,49,75   ,08/10/2011
10,Jalgaon,-,-,11,-,47,-21,0,0,-45,49,75   ,08/11/2011
9,Jalgaon,34,3,13,1,53,-10,0,0,-61,49,75   ,08/12/2011
10,Jalgaon,30,0,3,-9,60,0,0,0,-1,0,75   ,09/01/2011
10,Jalgaon,33,1,12,-1,65,15,0,0,-5,0,75   ,09/02/2011
10,Jalgaon,39,3,19,2,47,8,0,3,2,TR,75   ,09/03/2011
10,Jalgaon,40,0,23,0,40,3,0,3,-3,TR,75   ,09/04/2011
9,Jalgaon,36,-4,25,-1,63,-4,0,47,27,1,75   ,09/06/2011
10,Jalgaon,29,-4,22,-2,85,3,8,111,-86,12,75   ,09/07/2011
9,Jalgaon,29,-2,22,-1,90,3,22,327,-99,33,75   ,09/08/2011
10,Jalgaon,31,-1,21,-2,90,3,0,474,-131,48,75   ,09/09/2011
10,Jalgaon,37,3,19,-1,65,-8,0,0,-19,49,75   ,09/10/2011
9,Jalgaon,35,3,12,-3,57,5,0,0,-45,49,75   ,09/11/2011
10,Jalgaon,32,1,10,-2,53,-10,0,0,-62,49,75   ,09/12/2011
10,Jalgaon,29,-1,4,-8,47,-13,0,0,-1,0,75   ,10/01/2011
10,Jalgaon,34,1,12,-2,55,9,0,0,-5,0,75   ,10/02/2011
10,Jalgaon,36,0,12,-5,40,1,0,3,2,0,75   ,10/03/2011
9,Jalgaon,40,0,20,-3,45,-9,0,0,-3,TR,75   ,10/04/2011
10,Jalgaon,40,1,24,-2,70,0,0,47,23,1,75   ,10/06/2011
10,Jalgaon,30,-3,22,-2,70,-14,0,111,-94,12,75   ,10/07/2011
9,Jalgaon,28,-3,22,-2,85,-2,2,329,-106,33,75   ,10/08/2011
10,Jalgaon,33,1,21,-2,75,-12,0,473,-132,48,75   ,10/09/2011
9,Jalgaon,37,3,18,-2,60,-13,0,0,-24,49,75   ,10/10/2011
10,Jalgaon,34,2,10,-5,53,-9,0,0,-46,49,75   ,10/11/2011
9,Jalgaon,32,1,9,-3,53,-10,0,0,-62,49,75   ,10/12/2011
10,Jalgaon,29,-1,4,-9,55,-5,0,0,-1,0,75   ,11/01/2011
10,Jalgaon,35,2,13,-1,50,4,0,0,-5,0,75   ,11/02/2011
9,Jalgaon,35,1,13,-4,35,-4,0,3,1,0,75   ,11/03/2011
