,0,1,2,3,4,5,6,7,8,9,10,11,12
11,Jeur,27,-3,17,4,55,-2,0,-,-,-,62   ,01/01/2011
10,Jeur,32,0,16,2,65,15,0,0,-1,0,62   ,01/02/2011
11,Jeur,33,-2,21,5,70,25,0,0,0,0,62   ,01/03/2011
10,Jeur,38,0,19,-2,35,-7,0,0,-3,0,62   ,01/04/2011
10,Jeur,41,2,27,3,80,29,0,5,-9,1,62   ,01/05/2011
11,Jeur,-,-,25,2,85,14,0,0,-2,1,62   ,01/06/2011
11,Jeur,32,0,27,5,65,-14,0,9,-98,1,62   ,01/07/2011
11,Jeur,31,-1,16,2,75,25,0,0,-1,0.0,62   ,02/02/2011
11,Jeur,33,-3,23,6,60,17,0,0,0,0.0,62   ,02/03/2011
11,Jeur,37,-1,18,-3,35,-7,0,0,-3,0,62   ,02/04/2011
11,Jeur,39,-1,26,2,85,34,0,5,-9,TR,62   ,02/05/2011
11,Jeur,41,5,-,,-,-,-,-,-,-,62   ,02/06/2011
10,Jeur,34,2,26,4,75,-4,0,9,-101,1,62   ,02/07/2011
11,Jeur,27,-3,18,5,75,18,0,0,0,0,62   ,03/01/2011
11,Jeur,31,-1,16,2,65,15,0,-,-,-,62   ,03/02/2011
11,Jeur,34,-2,23,6,60,17,0,0,0,0,62   ,03/03/2011
11,Jeur,37,-1,21,0,55,13,0,0,-3,0,62   ,03/04/2011
10,Jeur,-,-,26,-,70,-,0,5,-11,1.0,62   ,03/05/2011
9,Jeur,36,0,23,0,80,9,5,5,-4,1,62   ,03/06/2011
10,Jeur,-,-,26,-,95,16,0,9,-105,1,62   ,03/07/2011
11,Jeur,28,-2,20,7,65,8,0,-,-,-,62   ,04/01/2011
10,Jeur,31,-1,16,2,55,5,0,0,-2,0,62   ,04/02/2011
11,Jeur,38,0,20,-1,45,3,0,0,-3,0,62   ,04/04/2011
11,Jeur,40,0,24,0,60,9,0,5,-11,1,62   ,04/05/2011
10,Jeur,33,-3,23,0,95,24,0,5,-4,1,62   ,04/06/2011
10,Jeur,-,-,27,-,75,-4,0,9,-107,1,62   ,04/07/2011
9,Jeur,28,-2,17,4,80,23,0,0,0,0,62   ,05/01/2011
11,Jeur,31,-1,15,1,55,6,0,0,-2,0,62   ,05/02/2011
11,Jeur,34,-2,21,4,60,17,0,0,-1,0,62   ,05/03/2011
10,Jeur,32,-4,22,-1,85,12,3,8,-10,1,62   ,05/06/2011
11,Jeur,27,-1,13,0,70,14,0,0,0,0,62   ,06/01/2011
11,Jeur,32,-1,14,0,75,26,0,0,-2,0,62   ,06/02/2011
11,Jeur,34,-2,21,4,40,-3,0,0,-1,0,62   ,06/03/2011
10,Jeur,32,-4,23,0,85,14,0,7,-16,1,62   ,06/06/2011
10,Jeur,33,1,-,,-,-,-,-,-,-,62   ,06/07/2011
10,Jeur,-,-,11,-,70,14,0,0,0,0,62   ,07/01/2011
11,Jeur,32,1,16,2,75,26,0,0,-2,0,62   ,07/02/2011
11,Jeur,37,-1,-,,-,-,-,-,-,-,62   ,07/04/2011
11,Jeur,39,-1,-,,-,-,-,-,-,-,62   ,07/05/2011
10,Jeur,33,1,24,2,70,-9,0,8,-22,1,62   ,07/06/2011
11,Jeur,28,-4,23,1,90,11,2,11,-112,1,62   ,07/07/2011
10,Jeur,-,-,13,-,65,9,0,0,0,0.0,62   ,08/01/2011
11,Jeur,33,0,-,,-,-,-,-,-,-,62   ,08/02/2011
11,Jeur,37,1,23,6,48,5,0,0,0,0,62   ,08/03/2011
11,Jeur,-,-,-,-,-,-,-,-,-,-,62   ,08/04/2011
10,Jeur,34,-2,27,4,70,-3,0,7,-28,1,62   ,08/06/2011
