,0,1,2,3,4,5,6,7,8,9,10,11,12
12,Kolhapur,29,-1,15,0,80,19,0,-,-,-,107  ,01/01/2011
11,Kolhapur,31,-1,17,1,65,9,0,0,-1,0,107  ,01/02/2011
12,Kolhapur,34,0,21,4,65,11,0,0,0,0,107  ,01/03/2011
11,Kolhapur,39,2,24,4,40,-19,0,0,-6,0,107  ,01/04/2011
11,Kolhapur,37,0,24,2,85,17,0,55,18,5,107  ,01/05/2011
12,Kolhapur,34,2,25,3,80,2,0,0,-2,8,107  ,01/06/2011
12,Kolhapur,29,2,23,1,90,3,1,235,59,32,107  ,01/07/2011
11,Kolhapur,25,-2,21,0,90,2,3,478,-29,56,107  ,01/08/2011
11,Kolhapur,27,0,22,1,95,5,16,671,-40,75,107  ,01/09/2011
11,Kolhapur,32,3,21,1,100,16,41,41,31,95,107  ,01/10/2011
11,Kolhapur,32,1,21,2,80,5,0,112,-1,102,107  ,01/11/2011
11,Kolhapur,32,2,21,5,90,28,0,112,4,102,107  ,01/12/2011
12,Kolhapur,32,0,17,1,65,9,0,0,-1,0.0,107  ,02/02/2011
12,Kolhapur,35,0,21,3,70,16,0,0,0,0.0,107  ,02/03/2011
12,Kolhapur,37,0,21,1,40,-19,0,0,-7,0,107  ,02/04/2011
12,Kolhapur,35,-2,24,2,80,12,0,55,16,5,107  ,02/05/2011
12,Kolhapur,34,2,24,2,80,2,0,0,-4,8,107  ,02/06/2011
11,Kolhapur,31,4,22,0,90,3,1,236,44,32,107  ,02/07/2011
11,Kolhapur,25,-2,22,1,95,7,8,486,-29,57,107  ,02/08/2011
10,Kolhapur,25,-2,22,1,95,5,9,680,-36,76,107  ,02/09/2011
11,Kolhapur,30,-,22,2,90,6,0,41,23,95,107  ,02/10/2011
10,Kolhapur,32,1,22,4,75,4,0,112,-3,102,107  ,02/11/2011
10,Kolhapur,32,2,21,5,75,13,0,112,4,102,107  ,02/12/2011
12,Kolhapur,27,-3,17,2,90,29,0,0,0,0,107  ,03/01/2011
12,Kolhapur,32,0,18,2,60,4,0,0,-1,0,107  ,03/02/2011
12,Kolhapur,35,0,22,4,70,16,0,0,0,0,107  ,03/03/2011
12,Kolhapur,36,-1,18,-2,80,21,0,0,-8,0,107  ,03/04/2011
11,Kolhapur,37,0,23,1,80,12,0,55,13,6.0,107  ,03/05/2011
10,Kolhapur,35,3,23,1,90,12,41,41,33,12,107  ,03/06/2011
11,Kolhapur,27,0,21,-1,95,8,15,251,48,33,107  ,03/07/2011
11,Kolhapur,27,0,21,0,95,7,12,498,-30,58,107  ,03/08/2011
11,Kolhapur,25,-2,22,1,98,8,38,718,-2,80,107  ,03/09/2011
10,Kolhapur,28,-1,20,1,95,11,3,44,21,95,107  ,03/10/2011
8,Kolhapur,32,2,22,4,75,4,0,112,-3,102,107  ,03/11/2011
11,Kolhapur,33,3,19,3,75,13,0,112,4,102,107  ,03/12/2011
12,Kolhapur,29,-1,18,3,80,19,0,0,-1,0,107  ,04/01/2011
11,Kolhapur,32,0,17,1,60,4,0,0,-1,0,107  ,04/02/2011
12,Kolhapur,36,-1,18,-2,85,26,0,0,-8,0,107  ,04/04/2011
12,Kolhapur,36,-1,22,0,75,7,0,55,10,5,107  ,04/05/2011
11,Kolhapur,28,-4,22,0,95,16,18,59,49,14,107  ,04/06/2011
11,Kolhapur,-,-,22,-,90,3,6,257,44,34,107  ,04/07/2011
11,Kolhapur,26,-2,22,-1,98,11,5,503,-35,59,107  ,04/08/2011
11,Kolhapur,24,-4,22,1,95,6,50,768,45,85,107  ,04/09/2011
10,Kolhapur,31,1,20,-1,90,6,0,44,13,95,107  ,04/10/2011
11,Kolhapur,32,2,22,4,75,4,0,112,-5,102,107  ,04/11/2011
10,Kolhapur,28,-2,18,3,70,9,0,0,-1,0,107  ,05/01/2011
12,Kolhapur,33,1,17,1,55,-1,0,0,-1,0,107  ,05/02/2011
12,Kolhapur,35,0,21,3,60,6,0,0,0,0,107  ,05/03/2011
11,Kolhapur,35,-2,17,-3,95,36,0,0,-10,0,107  ,05/04/2011
11,Kolhapur,27,-5,23,1,90,11,13,72,57,15,107  ,05/06/2011
11,Kolhapur,26,-2,22,1,95,8,9,512,-34,59,107  ,05/08/2011
11,Kolhapur,26,-2,22,1,85,-4,4,772,47,85,107  ,05/09/2011
11,Kolhapur,31,1,21,3,80,9,0,112,-6,102,107  ,05/11/2011
11,Kolhapur,33,3,19,4,80,18,0,112,-32,102,107  ,05/12/2011
12,Kolhapur,29,-1,16,1,75,15,0,0,-1,0,107  ,06/01/2011
12,Kolhapur,33,1,-,,-,-,-,-,-,-,107  ,06/02/2011
12,Kolhapur,35,0,21,3,57,3,0,0,0,0,107  ,06/03/2011
11,Kolhapur,36,-1,19,-2,80,19,0,0,-10,0,107  ,06/04/2011
11,Kolhapur,37,0,22,0,80,10,0,55,8,5,107  ,06/05/2011
11,Kolhapur,26,0,23,1,90,12,5,77,55,16,107  ,06/06/2011
11,Kolhapur,31,4,23,2,90,2,0,258,25,34,107  ,06/07/2011
11,Kolhapur,27,-1,22,1,90,3,9,521,-34,60,107  ,06/08/2011
11,Kolhapur,29,1,22,1,90,1,0,772,43,85,107  ,06/09/2011
11,Kolhapur,32,2,23,2,85,1,0,44,3,95,107  ,06/10/2011
10,Kolhapur,33,3,21,3,70,-1,0,112,-7,102,107  ,06/11/2011
11,Kolhapur,33,3,19,4,80,18,0,112,-33,102,107  ,06/12/2011
11,Kolhapur,29,-1,13,-2,47,-13,0,0,-1,0,107  ,07/01/2011
12,Kolhapur,32,0,16,0,80,24,0,0,-1,0,107  ,07/02/2011
11,Kolhapur,37,2,21,3,55,1,0,0,0,0,107  ,07/03/2011
12,Kolhapur,37,0,20,-1,70,9,0,0,-11,0,107  ,07/04/2011
12,Kolhapur,36,-1,22,0,75,5,0,55,6,5,107  ,07/05/2011
11,Kolhapur,29,-3,22,0,90,11,TR,77,51,16,107  ,07/06/2011
12,Kolhapur,27,-6,22,-2,90,8,1,259,9,34,107  ,07/07/2011
11,Kolhapur,26,-2,22,1,98,11,2,523,-40,60,107  ,07/08/2011
10,Kolhapur,29,-1,22,1,95,6,10,782,50,86,107  ,07/09/2011
11,Kolhapur,31,1,23,2,85,1,0,44,-1,95,107  ,07/10/2011
11,Kolhapur,33,3,20,3,85,17,0,117,-9,102,107  ,07/11/2011
11,Kolhapur,33,3,19,4,75,14,0,112,-33,102,107  ,07/12/2011
11,Kolhapur,29,-1,13,-2,60,0,0,0,-1,0.0,107  ,08/01/2011
12,Kolhapur,33,1,16,0,70,14,0,0,-1,0,107  ,08/02/2011
12,Kolhapur,37,2,21,3,55,1,0,0,0,0,107  ,08/03/2011
12,Kolhapur,37,0,22,1,65,4,0,0,-11,0,107  ,08/04/2011
11,Kolhapur,35,-2,23,1,85,15,0,55,5,5,107  ,08/05/2011
11,Kolhapur,29,-3,24,2,85,6,TR,77,49,16,107  ,08/06/2011
11,Kolhapur,26,-1,21,0,90,2,6,265,3,35,107  ,08/07/2011
11,Kolhapur,26,-2,22,1,95,8,11,533,-41,61,107  ,08/08/2011
11,Kolhapur,27,-1,22,2,95,7,23,805,71,89,107  ,08/09/2011
11,Kolhapur,33,3,21,1,90,7,4,48,-1,95,107  ,08/10/2011
11,Kolhapur,33,3,19,2,90,22,0,112,-9,102,107  ,08/11/2011
10,Kolhapur,31,1,17,2,70,9,0,112,-34,102,107  ,08/12/2011
12,Kolhapur,31,1,15,0,80,20,0,0,-1,0,107  ,09/01/2011
11,Kolhapur,33,1,17,1,65,9,0,0,-1,0,107  ,09/02/2011
12,Kolhapur,37,2,22,4,75,21,0,0,0,0,107  ,09/03/2011
11,Kolhapur,37,0,23,2,47,-14,0,0,-13,0,107  ,09/04/2011
11,Kolhapur,30,-2,23,1,90,11,1,78,46,16,107  ,09/06/2011
11,Kolhapur,28,1,22,1,80,-8,9,274,-2,36,107  ,09/07/2011
10,Kolhapur,28,0,22,1,90,3,2,535,-46,62,107  ,09/08/2011
11,Kolhapur,27,-1,22,2,98,10,5,811,74,89,107  ,09/09/2011
11,Kolhapur,32,2,23,3,90,7,0,48,-8,95,107  ,09/10/2011
10,Kolhapur,33,3,19,2,65,-3,0,112,-9,102,107  ,09/11/2011
11,Kolhapur,30,0,18,3,55,-6,0,112,-34,102,107  ,09/12/2011
12,Kolhapur,31,1,14,-1,80,20,0,0,-1,0,107  ,10/01/2011
12,Kolhapur,33,0,16,0,75,19,0,0,-1,0,107  ,10/02/2011
12,Kolhapur,37,2,20,2,70,16,0,0,0,0,107  ,10/03/2011
11,Kolhapur,36,-1,26,5,60,-1,0,0,-14,0,107  ,10/04/2011
12,Kolhapur,27,-4,21,-1,95,14,42,120,85,20,107  ,10/06/2011
12,Kolhapur,28,1,22,1,90,1,2,275,-12,36,107  ,10/07/2011
10,Kolhapur,28,0,22,1,98,11,3,538,-49,62,107  ,10/08/2011
11,Kolhapur,28,0,22,2,90,2,1,812,73,89,107  ,10/09/2011
10,Kolhapur,31,1,21,1,90,7,4,52,-7,96,107  ,10/10/2011
11,Kolhapur,33,3,18,0,65,-3,0,112,-11,102,107  ,10/11/2011
10,Kolhapur,32,2,19,4,75,14,0,112,-34,102,107  ,10/12/2011
12,Kolhapur,29,-1,13,-2,80,20,0,0,-1,0,107  ,11/01/2011
12,Kolhapur,33,0,15,-1,65,9,0,0,-1,0,107  ,11/02/2011
11,Kolhapur,36,1,19,1,60,6,0,0,-1,0,107  ,11/03/2011
12,Kolhapur,36,-1,22,1,75,13,1,1,-14,TR,107  ,11/04/2011
11,Kolhapur,35,-1,23,1,80,8,0,55,2,5,107  ,11/05/2011
12,Kolhapur,26,-5,22,0,90,9,11,132,95,21,107  ,11/06/2011
11,Kolhapur,28,1,22,1,90,1,6,282,-15,36,107  ,11/07/2011
