,0,1,2,3,4,5,6,7,8,9,10,11,12
13,Mahabaleshwar,23,-1,11,-3,80,24,0,-,-,-,582  ,01/01/2011
12,Mahabaleshwar,29,4,15,1,50,3,0,0,-1,0,582  ,01/02/2011
13,Mahabaleshwar,28,1,17,1,70,30,6,6,6,1,582  ,01/03/2011
12,Mahabaleshwar,33,4,18,0,45,9,0,6,-2,1,582  ,01/04/2011
12,Mahabaleshwar,32,3,18,-1,65,17,0,14,-18,1,582  ,01/05/2011
13,Mahabaleshwar,28,3,18,1,85,3,0,0,-6,1,582  ,01/06/2011
13,Mahabaleshwar,20,0,17,0,100,5,7,1187,227,121,582  ,01/07/2011
12,Mahabaleshwar,19,0,17,0,100,5,90,3475,216,350,582  ,01/08/2011
12,Mahabaleshwar,21,2,18,4,100,5,46,5240,241,527,582  ,01/09/2011
12,Mahabaleshwar,24,2,17,1,95,6,3,3,-5,642,582  ,01/10/2011
12,Mahabaleshwar,27,3,16,0,70,2,0,120,-30,654,582  ,01/11/2011
12,Mahabaleshwar,28,4,17,3,75,16,0,120,-63,654,582  ,01/12/2011
13,Mahabaleshwar,29,4,15,1,50,3,0,0,-1,0,582  ,02/02/2011
13,Mahabaleshwar,28,0,17,1,70,32,0,6,6,1.0,582  ,02/03/2011
13,Mahabaleshwar,31,2,15,-3,30,-6,0,6,-3,1,582  ,02/04/2011
13,Mahabaleshwar,33,3,18,-1,65,17,0,14,-20,1,582  ,02/05/2011
13,Mahabaleshwar,29,4,18,1,95,13,14,14,0,1,582  ,02/06/2011
12,Mahabaleshwar,21,1,18,1,100,5,6,1193,164,122,582  ,02/07/2011
12,Mahabaleshwar,20,1,17,0,100,5,42,3517,174,354,582  ,02/08/2011
11,Mahabaleshwar,21,2,18,2,100,5,142,5382,340,541,582  ,02/09/2011
12,Mahabaleshwar,24,2,17,1,100,11,12,15,-3,643,582  ,02/10/2011
11,Mahabaleshwar,27,3,16,1,80,13,0,120,-31,654,582  ,02/11/2011
11,Mahabaleshwar,26,2,16,2,90,31,0,120,-63,654,582  ,02/12/2011
13,Mahabaleshwar,23,-1,13,-1,95,39,0,0,0,0,582  ,03/01/2011
13,Mahabaleshwar,29,4,15,1,60,13,0,0,-2,0,582  ,03/02/2011
13,Mahabaleshwar,29,1,17,1,53,15,0,6,6,1,582  ,03/03/2011
13,Mahabaleshwar,30,1,15,-3,45,9,0,6,-3,1,582  ,03/04/2011
12,Mahabaleshwar,32,-,19,-,35,-,0,0,-37,1.0,582  ,03/05/2011
11,Mahabaleshwar,27,2,18,1,95,13,13,27,5,1,582  ,03/06/2011
12,Mahabaleshwar,20,0,17,0,99,4,24,1217,124,124,582  ,03/07/2011
12,Mahabaleshwar,20,1,17,0,100,5,83,3600,183,363,582  ,03/08/2011
12,Mahabaleshwar,19,0,18,2,100,5,135,5517,438,554,582  ,03/09/2011
11,Mahabaleshwar,23,1,15,-1,100,18,TR,15,-14,643,582  ,03/10/2011
9,Mahabaleshwar,26,2,16,1,73,6,0,120,-31,654,582  ,03/11/2011
12,Mahabaleshwar,28,4,14,0,67,8,0,120,-14,654,582  ,03/12/2011
13,Mahabaleshwar,25,1,12,-2,90,34,0,0,0,0,582  ,04/01/2011
12,Mahabaleshwar,28,3,15,1,55,8,0,0,-2,0,582  ,04/02/2011
13,Mahabaleshwar,29,0,15,-3,28,-8,0,6,-3,1,582  ,04/04/2011
13,Mahabaleshwar,32,2,19,0,35,13,0,0,-40,1,582  ,04/05/2011
12,Mahabaleshwar,26,1,18,1,98,16,44,71,38,1,582  ,04/06/2011
12,Mahabaleshwar,20,0,17,0,100,5,4,1221,45,125,582  ,04/07/2011
12,Mahabaleshwar,19,0,17,1,100,6,80,3680,199,371,582  ,04/08/2011
12,Mahabaleshwar,20,0,18,2,99,1,314,5832,716,586,582  ,04/09/2011
11,Mahabaleshwar,25,2,16,1,100,18,TR,15,-25,643,582  ,04/10/2011
