,0,1,2,3,4,5,6,7,8,9,10,11,12
14,Malegaon,23,-7,9,-2,70,15,0,-,-,-,56   ,01/01/2011
13,Malegaon,30,-1,12,0,75,28,0,0,-3,0,56   ,01/02/2011
14,Malegaon,34,0,18,4,75,35,13,0,0,0,56   ,01/03/2011
13,Malegaon,39,1,18,-2,43,11,0,0,-2,0,56   ,01/04/2011
13,Malegaon,42,2,26,,40,-,0,0,-7,0,56   ,01/05/2011
14,Malegaon,40,2,25,1,60,3,0,0,-1,0,56   ,01/06/2011
14,Malegaon,-,-,24,-,70,-3,0,22,-89,2,56   ,01/07/2011
13,Malegaon,31,1,24,1,85,8,0,94,-139,9,56   ,01/08/2011
13,Malegaon,28,-3,22,0,98,21,21,255,-82,25,56   ,01/09/2011
13,Malegaon,-,-,22,-,95,22,0,0,-4,35,56   ,01/10/2011
13,Malegaon,-,-,16,-,75,14,0,16,-39,36,56   ,01/11/2011
13,Malegaon,32,2,18,5,80,24,0,16,-60,36,56   ,01/12/2011
14,Malegaon,31,0,13,1,70,23,0,0,-3,0,56   ,02/02/2011
14,Malegaon,-,-,18,3,65,27,0,0,0,0.0,56   ,02/03/2011
14,Malegaon,39,1,18,-2,57,25,0,0,-2,0,56   ,02/04/2011
14,Malegaon,42,1,27,4,37,0,0,0,-7,0,56   ,02/05/2011
14,Malegaon,41,3,25,1,65,8,0,0,-2,0,56   ,02/06/2011
13,Malegaon,36,4,24,0,75,2,0,22,-92,2,56   ,02/07/2011
13,Malegaon,30,0,25,2,80,3,0,94,-143,9,56   ,02/08/2011
12,Malegaon,-,-,22,-,95,18,16,271,-69,27,56   ,02/09/2011
13,Malegaon,32,0,21,1,95,22,4,4,-2,35,56   ,02/10/2011
12,Malegaon,33,1,16,0,70,11,0,16,-40,36,56   ,02/11/2011
12,Malegaon,31,1,16,3,75,19,0,16,-60,36,56   ,02/12/2011
14,Malegaon,25,-5,9,-2,75,20,0,0,0,0,56   ,03/01/2011
14,Malegaon,31,0,12,0,75,28,0,0,-3,0,56   ,03/02/2011
14,Malegaon,34,-1,-,-,-,-,-,-,-,-,56   ,03/03/2011
14,Malegaon,39,1,-,,-,-,-,-,-,-,56   ,03/04/2011
13,Malegaon,41,0,24,1,55,18,0,0,-8,0.0,56   ,03/05/2011
12,Malegaon,41,3,26,2,63,6,0,0,-4,0,56   ,03/06/2011
13,Malegaon,37,5,24,0,75,2,0,22,-96,2,56   ,03/07/2011
13,Malegaon,29,-1,24,1,80,3,0,94,-148,9,56   ,03/08/2011
13,Malegaon,29,-2,-,,-,-,-,-,-,-,56   ,03/09/2011
12,Malegaon,32,0,22,2,90,21,0,4,-7,35,56   ,03/10/2011
10,Malegaon,-,-,16,-,73,14,0,16,-40,36,56   ,03/11/2011
13,Malegaon,-,-,-,-,37,-19,0,16,-60,36,56   ,03/12/2011
14,Malegaon,25,-5,10,-1,85,30,0,0,0,0,56   ,04/01/2011
13,Malegaon,31,0,12,0,70,23,0,0,-3,0,56   ,04/02/2011
14,Malegaon,39,1,18,-2,53,21,0,0,-2,0,56   ,04/04/2011
14,Malegaon,40,-1,23,0,65,28,0,0,-12,0,56   ,04/05/2011
13,Malegaon,-,-,24,-,70,13,0,0,-5,0,56   ,04/06/2011
13,Malegaon,35,2,-,,-,-,-,-,-,-,56   ,04/07/2011
13,Malegaon,32,1,23,0,98,21,6,100,-147,10,56   ,04/08/2011
13,Malegaon,30,-1,23,1,95,17,43,314,-34,31,56   ,04/09/2011
12,Malegaon,-,-,21,-,85,16,0,4,-13,35,56   ,04/10/2011
13,Malegaon,-,-,15,-,70,11,0,16,-40,36,56   ,04/11/2011
12,Malegaon,-,-,9,-,80,25,0,0,0,0,56   ,05/01/2011
14,Malegaon,-,-,13,-,70,25,0,0,-3,0,56   ,05/02/2011
14,Malegaon,36,1,18,3,65,27,0,0,0,0,56   ,05/03/2011
13,Malegaon,39,1,-,,-,-,-,-,-,-,56   ,05/04/2011
13,Malegaon,37,-1,25,1,65,4,0,0,-8,0,56   ,05/06/2011
13,Malegaon,30,1,22,-1,90,13,0,100,-151,10,56   ,05/08/2011
13,Malegaon,29,-2,-,,-,-,-,-,-,-,56   ,05/09/2011
13,Malegaon,32,0,15,-1,70,11,0,16,-41,96,56   ,05/11/2011
13,Malegaon,31,1,14,2,65,8,0,16,-62,36,56   ,05/12/2011
14,Malegaon,25,-5,8,-3,75,21,0,0,0,0,56   ,06/01/2011
14,Malegaon,-,-,12,-,70,25,0,0,-3,0,56   ,06/02/2011
14,Malegaon,37,2,18,3,70,32,0,0,0,0,56   ,06/03/2011
13,Malegaon,40,1,-,,-,-,-,-,-,-,56   ,06/04/2011
13,Malegaon,39,-2,23,-1,57,18,0,0,-12,0,56   ,06/05/2011
13,Malegaon,-,-,24,-,65,8,0,0,-11,0,56   ,06/06/2011
13,Malegaon,35,3,23,0,90,16,4,31,-96,3,56   ,06/07/2011
13,Malegaon,30,-1,22,-1,80,3,0,700,-155,10,56   ,06/08/2011
13,Malegaon,-,-,23,-,95,17,0,317,-41,32,56   ,06/09/2011
13,Malegaon,32,0,21,1,85,16,0,4,-17,35,56   ,06/10/2011
12,Malegaon,-,-,15,-,70,3,0,16,-41,36,56   ,06/11/2011
13,Malegaon,34,4,14,2,15,8,0,16,-62,36,56   ,06/12/2011
13,Malegaon,25,-5,7,-4,65,11,0,0,0,0,56   ,07/01/2011
14,Malegaon,33,1,13,1,75,30,0,0,-3,0,56   ,07/02/2011
13,Malegaon,37,1,18,2,53,16,0,0,0,0,56   ,07/03/2011
14,Malegaon,41,2,20,-1,55,23,0,0,-2,0,56   ,07/04/2011
14,Malegaon,41,0,23,-1,57,18,0,0,-12,0,56   ,07/05/2011
13,Malegaon,40,2,24,0,85,0,21,21,5,0,56   ,07/06/2011
14,Malegaon,35,3,23,0,95,21,11,42,-87,4,56   ,07/07/2011
13,Malegaon,29,-2,23,0,85,8,0,100,-160,10,56   ,07/08/2011
12,Malegaon,28,-3,23,1,95,7,0,317,-44,31,56   ,07/09/2011
13,Malegaon,32,0,21,1,80,11,0,4,-21,35,56   ,07/10/2011
13,Malegaon,33,1,15,0,70,12,0,16,-42,36,56   ,07/11/2011
13,Malegaon,-,-,14,-,65,9,0,16,-63,36,56   ,07/12/2011
13,Malegaon,24,-6,7,-4,70,16,0,0,0,0.0,56   ,08/01/2011
14,Malegaon,33,1,14,2,80,35,0,0,-3,0,56   ,08/02/2011
14,Malegaon,38,2,17,1,50,13,0,0,0,0,56   ,08/03/2011
14,Malegaon,-,-,21,0,55,23,0,-,-,-,56   ,08/04/2011
13,Malegaon,42,1,24,0,60,21,0,0,-13,0,56   ,08/05/2011
13,Malegaon,38,0,25,1,75,14,0,21,3,0,56   ,08/06/2011
13,Malegaon,27,-5,23,0,90,16,0,42,-89,4,56   ,08/07/2011
13,Malegaon,29,-2,-,,-,-,-,-,-,-,56   ,08/08/2011
13,Malegaon,-,-,23,-,85,7,0,317,-48,31,56   ,08/09/2011
13,Malegaon,33,1,20,1,80,13,0,4,-22,35,56   ,08/10/2011
13,Malegaon,-,-,16,-,80,22,0,16,-42,36,56   ,08/11/2011
12,Malegaon,-,-,15,-,75,19,0,16,-63,36,56   ,08/12/2011
14,Malegaon,-,-,7,-,75,21,0,0,-1,0,56   ,09/01/2011
13,Malegaon,32,-,14,2,80,33,0,0,-3,0,56   ,09/02/2011
14,Malegaon,38,2,19,3,50,13,0,0,0,0,56   ,09/03/2011
13,Malegaon,-,-,21,-,40,8,0,0,-2,0,56   ,09/04/2011
13,Malegaon,-,-,25,-,70,9,0,21,2,0,56   ,09/06/2011
13,Malegaon,26,-6,23,0,90,16,0,42,-94,4,56   ,09/07/2011
12,Malegaon,29,-2,-,,-,-,-,-,-,-,56   ,09/08/2011
13,Malegaon,30,-1,22,0,90,12,0,317,-51,32,56   ,09/09/2011
13,Malegaon,34,1,20,1,85,18,0,4,-24,35,56   ,09/10/2011
12,Malegaon,33,-,16,1,65,7,0,16,-42,36,56   ,09/11/2011
13,Malegaon,30,0,15,3,75,19,0,16,-64,36,56   ,09/12/2011
14,Malegaon,25,-5,6,-5,75,21,0,0,-1,0,56   ,10/01/2011
14,Malegaon,32,0,14,1,75,31,0,0,-3,0,56   ,10/02/2011
14,Malegaon,37,1,14,-2,50,13,0,0,0,0,56   ,10/03/2011
13,Malegaon,-,-,21,-,45,13,0,0,-3,0,56   ,10/04/2011
14,Malegaon,40,3,25,1,65,1,0,21,0,0,56   ,10/06/2011
14,Malegaon,29,-3,24,1,90,4,0,42,-103,4,56   ,10/07/2011
12,Malegaon,29,-2,22,-1,80,3,0,100,-170,10,56   ,10/08/2011
13,Malegaon,30,-1,22,0,90,12,0,317,-358,32,56   ,10/09/2011
12,Malegaon,-,-,20,-,80,13,0,4,-27,35,56   ,10/10/2011
13,Malegaon,33,2,16,1,60,2,0,16,-44,36,56   ,10/11/2011
