,0,1,2,3,4,5,6,7,8,9,10,11,12
6,Mumbai (CLB),28,-2,17,-3,62,-9,0,0,0,0,216  ,01/01/2011
5,Mumbai (CLB),31,2,21,1,87,15,0,0,-1,0.0,216  ,01/02/2011
6,Mumbai (CLB),33,3,24,3,92,20,0,0,0,0.0,216  ,01/03/2011
5,Mumbai (CLB),34,2,24,0,78,5,0,0,0,0.0,216  ,01/04/2011
5,Mumbai (CLB),33,0,27,1,82,10,0,0,-2,0.01,216  ,01/05/2011
6,Mumbai (CLB),35,2,28,1,87,10,0,0,-5,0.08,216  ,01/06/2011
6,Mumbai (CLB),33,2,27,1,82,-1,0,461,-115,46.2,216  ,01/07/2011
6,Mumbai (CLB),26,-3,24,-1,93,7,103,1848,537,184.90,216  ,01/08/2011
6,Mumbai (CLB),31,1,26,1,93,8,2,2546,768,254.68,216  ,01/09/2011
6,Mumbai (CLB),32,1,26,1,89,6,1,1,-8,288.03,216  ,01/10/2011
6,Mumbai (CLB),35,3,25,1,90,13,0,66,-8,294.52,216  ,01/11/2011
6,Mumbai (CLB),33,1,25,3,95,24,0,66,-17,294.52,216  ,01/12/2011
1,Mumbai (CLB),29,-1,20,0,59,12,0,0,0,0,216,02/01/2011
6,Mumbai (CLB),31,2,21,1,89,17,0,0,-1,0.0,216  ,02/02/2011
6,Mumbai (CLB),33,3,23,1,95,23,0,0,0,0.01,216  ,02/03/2011
6,Mumbai (CLB),32,0,23,-1,82,9,0,0,0,0.01,216  ,02/04/2011
6,Mumbai (CLB),33,0,27,1,82,10,0,0,-2,0.01,216  ,02/05/2011
6,Mumbai (CLB),35,2,29,2,76,-1,TR,0,-9,TR,216  ,02/06/2011
6,Mumbai (CLB),33,2,27,1,83,0,-1,462,-158,46.25,216  ,02/07/2011
6,Mumbai (CLB),28,-1,25,0,93,7,17,1865,535,186.56,216  ,02/08/2011
5,Mumbai (CLB),28,-2,25,0,95,10,51,2597,801,259.78,216  ,02/09/2011
6,Mumbai (CLB),32,1,26,1,94,11,0,1,-12,288.02,216  ,02/10/2011
5,Mumbai (CLB),35,3,26,2,89,14,0,66,-8,294.52,216  ,02/11/2011
5,Mumbai (CLB),33,1,24,2,96,25,0,66,-17,294.52,216  ,02/12/2011
6,Mumbai (CLB),30,0,21,1,77,6,0,0,0,0.0,216  ,03/01/2011
6,Mumbai (CLB),35,6,21,1,86,14,0,0,-1,0.0,216  ,03/02/2011
6,Mumbai (CLB),33,0,23,1,66,-6,0,0,0,0.01,216  ,03/03/2011
6,Mumbai (CLB),32,0,24,0,83,10,0,0,0,0.01,216  ,03/04/2011
5,Mumbai (CLB),33,0,26,0,76,4,0,0,-2,0.01,216  ,03/05/2011
5,Mumbai (CLB),37,4,25,-2,81,4,8,8,-8,0.88,216  ,03/06/2011
5,Mumbai (CLB),32,1,26,0,95,12,14,476,-169,47.66,216  ,03/07/2011
6,Mumbai (CLB),28,-1,25,0,93,7,14,1879,533,188.0,216  ,03/08/2011
6,Mumbai (CLB),31,1,26,1,95,9,23,2620,808,262.08,216  ,03/09/2011
5,Mumbai (CLB),32,1,26,1,92,10,0,1,-23,288.02,216  ,03/10/2011
3,Mumbai (CLB),34,2,25,1,92,17,0,66,-9,294.52,216  ,03/11/2011
6,Mumbai (CLB),32,0,23,1,65,-6,0,66,-17,294.52,216  ,03/12/2011
6,Mumbai (CLB),30,0,22,2,83,12,0,0,0,0.0,216  ,04/01/2011
5,Mumbai (CLB),37,8,21,1,84,12,0,0,-1,0.0,216  ,04/02/2011
6,Mumbai (CLB),33,1,23,-1,82,9,0,0,0,0.01,216  ,04/04/2011
6,Mumbai (CLB),33,0,26,0,76,4,0,0,-2,0.01,216  ,04/05/2011
6,Mumbai (CLB),33,0,25,-2,85,8,18,26,5,2.68,216  ,04/06/2011
6,Mumbai (CLB),31,0,26,0,92,9,2,478,-202,478.6,216  ,04/07/2011
6,Mumbai (CLB),29,0,25,0,90,5,10,1889,528,189.01,216  ,04/08/2011
6,Mumbai (CLB),27,-3,25,0,95,9,50,2670,846,267.08,216  ,04/09/2011
5,Mumbai (CLB),30,-1,25,0,90,8,1,2,-27,288.17,216  ,04/10/2011
6,Mumbai (CLB),36,4,25,1,78,3,0,66,-9,294.52,216  ,04/11/2011
1,Mumbai (CLB),34,2,23,1,85,14,0,66,-17,294.52,216,04/12/2011
4,Mumbai (CLB),31,1,21,1,93,22,0,0,0,0.0,216  ,05/01/2011
6,Mumbai (CLB),32,3,21,1,77,5,0,0,-1,0,216  ,05/02/2011
6,Mumbai (CLB),33,3,23,1,87,15,0,0,0,0.01,216  ,05/03/2011
6,Mumbai (CLB),33,1,23,-1,88,15,0,0,0,0.01,216  ,05/04/2011
6,Mumbai (CLB),33,0,27,0,85,7,22,48,21,4.86,216  ,05/06/2011
1,Mumbai (CLB),31,0,25,0,95,11,23,501,-213,50.18,216,05/07/2011
6,Mumbai (CLB),29,-1,25,0,90,5,8,1897,519,189.83,216  ,05/08/2011
6,Mumbai (CLB),29,-1,25,0,93,7,19,2689,856,268.96,216  ,05/09/2011
6,Mumbai (CLB),32,1,25,0,82,0,0,2,-29,288.17,216  ,05/10/2011
6,Mumbai (CLB),35,3,25,1,87,12,0,66,-9,294.52,216  ,05/11/2011
6,Mumbai (CLB),34,2,23,1,93,22,0,66,-19,294.52,216  ,05/12/2011
6,Mumbai (CLB),33,3,21,1,69,-2,0,0,0,0.0,216  ,06/01/2011
6,Mumbai (CLB),33,4,21,1,91,19,0,0,-1,0.0,216  ,06/02/2011
6,Mumbai (CLB),31,1,24,2,68,-4,0,0,0,0,216  ,06/03/2011
6,Mumbai (CLB),33,1,24,0,85,12,0,0,0,0.01,216  ,06/04/2011
6,Mumbai (CLB),34,1,27,0,76,4,0,0,-2,0.01,216  ,06/05/2011
5,Mumbai (CLB),31,-1,26,-1,95,17,27,75,44,7.59,216  ,06/06/2011
5,Mumbai (CLB),33,3,27,2,85,1,-1,501,-239,50.23,216  ,06/07/2011
6,Mumbai (CLB),31,1,26,1,91,6,10,1907,510,190.83,216  ,06/08/2011
6,Mumbai (CLB),30,0,26,1,95,9,3,2692,850,269.26,216  ,06/09/2011
6,Mumbai (CLB),32,1,25,0,92,10,2,4,-31,288.83,216  ,06/10/2011
5,Mumbai (CLB),36,4,25,1,93,18,0,66,-9,295,216  ,06/11/2011
6,Mumbai (CLB),32,0,23,1,95,24,0,66,-19,294.52,216  ,06/12/2011
5,Mumbai (CLB),33,4,19,-1,66,-5,0,0,0,0.0,216  ,07/01/2011
6,Mumbai (CLB),33,4,21,1,60,-12,0,0,-1,0,216  ,07/02/2011
6,Mumbai (CLB),33,3,24,2,84,12,0,0,0,0.0,216  ,07/03/2011
6,Mumbai (CLB),33,1,25,1,86,13,0,0,0,0.01,216  ,07/04/2011
6,Mumbai (CLB),34,1,27,0,73,1,0,0,-2,0.01,216  ,07/05/2011
5,Mumbai (CLB),29,-3,26,-1,79,1,3,78,39,7.89,216  ,07/06/2011
6,Mumbai (CLB),29,-1,24,-1,95,11,18,519,-249,52.01,216  ,07/07/2011
6,Mumbai (CLB),30,0,27,2,87,2,2,1909,496,191.0,216  ,07/08/2011
5,Mumbai (CLB),28,-2,25,0,90,4,10,2702,853,270.28,216  ,07/09/2011
6,Mumbai (CLB),33,2,26,1,83,1,0,4,-34,288.33,216  ,07/10/2011
6,Mumbai (CLB),35,3,25,2,90,16,0,66,-11,294.52,216  ,07/11/2011
6,Mumbai (CLB),31,0,22,1,93,23,0,66,-19,294.52,216  ,07/12/2011
5,Mumbai (CLB),32,3,18,-2,70,-1,0,0,0,0.0,216  ,08/01/2011
6,Mumbai (CLB),30,1,20,0,89,17,0,0,-1,0,216  ,08/02/2011
6,Mumbai (CLB),35,4,25,3,67,-5,0,0,0,0.01,216  ,08/03/2011
6,Mumbai (CLB),33,1,25,1,87,14,0,0,0,0.01,216  ,08/04/2011
6,Mumbai (CLB),35,2,28,1,78,6,0,0,-2,0.01,216  ,08/05/2011
5,Mumbai (CLB),31,-1,27,0,81,3,0,78,28,7.89,216  ,08/06/2011
5,Mumbai (CLB),28,-2,23,-2,96,12,163,682,-109,68.27,216  ,08/07/2011
6,Mumbai (CLB),32,2,27,2,88,3,2,1912,485,191.24,216  ,08/08/2011
6,Mumbai (CLB),29,-1,27,2,89,4,2,2704,849,270.44,216  ,08/09/2011
6,Mumbai (CLB),33,2,26,1,78,-3,0,4,-39,288.33,216  ,08/10/2011
6,Mumbai (CLB),33,1,25,2,93,19,0,66,-11,294.52,216  ,08/11/2011
5,Mumbai (CLB),33,2,23,2,75,5,0,66,19,294.52,216  ,08/12/2011
6,Mumbai (CLB),31,4,17,-3,68,-3,0,0,-1,0.0,216  ,09/01/2011
6,Mumbai (CLB),30,1,20,0,79,7,0,0,-1,0,216  ,09/02/2011
6,Mumbai (CLB),33,2,23,1,88,16,0,0,0,0.01,216  ,09/03/2011
6,Mumbai (CLB),33,1,25,1,89,16,0,0,0,0.0,216  ,09/04/2011
5,Mumbai (CLB),31,-1,27,0,83,5,1,79,11,7.95,216  ,09/06/2011
6,Mumbai (CLB),25,-5,24,-1,92,8,49,731,-80,73.22,216  ,09/07/2011
6,Mumbai (CLB),31,1,27,2,86,1,0,1912,473,191.24,216  ,09/08/2011
6,Mumbai (CLB),31,1,27,2,90,5,1,2704,840,270.51,216  ,09/09/2011
6,Mumbai (CLB),33,2,27,2,95,14,0,4,-42,288.33,216  ,09/10/2011
5,Mumbai (CLB),35,3,25,2,92,18,0,66,-12,294.52,216  ,09/11/2011
6,Mumbai (CLB),34,3,23,2,95,25,0,66,-19,294.52,216  ,09/12/2011
6,Mumbai (CLB),31,2,19,-1,69,-2,0,0,-1,0.0,216  ,10/01/2011
6,Mumbai (CLB),30,1,21,1,58,-14,0,0,-1,0.0,216  ,10/02/2011
6,Mumbai (CLB),31,0,21,-1,77,5,0,0,0,0.01,216  ,10/03/2011
5,Mumbai (CLB),33,1,25,1,95,22,0,0,0,0.01,216  ,10/04/2011
1,Mumbai (CLB),35,2,27,0,77,5,0,0,-2,0.01,216,10/05/2011
6,Mumbai (CLB),31,-1,25,-1,92,13,38,117,33,11.77,216  ,10/06/2011
6,Mumbai (CLB),28,-2,24,-1,93,8,25,756,-73,75.67,216  ,10/07/2011
5,Mumbai (CLB),31,2,27,2,87,2,3,1915,461,191.53,216  ,10/08/2011
6,Mumbai (CLB),30,0,27,2,92,7,TR,2705,829,270.53,216  ,10/09/2011
5,Mumbai (CLB),33,2,27,2,95,14,0,4,-47,288.33,216  ,10/10/2011
6,Mumbai (CLB),35,3,24,1,81,7,0,66,-12,294.52,216  ,10/11/2011
