,0,1,2,3,4,5,6,7,8,9,10,11,12
7,Mumbai (SCZ),28,-4,13,-4,60,-3,0,0,0,0,235  ,01/01/2011
6,Mumbai (SCZ),33,2,17,1,76,15,0,0,-1,0.0,235  ,01/02/2011
7,Mumbai (SCZ),36,4,21,3,79,17,0,0,0,0.0,235  ,01/03/2011
6,Mumbai (SCZ),37,4,21,-1,74,8,0,0,0,0.0,235  ,01/04/2011
6,Mumbai (SCZ),35,2,27,2,76,9,0,0,0,0.0,235  ,01/05/2011
7,Mumbai (SCZ),35,3,29,3,72,-3,0,0,-7,0.00,235  ,01/06/2011
7,Mumbai (SCZ),32,2,28,3,81,-3,2,664,113,66.37,235  ,01/07/2011
7,Mumbai (SCZ),28,-1,24,-1,95,8,66,2091,707,209.07,235  ,01/08/2011
7,Mumbai (SCZ),31,2,26,2,87,0,2,2882,955,288.24,235  ,01/09/2011
7,Mumbai (SCZ),32,1,25,2,84,2,0,0,-5,315.48,235  ,01/10/2011
7,Mumbai (SCZ),35,2,22,0,65,-4,0,120,39,327.49,235  ,01/11/2011
7,Mumbai (SCZ),35,2,23,4,85,25,0,120,25,327.49,235  ,01/12/2011
2,Mumbai (SCZ),29,-2,18,1,51,12,0,0,0,0,235,02/01/2011
7,Mumbai (SCZ),31,0,17,1,88,27,0,0,-1,0.0,235  ,02/02/2011
7,Mumbai (SCZ),34,2,19,0,77,13,0,0,0,0.0,235  ,02/03/2011
7,Mumbai (SCZ),31,-2,22,0,72,6,0,0,0,0.0,235  ,02/04/2011
7,Mumbai (SCZ),33,0,27,2,75,8,0,0,-1,0.0,235  ,02/05/2011
7,Mumbai (SCZ),35,3,29,-3,63,-12,TR,0,-9,0,235  ,02/06/2011
7,Mumbai (SCZ),31,2,27,2,90,6,4,668,79,66.8,235  ,02/07/2011
7,Mumbai (SCZ),27,-2,25,0,86,-1,18,2108,703,210.84,235  ,02/08/2011
6,Mumbai (SCZ),30,1,25,1,93,6,36,2919,973,291.86,235  ,02/09/2011
7,Mumbai (SCZ),32,1,25,2,89,7,TR,0,-9,315.49,235  ,02/10/2011
6,Mumbai (SCZ),36,3,23,2,65,0,0,120,38,327.49,235  ,02/11/2011
6,Mumbai (SCZ),34,1,21,3,86,24,0,120,25,327.49,235  ,02/12/2011
7,Mumbai (SCZ),30,-1,18,1,61,-2,0,0,0,0.0,235  ,03/01/2011
7,Mumbai (SCZ),36,5,18,2,78,17,0,0,-1,0.0,235  ,03/02/2011
7,Mumbai (SCZ),35,3,20,1,61,-3,0,0,0,0.0,235  ,03/03/2011
7,Mumbai (SCZ),31,-2,23,1,72,6,0,0,0,0.0,235  ,03/04/2011
6,Mumbai (SCZ),32,-1,24,-1,72,5,0,0,-1,0.0,235  ,03/05/2011
6,Mumbai (SCZ),36,4,25,-1,84,9,9,9,-8,0.92,235  ,03/06/2011
6,Mumbai (SCZ),32,2,24,-1,90,6,41,708,94,70.86,235  ,03/07/2011
7,Mumbai (SCZ),28,-1,25,0,89,2,7,2116,687,211.57,235  ,03/08/2011
7,Mumbai (SCZ),31,2,26,2,93,6,39,2958,990,295.77,235  ,03/09/2011
6,Mumbai (SCZ),32,1,25,1,86,7,0,0,-20,315.49,235  ,03/10/2011
4,Mumbai (SCZ),36,3,22,1,73,8,0,120,37,327.49,235  ,03/11/2011
7,Mumbai (SCZ),33,0,19,1,75,13,0,120,25,327.49,235  ,03/12/2011
7,Mumbai (SCZ),32,1,21,4,60,-3,0,0,0,0.0,235  ,04/01/2011
6,Mumbai (SCZ),35,4,18,2,73,12,0,0,-1,0.0,235  ,04/02/2011
7,Mumbai (SCZ),32,-1,21,-1,75,9,0,0,0,0.0,235  ,04/04/2011
7,Mumbai (SCZ),32,-1,25,0,68,1,0,0,-1,0.0,235  ,04/05/2011
7,Mumbai (SCZ),33,1,24,-2,89,14,35,44,24,4.42,235  ,04/06/2011
7,Mumbai (SCZ),32,2,25,0,89,5,7,715,63,715.2,235  ,04/07/2011
7,Mumbai (SCZ),31,2,25,0,87,0,4,2119,674,211.95,235  ,04/08/2011
7,Mumbai (SCZ),28,-1,26,2,92,5,26,2984,997,298.37,235  ,04/09/2011
6,Mumbai (SCZ),31,-1,24,0,80,1,3,3,-25,315.79,235  ,04/10/2011
7,Mumbai (SCZ),36,3,22,1,73,8,0,120,37,327.49,235  ,04/11/2011
2,Mumbai (SCZ),34,1,20,2,80,18,0,120,25,327.49,235,04/12/2011
5,Mumbai (SCZ),32,1,19,2,68,5,0,0,0,0.0,235  ,05/01/2011
7,Mumbai (SCZ),34,3,17,1,75,14,0,0,-1,0,235  ,05/02/2011
7,Mumbai (SCZ),34,2,21,2,80,16,0,0,0,0.0,235  ,05/03/2011
7,Mumbai (SCZ),31,-2,21,-1,90,24,0,0,0,0.0,235  ,05/04/2011
7,Mumbai (SCZ),33,1,26,0,87,10,74,118,89,11.82,235  ,05/06/2011
2,Mumbai (SCZ),32,2,26,1,87,2,7,723,40,72.25,235,05/07/2011
7,Mumbai (SCZ),29,0,25,0,86,-1,4,2124,656,212.37,235  ,05/08/2011
