,0,1,2,3,4,5,6,7,8,9,10,11,12
29,Nagpur,28,-1,17,5,65,-2,0,-,-,-,113  ,01/01/2011
29,Nagpur,31,0,17,3,53,9,0,0,-17,0,113  ,01/02/2011
30,Nagpur,33,-1,17,0,58,13,0,0,0,0,113  ,01/03/2011
28,Nagpur,39,1,23,1,25,-13,0,0,-21,TR,113  ,01/04/2011
29,Nagpur,40,-1,28,1,45,13,TR,66,33,7,113  ,01/05/2011
30,Nagpur,45,4,27,-1,43,-4,0,0,0,8,113  ,01/06/2011
30,Nagpur,34,0,25,0,70,-4,0,137,-37,22,113  ,01/07/2011
25,Nagpur,-,-,25,-,85,-2,0,350,-132,43,113  ,01/08/2011
29,Nagpur,30,-1,24,1,95,11,16,735,-33,81,113  ,01/09/2011
28,Nagpur,35,3,20,-2,63,-14,0,0,-3,99,113  ,01/10/2011
29,Nagpur,32,1,15,-3,60,-6,0,1,-63,99,113  ,01/11/2011
28,Nagpur,30,1,14,1,60,1,0,1,-78,99,113  ,01/12/2011
30,Nagpur,30,-1,17,3,60,5,0,0,-17,0,113  ,02/02/2011
30,Nagpur,33,-2,19,2,75,32,0,0,0,1.0,113  ,02/03/2011
30,Nagpur,40,2,19,-3,33,-5,0,0,-22,TR,113  ,02/04/2011
30,Nagpur,39,-4,25,-2,55,23,0,66,33,7,113  ,02/05/2011
30,Nagpur,43,2,31,3,50,3,0,0,-2,8,113  ,02/06/2011
29,Nagpur,36,2,26,1,60,-14,0,137,-45,22,113  ,02/07/2011
29,Nagpur,33,3,25,1,85,-2,0,350,-141,43,113  ,02/08/2011
28,Nagpur,31,0,25,2,90,6,9,743,-37,82,113  ,02/09/2011
28,Nagpur,35,-,20,-2,65,-12,0,0,-6,99,113  ,02/10/2011
27,Nagpur,31,0,14,-2,57,-5,0,1,-64,99,113  ,02/11/2011
27,Nagpur,29,0,13,0,70,11,0,1,-80,99,113  ,02/12/2011
