,0,1,2,3,4,5,6,7,8,9,10,11,12
21,Nanded,29,-1,17,4,65,2,0,-,-,-,94   ,01/01/2011
21,Nanded,33,1,17,2,75,23,0,0,-6,0,94   ,01/02/2011
22,Nanded,35,0,19,2,70,25,0,0,0,1,94   ,01/03/2011
21,Nanded,39,0,19,-3,45,5,0,6,-4,1,94   ,01/04/2011
21,Nanded,43,2,23,-2,80,38,0,17,-3,2,94   ,01/05/2011
22,Nanded,43,4,-,,-,-,-,-,-,-,94   ,01/06/2011
22,Nanded,36,2,24,2,70,-6,0,33,-131,5,94   ,01/07/2011
21,Nanded,33,2,21,-1,95,12,7,186,-219,21,94   ,01/08/2011
21,Nanded,30,-1,-,,-,-,-,-,-,-,94   ,01/09/2011
21,Nanded,33,1,21,0,95,19,0,0,-4,35,94   ,01/10/2011
21,Nanded,32,-,-,-,-,-,-,-,-,-,94   ,01/11/2011
20,Nanded,-,-,15,-,80,-,0,7,-68,36,94   ,01/12/2011
22,Nanded,-,-,17,-,55,3,0,0,-6,0,94   ,02/02/2011
22,Nanded,-,-,19,1,60,14,0,0,0,1.0,94   ,02/03/2011
22,Nanded,39,0,-,,-,-,-,-,-,-,94   ,02/04/2011
22,Nanded,-,-,23,-,63,16,0,17,-4,2,94   ,02/05/2011
22,Nanded,43,4,-,,-,-,-,-,-,-,94   ,02/06/2011
21,Nanded,37,3,26,4,95,19,3,35,-134,6,94   ,02/07/2011
21,Nanded,31,0,16,-6,90,7,8,194,-217,22,94   ,02/08/2011
20,Nanded,30,-1,23,1,85,4,1,294,-361,32,94   ,02/09/2011
21,Nanded,-,-,22,-,80,4,0,0,-7,35,94   ,02/10/2011
20,Nanded,33,0,17,0,55,-8,0,7,-55,36,94   ,02/11/2011
19,Nanded,32,1,-,,-,-,-,-,-,-,94   ,02/12/2011
22,Nanded,-,-,15,-,75,12,0,0,-1,0,94   ,03/01/2011
22,Nanded,33,1,17,2,55,3,0,0,-6,0,94   ,03/02/2011
22,Nanded,-,-,21,3,55,9,0,0,0,0,94   ,03/03/2011
22,Nanded,-,-,20,-,42,2,0,6,-5,1,94   ,03/04/2011
20,Nanded,-,-,23,-,85,27,3,3,-6,3,94   ,03/06/2011
21,Nanded,-,-,24,-,85,9,0,35,-142,6,94   ,03/07/2011
21,Nanded,31,0,23,1,90,7,0,194,-224,22,94   ,03/08/2011
21,Nanded,-,-,22,-,85,2,14,308,-361,33,94   ,03/09/2011
20,Nanded,-,-,22,-,90,20,0,0,-9,35,94   ,03/10/2011
18,Nanded,33,1,17,0,70,7,0,7,-56,36,94   ,03/11/2011
21,Nanded,-,-,15,-,70,8,0,7,-69,36,94   ,03/12/2011
22,Nanded,30,0,15,2,85,22,0,0,-1,0,94   ,04/01/2011
21,Nanded,34,2,13,-2,70,18,0,0,-6,0,94   ,04/02/2011
22,Nanded,-,-,19,-,47,7,0,6,-5,1,94   ,04/04/2011
22,Nanded,41,-1,23,-2,45,8,0,17,-4,2,94   ,04/05/2011
21,Nanded,-,-,23,-,85,28,0,3,-8,3,94   ,04/06/2011
21,Nanded,37,3,24,2,80,4,0,35,-146,6,94   ,04/07/2011
21,Nanded,29,2,21,-1,90,9,5,199,-225,22,94   ,04/08/2011
21,Nanded,31,0,22,0,80,-3,12,320,-357,34,94   ,04/09/2011
20,Nanded,33,0,-,,-,-,-,-,-,-,94   ,04/10/2011
21,Nanded,33,1,17,0,80,17,0,7,-57,36,94   ,04/11/2011
20,Nanded,29,-1,16,3,85,22,0,0,-1,0,94   ,05/01/2011
22,Nanded,33,1,13,-2,75,25,0,0,-7,0,94   ,05/02/2011
22,Nanded,37,1,21,3,75,29,0,0,0,0,94   ,05/03/2011
21,Nanded,39,0,19,-3,40,0,0,6,-5,1,94   ,05/04/2011
21,Nanded,39,0,23,-1,85,24,0,9,-13,3,94   ,05/06/2011
21,Nanded,-,-,28,-,98,17,0,199,-230,22,94   ,05/08/2011
21,Nanded,31,0,-,,-,-,-,-,-,-,94   ,05/09/2011
21,Nanded,-,-,19,-,65,2,0,7,-57,36,94   ,05/11/2011
21,Nanded,32,2,15,2,90,27,0,7,-71,36,94   ,05/12/2011
22,Nanded,31,1,7,-6,85,12,0,0,-1,0,94   ,06/01/2011
22,Nanded,33,0,13,-2,80,30,0,0,-8,0,94   ,06/02/2011
22,Nanded,37,1,21,3,80,34,0,0,-1,TR,94   ,06/03/2011
21,Nanded,39,-1,19,-3,30,-,0,0,-11,1,94   ,06/04/2011
20,Nanded,41,-1,24,-2,45,7,0,17,-5,2,94   ,06/05/2011
21,Nanded,33,-5,25,1,85,24,2,5,-16,3,94   ,06/06/2011
21,Nanded,30,-3,-,,-,-,-,-,-,-,94   ,06/07/2011
21,Nanded,33,1,23,1,90,9,0,199,-234,22,94   ,06/08/2011
21,Nanded,31,0,25,3,85,2,1,321,-367,34,94   ,06/09/2011
21,Nanded,32,-1,21,0,80,10,0,0,-17,35,94   ,06/10/2011
20,Nanded,-,-,18,-,65,2,0,7,-58,36,94   ,06/11/2011
21,Nanded,33,3,17,4,75,12,0,79,-72,36,94   ,06/12/2011
21,Nanded,-,-,7,-,75,12,0,0,-1,0,94   ,07/01/2011
21,Nanded,-,-,15,-,60,10,0,0,-8,0,94   ,07/02/2011
21,Nanded,35,-1,21,3,55,10,0,0,-1,1,94   ,07/03/2011
22,Nanded,39,-1,19,-3,57,17,0,0,-11,1,94   ,07/04/2011
21,Nanded,41,-1,21,-5,45,7,0,17,-5,2,94   ,07/05/2011
21,Nanded,-,-,25,-,85,24,0,5,-18,3,94   ,07/06/2011
22,Nanded,28,-5,21,-1,90,12,31,67,-137,9,94   ,07/07/2011
21,Nanded,29,3,23,1,85,4,0,199,-240,22,94   ,07/08/2011
20,Nanded,31,0,22,0,80,-3,0,321,-371,34,94   ,07/09/2011
21,Nanded,-,-,21,-,85,15,0,0,-21,35,94   ,07/10/2011
21,Nanded,32,0,17,1,85,22,0,7,-58,36,94   ,07/11/2011
21,Nanded,33,3,17,4,60,-3,0,7,-72,36,94   ,07/12/2011
21,Nanded,29,-1,8,-5,65,2,0,0,-1,0.0,94   ,08/01/2011
22,Nanded,36,3,15,0,70,20,0,0,-8,0,94   ,08/02/2011
22,Nanded,-,-,21,-,65,20,0,0,-1,5,94   ,08/03/2011
22,Nanded,39,-1,22,0,57,17,8,0,-11,1,94   ,08/04/2011
20,Nanded,-,-,24,-,70,32,0,17,-5,2,94   ,08/05/2011
21,Nanded,39,1,25,1,80,19,0,5,-19,3,94   ,08/06/2011
21,Nanded,30,-3,23,1,90,12,4,71,-142,9,94   ,08/07/2011
21,Nanded,31,-1,-,,-,-,-,-,-,-,94   ,08/08/2011
21,Nanded,31,0,21,-1,85,3,3,324,-367,35,94   ,08/09/2011
20,Nanded,32,0,-,,-,-,-,-,-,-,94   ,08/11/2011
20,Nanded,-,-,14,-,65,2,0,7,-73,36,94   ,08/12/2011
22,Nanded,29,-1,9,-4,70,7,0,0,-1,0,94   ,09/01/2011
21,Nanded,-,-,15,-,70,18,0,0,-8,0,94   ,09/02/2011
22,Nanded,39,3,20,2,48,3,0,0,-3,1,94   ,09/03/2011
21,Nanded,-,-,20,-,60,20,0,0,-12,1,94   ,09/04/2011
21,Nanded,39,1,23,-1,90,19,9,14,-12,4,94   ,09/06/2011
21,Nanded,-,-,22,-,85,7,0,71,-150,9,94   ,09/07/2011
21,Nanded,31,0,21,-1,85,3,0,324,-372,35,94   ,09/09/2011
20,Nanded,-,-,23,-,75,7,0,0,-30,35,94   ,09/10/2011
19,Nanded,35,3,-,,-,-,-,-,-,-,94   ,09/11/2011
21,Nanded,33,3,13,0,70,7,0,7,-73,36,94   ,09/12/2011
22,Nanded,29,-1,7,-6,80,17,0,0,-2,0,94   ,10/01/2011
22,Nanded,35,1,17,2,80,31,0,0,-8,0,94   ,10/02/2011
22,Nanded,37,1,18,0,38,7,0,0,-4,1,94   ,10/03/2011
