,0,1,2,3,4,5,6,7,8,9,10,11,12
15,Nasik,25,-4,7,-3,65,-4,0,-,-,-,68   ,01/01/2011
14,Nasik,30,0,12,1,85,21,0,0,-1,0,68   ,01/02/2011
15,Nasik,32,0,16,3,75,18,0,0,0,0,68   ,01/03/2011
14,Nasik,36,0,15,-3,45,-4,0,0,-3,0,68   ,01/04/2011
14,Nasik,39,2,25,4,70,16,0,0,-7,0,68   ,01/05/2011
15,Nasik,35,0,23,0,63,-6,0,0,-1,0,68   ,01/06/2011
15,Nasik,30,1,22,0,80,-2,0,97,-4,10,68   ,01/07/2011
14,Nasik,26,-2,21,-1,98,10,10,259,-41,26,68   ,01/08/2011
14,Nasik,31,3,22,1,95,9,3,473,39,47,68   ,01/09/2011
14,Nasik,31,0,20,2,90,15,14,14,10,58,68   ,01/10/2011
14,Nasik,32,1,16,0,57,-14,0,52,-4,62,68   ,01/11/2011
14,Nasik,32,2,16,4,85,26,0,52,-24,62,68   ,01/12/2011
15,Nasik,32,2,11,0,75,11,0,0,-1,0,68   ,02/02/2011
15,Nasik,34,1,15,1,60,7,0,0,0,0.0,68   ,02/03/2011
15,Nasik,34,-2,14,-4,55,6,0,0,-3,0,68   ,02/04/2011
15,Nasik,40,2,23,2,60,6,0,0,-7,0,68   ,02/05/2011
15,Nasik,35,0,22,-1,70,1,0,0,-3,0,68   ,02/06/2011
14,Nasik,31,2,22,0,80,-2,0,97,-12,10,68   ,02/07/2011
14,Nasik,27,0,21,-1,85,-3,1,260,-46,26,68   ,02/08/2011
13,Nasik,29,1,23,2,98,12,5,477,37,48,68   ,02/09/2011
14,Nasik,31,0,22,4,90,15,TR,14,6,58,68   ,02/10/2011
13,Nasik,31,0,16,1,47,-21,0,52,-6,62,68   ,02/11/2011
13,Nasik,33,3,14,2,85,26,0,52,-24,62,68   ,02/12/2011
15,Nasik,25,-3,9,-1,75,6,0,0,0,0,68   ,03/01/2011
15,Nasik,31,1,12,1,80,16,0,0,-1,0,68   ,03/02/2011
15,Nasik,34,1,15,1,50,-3,0,0,-1,0,68   ,03/03/2011
