,0,1,2,3,4,5,6,7,8,9,10,11,12
22,Osmanabad,27,-,14,-,65,-,0,-,-,-,82   ,01/01/2011
22,Osmanabad,32,-,15,-,55,-,0,0,-6,0,82   ,01/02/2011
23,Osmanabad,32,-,17,-,50,-,0,0,-3,1,82   ,01/03/2011
22,Osmanabad,38,-,21,-,25,-,0,1,-1,1,82   ,01/04/2011
22,Osmanabad,41,-,22,-,65,-,0,20,-1,3,82   ,01/05/2011
23,Osmanabad,39,-,23,-,57,-,0,0,9,5,82   ,01/06/2011
23,Osmanabad,33,-,21,-,80,-,0,51,-78,4,82   ,01/07/2011
22,Osmanabad,29,-,19,-,90,-,2,285,-78,34,82   ,01/08/2011
22,Osmanabad,29,-,19,-,95,-,2,486,-78,54,82   ,01/09/2011
22,Osmanabad,31,-,19,-,85,-,0,0,-,-,82   ,01/10/2011
22,Osmanabad,-,-,20,-,70,-,0,61,-29,62,82   ,01/11/2011
21,Osmanabad,-,-,17,-,65,-,0,61,-49,62,82   ,01/12/2011
23,Osmanabad,33,-,15,-,55,-,0,0,-6,0,82   ,02/02/2011
23,Osmanabad,-,-,17,-,50,-,0,0,-1,1.0,82   ,02/03/2011
23,Osmanabad,37,-,-,,-,-,-,-,-,-,82   ,02/04/2011
23,Osmanabad,38,-,20,-,65,-,6,26,-1,4,82   ,02/05/2011
23,Osmanabad,39,-,22,-,85,-,0,0,9,5,82   ,02/06/2011
22,Osmanabad,33,-,20,-,80,-,0,51,-78,11,82   ,02/07/2011
22,Osmanabad,28,-,-,,-,-,-,-,-,-,82   ,02/08/2011
21,Osmanabad,-,-,20,-,98,-,5,491,-78,55,82   ,02/09/2011
22,Osmanabad,31,-,21,-,85,-,0,0,-8,56,82   ,02/10/2011
21,Osmanabad,-,-,17,-,70,-,0,61,-30,62,82   ,02/11/2011
20,Osmanabad,33,-,15,-,53,-,0,61,-49,62,82   ,02/12/2011
23,Osmanabad,28,-,14,-,70,-,0,0,-1,0,82   ,03/01/2011
23,Osmanabad,33,-,15,-,55,-,0,0,-6,0,82   ,03/02/2011
23,Osmanabad,33,-,20,-,47,-,1,1,0,1,82   ,03/03/2011
23,Osmanabad,38,-,19,-,35,-,0,1,-1,1,82   ,03/04/2011
21,Osmanabad,37,-,22,,55,-,1,27,-1,4.0,82   ,03/05/2011
21,Osmanabad,36,-,21,-,70,-,1,1,9,5,82   ,03/06/2011
22,Osmanabad,35,-,20,-,75,-,0,51,-78,11,82   ,03/07/2011
22,Osmanabad,29,-,-,-,90,-,2,287,-78,34,82   ,03/08/2011
22,Osmanabad,28,-,20,-,90,-,-,-,-,-,82   ,03/09/2011
21,Osmanabad,31,-,19,-,95,-,21,21,5,58,82   ,03/10/2011
19,Osmanabad,-,-,17,-,65,-,0,61,-30,62,82   ,03/11/2011
22,Osmanabad,-,-,13,-,45,-,0,61,-49,62,82   ,03/12/2011
23,Osmanabad,29,-,14,-,85,-,0,0,-1,0,82   ,04/01/2011
22,Osmanabad,32,-,14,-,50,-,0,0,-7,0,82   ,04/02/2011
23,Osmanabad,36,-,-,-,-,-,-,-,-,-,82   ,04/04/2011
23,Osmanabad,39,-,23,-,27,-,0,27,-1,4,82   ,04/05/2011
22,Osmanabad,34,-,21,-,80,-,6,7,9,6,82   ,04/06/2011
22,Osmanabad,33,-,20,-,80,-,4,55,-78,11,82   ,04/07/2011
22,Osmanabad,21,-,20,-,90,-,0,287,-78,34,82   ,04/08/2011
22,Osmanabad,26,-,19,-,85,-,4,495,-10,55,82   ,04/09/2011
21,Osmanabad,31,-,20,-,90,-,8,29,6,59,82   ,04/10/2011
22,Osmanabad,32,-,17,-,65,-,0,61,-36,62,82   ,04/11/2011
21,Osmanabad,28,-,14,-,75,-,0,0,-1,0,82   ,05/01/2011
23,Osmanabad,31,-,13,-,43,-,0,0,-7,0,82   ,05/02/2011
23,Osmanabad,35,-,18,-,55,-,0,1,0,1,82   ,05/03/2011
22,Osmanabad,35,-,19,-,33,-,0,1,-1,1,82   ,05/04/2011
