,0,1,2,3,4,5,6,7,8,9,10,11,12
23,Parbhani,26,-4,14,1,65,13,0,-,-,-,97   ,01/01/2011
23,Parbhani,33,1,14,-1,70,29,0,0,-5,0,97   ,01/02/2011
24,Parbhani,32,-3,17,0,80,45,0,0,0,1,97   ,01/03/2011
23,Parbhani,39,0,21,-1,27,-8,0,0,-12,1,97   ,01/04/2011
23,Parbhani,43,2,23,-3,90,49,18,27,8,4,97   ,01/05/2011
24,Parbhani,42,3,28,2,57,5,0,0,-4,5,97   ,01/06/2011
24,Parbhani,36,2,25,1,65,-13,0,19,-146,7,97   ,01/07/2011
23,Parbhani,32,1,-,,-,-,-,-,-,-,97   ,01/08/2011
23,Parbhani,31,1,23,1,95,13,2,475,-169,53,97   ,01/09/2011
23,Parbhani,33,2,22,1,75,-1,0,0,-5,56,97   ,01/10/2011
23,Parbhani,32,0,15,-3,65,3,0,25,-53,68,97   ,01/11/2011
22,Parbhani,33,3,16,3,70,17,0,25,-67,68,97   ,01/12/2011
24,Parbhani,33,1,14,-1,80,39,0,0,-5,0,97   ,02/02/2011
24,Parbhani,33,-3,19,1,65,30,0,0,0,1.0,97   ,02/03/2011
24,Parbhani,39,0,20,-2,35,0,0,0,-12,1,97   ,02/04/2011
24,Parbhani,40,-2,22,-4,65,24,8,35,14,5,97   ,02/05/2011
24,Parbhani,42,3,27,1,60,-2,0,0,-6,5,97   ,02/06/2011
23,Parbhani,37,3,25,1,57,21,0,19,-152,7,97   ,02/07/2011
23,Parbhani,30,-1,22,0,85,2,31,387,-29,44,97   ,02/08/2011
22,Parbhani,29,-1,23,1,90,8,13,488,-165,54,97   ,02/09/2011
23,Parbhani,34,3,21,0,75,-1,0,0,-7,65,97   ,02/10/2011
22,Parbhani,33,1,15,-1,57,-1,0,25,-54,68,97   ,02/11/2011
21,Parbhani,33,3,14,1,60,7,0,25,-67,68,97   ,02/12/2011
24,Parbhani,25,-5,14,1,65,13,0,0,-1,0,97   ,03/01/2011
24,Parbhani,32,0,14,1,70,29,0,0,-5,0,97   ,03/02/2011
24,Parbhani,35,-1,19,1,60,25,0,0,-1,1,97   ,03/03/2011
24,Parbhani,39,0,21,-1,37,2,0,0,-12,1,97   ,03/04/2011
22,Parbhani,40,-2,25,-1,37,-4,0,35,14,5.0,97   ,03/05/2011
22,Parbhani,40,1,25,-1,65,3,3,3,-4,6,97   ,03/06/2011
23,Parbhani,36,2,25,1,65,-13,3,22,-157,76,97   ,03/07/2011
23,Parbhani,31,0,24,2,90,7,0,387,-37,44,97   ,03/08/2011
23,Parbhani,31,0,23,1,90,7,20,508,-154,56,97   ,03/09/2011
22,Parbhani,33,2,23,2,80,7,2,2,-10,65,97   ,03/10/2011
20,Parbhani,32,1,14,-2,65,7,0,25,-55,68,97   ,03/11/2011
23,Parbhani,32,2,13,0,55,2,0,25,-68,68,97   ,03/12/2011
24,Parbhani,28,-2,14,1,75,23,0,0,-1,0,97   ,04/01/2011
23,Parbhani,32,0,12,-3,70,29,0,0,-5,0,97   ,04/02/2011
24,Parbhani,41,-1,24,-2,37,-4,0,35,14,5,97   ,04/05/2011
23,Parbhani,38,-1,24,-2,75,13,3,5,-6,6,97   ,04/06/2011
23,Parbhani,36,2,25,1,65,-13,0,22,-163,8,97   ,04/07/2011
23,Parbhani,30,2,23,0,90,8,4,391,-41,45,97   ,04/08/2011
23,Parbhani,32,1,23,1,80,-3,1,509,-162,56,97   ,04/09/2011
22,Parbhani,33,1,23,2,85,12,0,2,-18,65,97   ,04/10/2011
23,Parbhani,32,1,15,-1,60,2,0,25,-55,68,97   ,04/11/2011
22,Parbhani,28,-2,12,-1,65,13,0,0,-1,0,97   ,05/01/2011
24,Parbhani,33,1,11,-4,53,14,0,0,-5,0,97   ,05/02/2011
24,Parbhani,37,1,20,2,50,15,0,0,-2,1,97   ,05/03/2011
23,Parbhani,39,0,21,-1,27,-8,0,0,-13,1,97   ,05/04/2011
23,Parbhani,37,-2,25,0,50,-16,0,5,-9,6,97   ,05/06/2011
23,Parbhani,29,-2,23,0,80,-2,0,391,-45,45,97   ,05/08/2011
23,Parbhani,33,2,22,0,75,-8,5,515,-165,57,97   ,05/09/2011
10,Parbhani,32,0,21,0,80,7,0,2,-20,65,97   ,05/10/2011
23,Parbhani,-,-,16,-,65,7,0,25,-55,68,97   ,05/11/2011
23,Parbhani,33,3,15,2,70,14,0,25,-69,68,97   ,05/12/2011
24,Parbhani,28,-2,6,-7,50,-1,0,0,-1,0,97   ,06/01/2011
24,Parbhani,33,0,11,-4,55,16,0,0,-5,0,97   ,06/02/2011
24,Parbhani,38,2,20,2,60,25,0,0,-2,1,97   ,06/03/2011
23,Parbhani,39,0,21,-2,55,20,0,0,-13,1,97   ,06/04/2011
22,Parbhani,40,-2,25,-1,40,-3,0,35,13,5,97   ,06/05/2011
23,Parbhani,38,0,25,0,55,-11,0,5,-14,6,97   ,06/06/2011
23,Parbhani,29,4,23,0,95,15,17,39,-159,9,97   ,06/07/2011
23,Parbhani,31,0,23,0,85,3,TR,391,-51,45,97   ,06/08/2011
23,Parbhani,31,0,22,0,70,-13,0,515,-169,57,97   ,06/09/2011
23,Parbhani,33,1,19,-2,65,-8,0,2,-23,65,97   ,06/10/2011
22,Parbhani,30,-1,15,-1,70,12,0,25,-56,68,97   ,06/11/2011
23,Parbhani,33,3,16,3,70,14,0,25,-70,68,97   ,06/12/2011
23,Parbhani,27,-3,6,-7,47,-4,0,0,-1,0,97   ,07/01/2011
23,Parbhani,34,1,12,-3,70,31,0,0,-5,0,97   ,07/02/2011
23,Parbhani,38,2,19,0,50,16,0,0,-2,1,97   ,07/03/2011
24,Parbhani,38,-1,25,2,53,18,0,0,-13,1,97   ,07/04/2011
23,Parbhani,41,-1,24,-2,33,-10,0,35,13,5,97   ,07/05/2011
23,Parbhani,39,1,27,2,65,-1,0,5,-18,6,97   ,07/06/2011
24,Parbhani,29,-4,23,0,95,15,32,71,-133,13,97   ,07/07/2011
23,Parbhani,29,-2,24,1,80,-2,0,391,-57,45,97   ,07/08/2011
22,Parbhani,31,0,23,1,85,2,TR,515,-175,57,97   ,07/09/2011
23,Parbhani,-,-,21,-,70,-3,0,2,-26,65,97   ,07/10/2011
23,Parbhani,33,2,15,0,65,8,0,25,-56,68,97   ,07/11/2011
23,Parbhani,-,-,15,-,90,34,0,25,-70,68,97   ,07/12/2011
23,Parbhani,27,-3,7,-6,50,-1,0,0,-1,0.0,97   ,08/01/2011
24,Parbhani,34,1,15,0,65,26,0,0,-5,0,97   ,08/02/2011
24,Parbhani,39,3,20,1,45,11,0,0,-2,1,97   ,08/03/2011
24,Parbhani,40,1,22,-1,47,12,0,0,-13,1,97   ,08/04/2011
22,Parbhani,41,-1,25,-1,55,12,0,35,12,5,97   ,08/05/2011
23,Parbhani,37,-1,27,2,60,-6,TR,-,-,-,97   ,08/06/2011
23,Parbhani,30,-3,23,0,95,15,16,87,-127,14,97   ,08/07/2011
23,Parbhani,31,0,24,1,80,-2,0,391,-64,45,97   ,08/08/2011
23,Parbhani,30,-1,22,0,75,-7,0,515,-175,60,97   ,08/09/2011
21,Parbhani,35,3,22,2,90,-1,2,4,-28,66,97   ,08/10/2011
22,Parbhani,34,3,15,0,60,3,0,25,-56,68,97   ,08/11/2011
22,Parbhani,32,2,13,0,75,19,0,25,-70,68,97   ,08/12/2011
24,Parbhani,30,0,7,-6,75,24,0,0,-1,0,97   ,09/01/2011
23,Parbhani,34,2,14,-1,65,24,0,-,-,-,97   ,09/02/2011
24,Parbhani,38,2,19,0,45,11,0,0,-2,1,97   ,09/03/2011
23,Parbhani,38,-1,22,-1,50,15,0,0,-13,1,97   ,09/04/2011
23,Parbhani,40,2,24,-1,80,14,1,6,-26,6,97   ,09/06/2011
23,Parbhani,30,-3,22,-1,80,0,0,87,-132,14,97   ,09/07/2011
21,Parbhani,31,1,24,2,85,3,0,391,-69,45,97   ,09/08/2011
23,Parbhani,-,-,21,-,85,3,0,515,-185,57,97   ,09/09/2011
22,Parbhani,34,2,21,1,75,4,0,4,-31,66,97   ,09/10/2011
21,Parbhani,34,3,16,1,60,3,0,25,-56,68,97   ,09/11/2011
23,Parbhani,32,2,13,0,65,9,0,25,-70,68,97   ,09/12/2011
24,Parbhani,30,0,8,-5,43,-8,0,0,-1,0,97   ,10/01/2011
24,Parbhani,34,1,14,-2,53,15,0,0,-6,0,97   ,10/02/2011
24,Parbhani,37,1,17,-2,35,1,0,0,-3,1,97   ,10/03/2011
23,Parbhani,38,-1,22,-1,47,12,TR,TR,-13,1,97   ,10/04/2011
24,Parbhani,36-,2,25,0,70,1,0,6,-29,6,97   ,10/06/2011
24,Parbhani,33,0,23,0,70,-11,0,87,-135,14,97   ,10/07/2011
22,Parbhani,30,0,23,1,70,-12,0,391,-76,45,97   ,10/08/2011
23,Parbhani,32,1,22,0,75,-7,0,515,-146,57,97   ,10/09/2011
21,Parbhani,34,2,21,1,65,-6,0,4,-39,66,97   ,10/10/2011
22,Parbhani,33,2,14,-1,70,13,0,25,-58,68,97   ,10/11/2011
22,Parbhani,33,3,13,0,55,-1,0,25,-71,68,97   ,10/12/2011
24,Parbhani,29,-1,7,-7,55,5,0,0,-1,0,97   ,11/01/2011
24,Parbhani,35,2,15,-1,55,17,0,0,-6,0,97   ,11/02/2011
23,Parbhani,37,1,16,-3,40,6,0,0,-5,1,97   ,11/03/2011
24,Parbhani,38,-1,22,-2,37,1,0,0,-13,1,97   ,11/04/2011
21,Parbhani,40,-2,25,-2,37,-9,0,35,12,5,97   ,11/05/2011
24,Parbhani,35,-3,24,-1,55,-14,0,6,-33,6,97   ,11/06/2011
23,Parbhani,33,1,-,,-,-,-,-,-,-,97   ,11/07/2011
22,Parbhani,33,3,23,1,70,-12,0,391,-83,45,97   ,11/08/2011
21,Parbhani,31,0,23,1,85,3,0,515,-199,57,97   ,11/09/2011
23,Parbhani,34,2,22,2,80,9,0,4,-42,66,97   ,11/10/2011
22,Parbhani,33,3,13,0,70,14,0,25,-71,68,97   ,11/12/2011
24,Parbhani,30,0,8,-6,60,10,0,0,-2,0,97   ,12/01/2011
24,Parbhani,34,1,15,-1,60,22,0,0,-6,0,97   ,12/02/2011
24,Parbhani,36,-1,16,-3,33,-1,0,0,-5,1,97   ,12/03/2011
23,Parbhani,40,1,26,2,50,14,0,0,-13,1,97   ,12/04/2011
21,Parbhani,41,-1,25,-2,32,-14,0,35,12,5,97   ,12/05/2011
23,Parbhani,33,-1,25,0,60,-9,0,6,-39,6,97   ,12/06/2011
24,Parbhani,33,1,24,1,85,4,0,87,-150,14,97   ,12/07/2011
23,Parbhani,-,-,23,-,75,-7,0,391,-94,45,97   ,12/08/2011
22,Parbhani,31,0,22,0,70,-12,0,515,-207,57,97   ,12/09/2011
22,Parbhani,35,3,22,2,90,19,TR,4,-43,66,97   ,12/10/2011
21,Parbhani,34,3,15,0,60,5,0,25,-38,68,97   ,12/11/2011
22,Parbhani,32,-,14,-,70,-,0,25,-71,68,97   ,12/12/2011
23,Parbhani,31,1,9,-5,70,20,0,0,-2,0,97   ,13/01/2011
23,Parbhani,34,1,16,0,53,15,0,0,-6,0,97   ,13/02/2011
24,Parbhani,36,-1,15,-4,30,-4,0,0,-5,1,97   ,13/03/2011
22,Parbhani,40,1,23,-1,55,19,5,5,-9,2,97   ,13/04/2011
21,Parbhani,43,1,25,-2,37,-9,0,35,11,5,97   ,13/05/2011
23,Parbhani,39,1,25,0,55,-14,0,6,-44,6,97   ,13/06/2011
22,Parbhani,32,0,24,1,90,1,89,154,14,-,97   ,13/07/2011
22,Parbhani,32,2,24,2,85,1,392,99,45,-,97   ,13/08/2011
23,Parbhani,33,2,23,2,75,-1,0,515,-210,57,97   ,13/09/2011
23,Parbhani,33,1,21,1,85,18,3,7,-41,66,97   ,13/10/2011
22,Parbhani,34,3,16,1,75,20,0,25,-59,68,97   ,13/11/2011
22,Parbhani,31,-,14,-,75,20,0,25,-71,68,97   ,13/12/2011
24,Parbhani,33,3,10,-4,80,30,0,0,-2,0,97   ,14/01/2011
24,Parbhani,35,2,15,-1,55,17,0,0,-7,0,97   ,14/02/2011
24,Parbhani,37,0,15,-4,25,-9,0,0,-6,1,97   ,14/03/2011
24,Parbhani,39,0,24,0,57,21,0,5,-10,2,97   ,14/04/2011
21,Parbhani,43,1,28,1,40,-6,0,35,10,5,97   ,14/05/2011
23,Parbhani,39,1,26,1,60,-9,0,6,-49,6,97   ,14/06/2011
22,Parbhani,26,-6,22,-1,98,17,110,199,-47,25,97   ,14/07/2011
23,Parbhani,30,0,23,1,90,8,6,398,-98,45,97   ,14/08/2011
23,Parbhani,32,1,24,3,75,-1,0,515,-214,57,97   ,14/09/2011
22,Parbhani,33,1,22,2,90,22,18,25,-25,68,97   ,14/10/2011
22,Parbhani,34,3,17,2,65,10,0,25,-59,68,97   ,14/11/2011
21,Parbhani,31,1,13,0,65,10,0,25,-72,68,97   ,14/12/2011
24,Parbhani,33,3,11,-3,55,5,0,0,-3,0,97   ,15/01/2011
23,Parbhani,35,1,15,-1,55,19,0,0,-7,0,97   ,15/02/2011
24,Parbhani,37,0,16,-3,25,-9,0,0,-6,1,97   ,15/03/2011
24,Parbhani,40,1,23,-1,43,7,0,5,-10,2,97   ,15/04/2011
21,Parbhani,42,0,27,0,57,11,0,35,10,5,97   ,15/05/2011
23,Parbhani,39,2,26,1,65,-7,0,6,-53,6,97   ,15/06/2011
24,Parbhani,25,3,22,-1,85,3,20,219,-36,27,97   ,15/07/2011
22,Parbhani,32,2,23,1,80,-2,0,398,-106,45,97   ,15/08/2011
23,Parbhani,32,1,23,2,85,9,1,516,-213,57,97   ,15/09/2011
23,Parbhani,34,2,22,2,80,12,0,25,-27,68,97   ,15/10/2011
20,Parbhani,-,-,18,-,75,20,0,25,-51,68,97   ,15/11/2011
23,Parbhani,31,1,11,-2,70,15,0,25,-72,68,97   ,15/12/2011
23,Parbhani,32,2,12,-2,70,22,0,0,-3,0,97   ,16/01/2011
24,Parbhani,35,1,18,2,60,24,0,0,-8,0,97   ,16/02/2011
24,Parbhani,38,1,16,-3,23,-11,0,0,-6,1,97   ,16/03/2011
23,Parbhani,41,2,25,1,43,6,0,5,-10,2,97   ,16/04/2011
24,Parbhani,-,-,28,1,43,-6,0,35,10,5,97   ,16/05/2011
24,Parbhani,34,-3,24,-1,60,-12,0,6,-61,6,97   ,16/06/2011
24,Parbhani,31,-1,23,0,85,3,3,222,-39,28,97   ,16/07/2011
21,Parbhani,33,3,23,1,75,-7,0,398,-116,45,97   ,16/08/2011
23,Parbhani,31,0,23,2,98,22,44,560,-179,61,97   ,16/09/2011
18,Parbhani,34,2,21,1,70,2,0,-,-,-,97,16/10/2011
21,Parbhani,32,1,15,0,70,15,0,25,-51,68,97   ,16/11/2011
23,Parbhani,31,1,9,-5,60,12,0,0,-3,0.0,97   ,17/01/2011
24,Parbhani,32,-2,16,0,50,-16,0,0,-8,0.0,97   ,17/02/2011
23,Parbhani,37,0,15,-5,24,-10,0,0,-7,1,97   ,17/03/2011
24,Parbhani,40,0,25,1,43,6,0,5,-11,2,97   ,17/04/2011
23,Parbhani,42,0,26,-1,33,-16,0,35,10,5,97   ,17/05/2011
22,Parbhani,35,-2,24,1,65,-7,0,6,-67,6,97   ,17/06/2011
24,Parbhani,32,0,23,0,85,3,0,222,-45,28,97   ,17/07/2011
21,Parbhani,33,3,23,1,85,3,0,398,-125,45,97   ,17/08/2011
23,Parbhani,31,0,22,1,85,9,16,578,-167,63,97   ,17/09/2011
23,Parbhani,32,2,11,-3,50,-4,0,25,-60,68,97   ,17/11/2011
22,Parbhani,32,2,11,-2,65,10,0,25,-74,68.0,97   ,17/12/2011
23,Parbhani,31,1,9,-5,70,22,0,0,-4,0,97   ,18/01/2011
24,Parbhani,32,-2,14,-2,55,19,0,0,-3,0,97   ,18/02/2011
23,Parbhani,38,1,16,-4,35,1,0,0,-8,1,97   ,18/03/2011
24,Parbhani,41,1,23,-1,60,23,2,7,-9,2,97   ,18/04/2011
23,Parbhani,43,1,28,1,37,12,0,25,9,5,97   ,18/05/2011
24,Parbhani,37,0,25,0,60,-12,0,6,-71,6,97   ,18/06/2011
23,Parbhani,33,1,23,0,85,3,10,232,-43,29,97   ,18/07/2011
22,Parbhani,33,3,23,1,85,3,1,399,-131,45,97   ,18/08/2011
22,Parbhani,30,-1,23,2,80,7,0,578,-172,63,97   ,18/09/2011
22,Parbhani,34,2,21,2,75,9,0,25,-34,68,97   ,18/10/2011
21,Parbhani,32,2,12,-2,60,6,0,25,-60,68,97   ,18/11/2011
24,Parbhani,33,3,11,3,55,-,0,0,-4,0,97   ,19/01/2011
24,Parbhani,32,-2,17,1,55,19,0,0,-8,0,97   ,19/02/2011
21,Parbhani,38,1,20,0,28,-6,0,0,-8,1,97   ,19/03/2011
23,Parbhani,39,-1,25,1,43,6,0,7,-9,2,97   ,19/04/2011
23,Parbhani,43,1,28,1,27,-22,0,35,9,5,97   ,19/05/2011
24,Parbhani,36,-1,25,0,60,-12,0,6,-79,7,97   ,19/06/2011
24,Parbhani,31,-1,24,1,85,3,4,236,-44,29,97   ,19/07/2011
22,Parbhani,31,1,23,1,98,16,1,401,-136,45,97   ,19/08/2011
22,Parbhani,31,-1,21,0,80,7,0,578,-181,63,97   ,19/09/2011
23,Parbhani,34,2,21,2,75,11,0,25,-38,68,97   ,19/10/2011
23,Parbhani,32,2,12,-2,65,11,0,25,-61,68,97   ,19/11/2011
23,Parbhani,31,2,11,-2,70,15,0,25,-75,68,97   ,19/12/2011
24,Parbhani,32,2,12,-2,55,7,0,0,-4,0,97   ,20/01/2011
24,Parbhani,33,-1,19,2,80,45,0,0,-8,0,97   ,20/02/2011
23,Parbhani,39,2,20,0,25,-9,0,0,-8,1,97   ,20/03/2011
24,Parbhani,41,1,26,2,50,13,0,7,-10,2,97   ,20/04/2011
23,Parbhani,43,1,27,0,37,12,0,35,3,5,97   ,20/05/2011
24,Parbhani,37,1,27,3,60,-15,0,6,-88,6,97   ,20/06/2011
24,Parbhani,38,2,25,2,95,12,1,237,-49,29,97   ,20/07/2011
23,Parbhani,31,1,23,1,98,16,4,404,-138,46,97   ,20/08/2011
22,Parbhani,31,2,22,1,85,12,0,578,-185,63,97   ,20/09/2011
22,Parbhani,33,3,13,-1,65,11,0,25,-64,68.0,97   ,20/11/2011
23,Parbhani,31,2,12,-1,52,-3,0,25,-75,68,97   ,20/12/2011
23,Parbhani,32,1,15,1,55,8,0,0,-4,0,97   ,21/01/2011
24,Parbhani,33,-1,18,1,80,45,0,0,-8,0,97   ,21/02/2011
24,Parbhani,39,2,19,-1,33,-1,0,0,-8,1,97   ,21/03/2011
24,Parbhani,40,0,25,0,43,4,0,7,-11,2,97   ,21/04/2011
23,Parbhani,42,0,26,-1,40,-12,0,35,8,5,97   ,21/05/2011
24,Parbhani,34,-2,26,2,70,-5,0,6,-92,6,97   ,21/06/2011
24,Parbhani,29,-2,24,1,85,2,0,237,-58,29,97   ,21/07/2011
22,Parbhani,30,0,23,1,95,13,1,405,-145,46,97   ,21/08/2011
22,Parbhani,31,-1,22,1,85,12,0,578,-190,63,97   ,21/09/2011
23,Parbhani,33,3,13,-1,55,1,0,25,-61,68,97   ,21/11/2011
24,Parbhani,31,0,10,-4,55,8,0,0,-4,0,97   ,22/01/2011
24,Parbhani,31,3,14,-3,70,35,0,0,-9,0,97   ,22/02/2011
21,Parbhani,39,1,22,1,35,1,0,0,-8,1,97   ,22/03/2011
23,Parbhani,41,1,24,-1,60,21,0,7,-11,2,97   ,22/04/2011
22,Parbhani,41,0,27,0,60,8,0,35,7,5,97   ,22/05/2011
24,Parbhani,35,-1,24,0,75,0,8,14,-89,7,97   ,22/06/2011
24,Parbhani,30,-1,23,0,85,2,0,237,-68,29,97   ,22/07/2011
23,Parbhani,-,-,23,-,85,3,TR,406,-157,46,97   ,22/08/2011
22,Parbhani,31,-1,22,1,85,12,7,584,-188,64,97   ,22/09/2011
20,Parbhani,32,2,13,-1,80,26,0,25,-62,68,97   ,22/11/2011
20,Parbhani,31,2,10,-3,65,11,0,25,-75,68,97   ,22/12/2011
24,Parbhani,32,-2,15,2,58,23,0,0,-9,0,97   ,23/02/2011
24,Parbhani,39,1,21,0,33,-1,0,0,-8,1,97   ,23/03/2011
24,Parbhani,37,-3,22,-3,53,14,0,7,-11,2,97   ,23/04/2011
23,Parbhani,40,-1,28,1,55,3,0,35,7,5,97   ,23/05/2011
23,Parbhani,35,-1,27,3,67,-8,0,14,-96,7,97   ,23/06/2011
24,Parbhani,28,-3,23,0,75,-8,0,237,-76,29,97   ,23/07/2011
23,Parbhani,32,2,23,1,90,8,4,410,-160,46,97   ,23/08/2011
22,Parbhani,31,-1,21,1,80,9,0,585,-193,64,97   ,23/09/2011
23,Parbhani,34,2,16,-3,70,6,0,25,-45,68,97   ,23/10/2011
21,Parbhani,32,2,13,-1,70,16,0,25,-63,68,97   ,23/11/2011
22,Parbhani,30,0,12,-1,67,13,0,25,-75,68,97   ,23/12/2011
24,Parbhani,33,2,12,-2,50,3,0,0,-5,0.0,97   ,24/01/2011
24,Parbhani,33,-1,18,1,65,30,TR,TR,-9,0,97   ,24/02/2011
24,Parbhani,39,1,22,1,35,1,0,0,-9,1,97   ,24/03/2011
23,Parbhani,37,-3,23,-2,50,11,0,7,-11,2,97   ,24/04/2011
22,Parbhani,41,0,29,2,55,3,0,35,4,5,97   ,24/05/2011
24,Parbhani,37,1,25,1,60,-15,0,14,-10,7,97   ,24/06/2011
23,Parbhani,33,2,23,0,80,-3,3,239,-87,29,97   ,24/07/2011
23,Parbhani,31,1,23,1,90,8,1,410,-171,46,97   ,24/08/2011
22,Parbhani,31,-1,22,2,80,9,0,584,-201,64,97   ,24/09/2011
21,Parbhani,33,1,15,-4,65,1,0,25,-46,68,97   ,24/10/2011
21,Parbhani,30,0,13,-1,75,31,0,25,-63,68,97   ,24/11/2011
21,Parbhani,30,0,12,-1,70,16,0,25,-75,68,97   ,24/12/2011
24,Parbhani,33,2,13,-1,80,33,0,0,-5,0,97   ,25/01/2011
24,Parbhani,32,-3,17,0,70,35,0,0,-9,-,97   ,25/02/2011
24,Parbhani,38,0,21,0,55,21,0,0,-9,1,97   ,25/03/2011
24,Parbhani,38,-2,21,-4,55,16,2,10,-9,2,97   ,25/04/2011
22,Parbhani,41,0,29,2,50,-2,0,35,2,5,97   ,25/05/2011
21,Parbhani,33,-3,26,2,60,-17,0,14,-109,7,97   ,25/06/2011
24,Parbhani,33,2,23,1,85,3,17,257,-77,31,97   ,25/07/2011
23,Parbhani,32,2,22,0,98,16,21,432,-159,49,97   ,25/08/2011
22,Parbhani,31,-1,22,2,75,4,0,584,-211,64,97   ,25/09/2011
23,Parbhani,32,0,14,-5,60,-4,0,25,-49,68,97   ,25/10/2011
23,Parbhani,30,0,13,-1,75.0,21,0,25,-63,68,97   ,25/11/2011
24,Parbhani,33,2,13,-2,70,25,0,0,-5,0,97   ,26/01/2011
24,Parbhani,34,-1,15,-2,47,12,0,0,-9,0,97   ,26/02/2011
24,Parbhani,37,-1,21,0,50,16,0,0,-10,1,97   ,26/03/2011
24,Parbhani,39,-2,22,-3,45,5,0,10,-9,2,97   ,26/04/2011
22,Parbhani,42,1,24,-2,70,15,7,43,9,5,97   ,26/05/2011
24,Parbhani,29,-6,25,1,85,8,0,14,-117,7,97   ,26/06/2011
24,Parbhani,31,0,23,1,100,17,42,298,-45,35,97   ,26/07/2011
23,Parbhani,25,-5,21,-1,95,13,13,444,-153,50,97   ,26/08/2011
23,Parbhani,32,0,23,3,75,4,0,584,-217,64,97   ,26/09/2011
21,Parbhani,33,1,14,-5,47,-17,0,25,-49,68,97   ,26/10/2011
23,Parbhani,30,0,13,-1,73,19,0,25,-64,68,97   ,26/11/2011
20,Parbhani,31,1,10,-3,65,11,0,25,-75,68,97   ,26/12/2011
24,Parbhani,33,2,13,3,65,20,0,0,-5,0,97   ,27/01/2011
24,Parbhani,33,-2,17,0,65,30,0,0,-9,0,97   ,27/02/2011
24,Parbhani,38,0,21,-1,43,-9,0,0,-10,1,97   ,27/03/2011
24,Parbhani,41,0,23,-2,37,3,0,10,-9,2,97   ,27/04/2011
23,Parbhani,38,-3,28,2,53,-2,0,43,8,5,97   ,27/05/2011
24,Parbhani,40,2,24,-1,80,14,1,6,-26,6,97   ,27/06/2011
24,Parbhani,31,0,23,1,98,15,76,345,-7,40,97   ,27/07/2011
22,Parbhani,25,5,21,-1,98,16,15,459,-140,51,97   ,27/08/2011
23,Parbhani,32,0,23,3,85,14,0,584,-223,64,97   ,27/09/2011
23,Parbhani,33,1,15,-4,55,-9,0,25,-49,68,97   ,27/10/2011
22,Parbhani,31,1,11,-2,70,17,0,25,-75,68,97   ,27/12/2011
24,Parbhani,33,2,13,-2,70,2,0,0,-5,0,97   ,28/01/2011
24,Parbhani,33,-2,19,2,85,50,11,12,2,1.0,97   ,28/02/2011
24,Parbhani,40,2,18,-4,25,-9,0,0,-10,1,97   ,28/03/2011
23,Parbhani,43,2,22,-3,33,-7,0,10,-9,2,97   ,28/04/2011
23,Parbhani,40,-1,28,2,50,-5,0,43,7,5,97   ,28/05/2011
23,Parbhani,34,-1,25,1,75,-2,1,17,-131,7,97   ,28/06/2011
24,Parbhani,33,2,24,2,80,-3,0,345,-15,40,97   ,28/07/2011
22,Parbhani,26,-4,22,0,95,13,7,466,-146,52,97   ,28/08/2011
23,Parbhani,31,-1,23,2,90,14,14,598,-217,65,97   ,28/09/2011
22,Parbhani,33,1,16,-2,57,-5,0,25,-51,68,97   ,28/10/2011
23,Parbhani,31,1,18,5,85,32,0,25,-,68,97   ,28/11/2011
23,Parbhani,34,3,15,0,60,15,0,0,-5,0,97   ,29/01/2011
24,Parbhani,40,2,19,-3,30,-4,0,0,-11,1,97   ,29/03/2011
24,Parbhani,43,2,25,0,37,3,0,10,-10,2,97   ,29/04/2011
22,Parbhani,42,1,29,3,53,-2,0,43,6,5,97   ,29/05/2011
24,Parbhani,35,0,24,0,85,8,2,19,-134,7,97   ,29/06/2011
24,Parbhani,32,1,24,2,85,2,0,345,-25,40,97   ,29/07/2011
