,0,1,2,3,4,5,6,7,8,9,10,11,12
17,Pune AP(LHG),27,-,12,-,75,-,0,-,-,-,-,01/01/2011
16,Pune AP(LHG),32,-,14,-,70,-,0,0,0,0,-,01/02/2011
17,Pune AP(LHG),33,-,20,-,60,-,TR,0,0,0,-,01/03/2011
16,Pune AP(LHG),37,-,19,-,20,-,0,0,-5,0,-,01/04/2011
16,Pune AP(LHG),-,-,24,-,50,-,0,0,-16,0,-,01/05/2011
17,Pune AP(LHG),37,-,23,-,63,-,0,0,-3,TR,-,01/06/2011
17,Pune AP(LHG),30,-,22,-,80,-,0,153,46,15,-,01/07/2011
16,Pune AP(LHG),28,-,22,-,90,-,4,286,23,29,-,01/08/2011
16,Pune AP(LHG),31,-,23,-,90,-,4,407,38,41,-,01/09/2011
16,Pune AP(LHG),29,-,22,-,95,-,TR,TR,-5,58,-,01/10/2011
16,Pune AP(LHG),-,-,17,-,70,-,0,153,83,73,-,01/11/2011
16,Pune AP(LHG),33,-,19,-,90,-,0,153,59,73,-,01/12/2011
17,Pune AP(LHG),32,-,14,-,73,-,0,0,0,0,-,02/02/2011
17,Pune AP(LHG),34,-,20,-,60,-,0,0,0,0.0,-,02/03/2011
17,Pune AP(LHG),36,-,14,-,33,-,0,0,-5,0,-,02/04/2011
17,Pune AP(LHG),40,-,24,-,60,-,0,0,-19,0,-,02/05/2011
17,Pune AP(LHG),37,-,24,-,60,-,0,0,-5,TR,-,02/06/2011
16,Pune AP(LHG),31,-,22,-,80,-,TR,153,39,15,-,02/07/2011
16,Pune AP(LHG),27,-,22,-,98,-,4,290,19,29,-,02/08/2011
15,Pune AP(LHG),29,-,22,-,100,-,5,412,11,41,-,02/09/2011
16,Pune AP(LHG),32,-,23,-,90,-,0,0,-8,58,-,02/10/2011
15,Pune AP(LHG),-,-,17,-,75,-,0,153,82,73,-,02/11/2011
15,Pune AP(LHG),33,-,18,-,70,-,0,94,59,73,-,02/12/2011
17,Pune AP(LHG),25,-,16,-,75,-,0,0,0,0,-,03/01/2011
17,Pune AP(LHG),31,-,-,-,-,-,-,-,-,-,-,03/02/2011
17,Pune AP(LHG),34,-,19,-,50,-,0,0,-1,0,-,03/03/2011
17,Pune AP(LHG),37,-,18,-,57,-,0,0,-5,0,-,03/04/2011
16,Pune AP(LHG),40,-,22,-,45,-,0,0,-20,0.0,-,03/05/2011
15,Pune AP(LHG),37,-,-,,-,-,-,-,-,-,-,03/06/2011
16,Pune AP(LHG),30,-,22,-,90,-,1,154,35,16,-,03/07/2011
16,Pune AP(LHG),28,-,23,-,85,-,1,291,14,29,-,03/08/2011
16,Pune AP(LHG),28,-,23,-,100,-,9,422,48,42,-,03/09/2011
15,Pune AP(LHG),29,-,20,-,100,-,7,7,-5,59,-,03/10/2011
13,Pune AP(LHG),-,-,17,-,75,-,0,153,81,73,-,03/11/2011
16,Pune AP(LHG),33,-,14,-,50,-,6,153,58,73,-,03/12/2011
17,Pune AP(LHG),28,-,15,-,90,-,0,0,0,0,-,04/01/2011
16,Pune AP(LHG),32,-,15,-,70,-,0,-,-,-,-,04/02/2011
17,Pune AP(LHG),35,-,16,-,35,-,0,0,-6,0,-,04/04/2011
