,0,1,2,3,4,5,6,7,8,9,10,11,12
16,Pune,27,-2,10,-1,-,-,0,-,-,-,74   ,01/01/2011
15,Pune,31,0,12,1,95,38,0,0,-1,0,74   ,01/02/2011
16,Pune,33,0,18,5,85,36,TR,0,0,0,74   ,01/03/2011
15,Pune,36,-1,15,-3,30,-12,0,0,-3,TR,74   ,01/04/2011
15,Pune,40,3,25,4,60,12,0,26,7,3,74   ,01/05/2011
16,Pune,36,2,24,1,65,1,0,0,-3,3,74   ,01/06/2011
16,Pune,31,2,23,1,75,-3,TR,257,116,29,74   ,01/07/2011
15,Pune,27,0,22,1,85,1,4,473,145,50,74   ,01/08/2011
15,Pune,30,2,23,2,90,7,0,587,143,62,74   ,01/09/2011
15,Pune,30,0,22,2,90,13,1,1,-4,84,74   ,01/10/2011
15,Pune,31,0,16,-1,75,5,0,158,72,99,74   ,01/11/2011
15,Pune,32,2,18,6,85,22,0,157,47,99,74   ,01/12/2011
16,Pune,32,1,12,1,95,38,0,0,-1,0,74   ,02/02/2011
16,Pune,33,-1,18,4,75,28,0,0,0,0.0,74   ,02/03/2011
16,Pune,35,-2,11,-7,30,-12,0,0,-3,TR,74   ,02/04/2011
16,Pune,39,2,25,4,50,2,0,26,5,3,74   ,02/05/2011
16,Pune,36,2,24,1,70,6,0,0,-5,3,74   ,02/06/2011
15,Pune,31,2,23,1,90,12,TR,257,109,29,74   ,02/07/2011
15,Pune,27,0,22,1,90,6,7,480,145,51,74   ,02/08/2011
14,Pune,28,0,22,1,98,15,11,597,151,63,74   ,02/09/2011
15,Pune,31,1,23,3,90,13,4,5,-5,84,74   ,02/10/2011
14,Pune,32,1,17,2,75,7,0,158,72,99,74   ,02/11/2011
14,Pune,33,3,17,5,90,27,0,157,48,99,74   ,02/12/2011
16,Pune,25,-4,15,4,90,25,0,0,0,0,74   ,03/01/2011
16,Pune,31,0,13,2,80,23,0,0,-1,0,74   ,03/02/2011
16,Pune,34,0,16,2,70,23,0,0,0,0,74   ,03/03/2011
16,Pune,35,-2,14,-2,57,15,0,TR,-3,TR,74   ,03/04/2011
15,Pune,38,1,22,1,40,-8,0,26,4,3.0,74   ,03/05/2011
14,Pune,37,3,21,-2,80,16,29,29,20,6,74   ,03/06/2011
15,Pune,31,2,23,1,90,12,3,259,105,29,74   ,03/07/2011
15,Pune,27,0,23,2,85,1,1,481,140,51,74   ,03/08/2011
15,Pune,28,0,23,2,98,15,14,612,161,64,74   ,03/09/2011
14,Pune,30,0,20,-2,90,13,15,20,5,86,74   ,03/10/2011
12,Pune,37,7,16,1,70,2,0,158,71,99,74   ,03/11/2011
15,Pune,33,3,13,1,75,12,0,158,47,99,74   ,03/12/2011
16,Pune,28,-1,14,3,95,30,0,0,0,0,74   ,04/01/2011
15,Pune,31,0,12,1,85,28,0,0,-1,0,74   ,04/02/2011
16,Pune,34,-3,13,-5,45,3,0,0,-3,TR,74   ,04/04/2011
16,Pune,38,1,21,0,63,15,0,26,3,3,74   ,04/05/2011
15,Pune,32,2,23,0,80,16,63,93,80,12,74   ,04/06/2011
15,Pune,27,-2,21,-1,85,7,1,261,99,29,74   ,04/07/2011
15,Pune,28,-1,22,0,85,1,TR,481,-136,51,74   ,04/08/2011
15,Pune,25,-3,23,2,85,3,81,693,240,72,74   ,04/09/2011
14,Pune,31,1,20,-2,85,8,0,20,1,86,74   ,04/10/2011
15,Pune,31,1,16,1,65,-3,0,157,70,99,74   ,04/11/2011
14,Pune,28,0,14,4,100,35,0,0,0,0,74   ,05/01/2011
16,Pune,31,0,11,0,85,29,0,0,-1,0,74   ,05/02/2011
16,Pune,35,1,16,2,65,18,0,0,0,0,74   ,05/03/2011
15,Pune,35,-2,14,-4,40,-2,0,0,-4,TR,74   ,05/04/2011
15,Pune,31,-3,23,0,80,14,26,119,99,15,74   ,05/06/2011
15,Pune,28,-1,23,1,90,6,3,484,135,51,74   ,05/08/2011
15,Pune,28,0,22,1,90,8,2,695,240,73,74   ,05/09/2011
15,Pune,31,1,16,1,70,2,0,158,69,99,74   ,05/11/2011
15,Pune,32,3,15,4,85,22,0,157,46,99,74   ,05/12/2011
16,Pune,27,-2,10,-1,95,30,0,0,0,0,74   ,06/01/2011
16,Pune,32,1,10,-1,85,29,0,0,-1,0,74   ,06/02/2011
16,Pune,35,1,16,2,65,18,0,0,0,TR,74   ,06/03/2011
15,Pune,36,-1,18,-1,55,13,0,0,-5,TR,74   ,06/04/2011
15,Pune,36,-1,22,0,70,20,0,26,2,3,74   ,06/05/2011
15,Pune,31,-3,24,1,90,26,26,144,119,17,74   ,06/06/2011
15,Pune,31,2,23,1,80,0,0,268,95,30,74   ,06/07/2011
15,Pune,28,-1,22,0,85,1,2,486,133,52,74   ,06/08/2011
15,Pune,27,-1,22,1,85,3,2,696,239,73,74   ,06/09/2011
15,Pune,32,2,19,-3,80,3,0,20,-10,86,74   ,06/10/2011
14,Pune,32,2,17,2,65,-3,0,158,69,99,74   ,06/11/2011
15,Pune,33,4,16,5,90,27,0,-,-,-,74   ,06/12/2011
15,Pune,27,-2,5,-6,90,25,0,0,0,0,74   ,07/01/2011
15,Pune,36,1,16,2,65,19,0,0,0,TR,74   ,07/03/2011
16,Pune,37,0,18,-1,45,3,0,0,-5,TR,74   ,07/04/2011
16,Pune,36,-1,20,-2,65,15,0,26,2,3,74   ,07/05/2011
15,Pune,31,-2,22,-1,70,4,TR,144,111,17,74   ,07/06/2011
16,Pune,29,0,24,2,90,10,1,269,89,30,74   ,07/07/2011
15,Pune,29,0,23,1,80,-4,1,487,131,52,74   ,07/08/2011
14,Pune,27,-1,22,1,90,8,11,707,249,74,74   ,07/09/2011
15,Pune,33,3,19,-2,85,5,0,20,-11,86,74   ,07/10/2011
15,Pune,32,2,15,1,80,14,0,158,68,99,74   ,07/11/2011
15,Pune,33,4,15,,85,-,0,157,45,99,74   ,07/12/2011
15,Pune,27,-2,7,-4,95,30,0,0,0,0.0,74   ,08/01/2011
16,Pune,33,2,12,1,95,39,0,0,-1,0,74   ,08/02/2011
16,Pune,37,2,17,3,50,4,0,0,0,TR,74   ,08/03/2011
16,Pune,37,0,20,1,45,3,0,0,-5,0,74   ,08/04/2011
15,Pune,35,-2,22,0,65,15,0,26,1,3,74   ,08/05/2011
15,Pune,32,-1,23,0,70,4,0,144,103,17,74   ,08/06/2011
15,Pune,29,0,21,-1,90,10,5,275,88,31,74   ,08/07/2011
15,Pune,28,-1,23,1,85,1,0,487,125,52,74   ,08/08/2011
15,Pune,28,0,22,1,85,4,5,712,252,74,74   ,08/09/2011
15,Pune,32,2,22,3,85,10,1,21,-14,86,74   ,08/10/2011
15,Pune,33,3,15,1,80,14,0,158,68,99,74   ,08/11/2011
14,Pune,31,2,13,2,80,17,0,157,45,99,74   ,08/12/2011
16,Pune,29,0,8,-3,95,30,0,0,0,0,74   ,09/01/2011
15,Pune,32,1,11,0,95,38,0,0,-1,0,74   ,09/02/2011
16,Pune,37,2,15,1,65,19,0,0,0,TR,74   ,09/03/2011
15,Pune,37,0,19,0,45,3,0,0,-6,TR,74   ,09/04/2011
15,Pune,32,-1,23,0,80,14,0,144,97,17,74   ,09/06/2011
15,Pune,27,-2,21,-1,90,10,11,286,93,32,74   ,09/07/2011
14,Pune,29,2,23,2,80,-4,1,488,123,52,74   ,09/08/2011
15,Pune,29,1,22,1,75,-6,0,712,251,74,74   ,09/09/2011
15,Pune,33,2,21,2,85,10,17,38,0,88,74   ,09/10/2011
13,Pune,32,2,14,0,75,9,0,158,68,99,74   ,09/11/2011
15,Pune,30,1,11,0,75,12,0,52,-25,61,74   ,09/12/2011
16,Pune,29,0,7,-4,90,25,0,0,0,0,74   ,10/01/2011
16,Pune,32,0,12,1,85,31,0,0,-1,0,74   ,10/02/2011
16,Pune,35,0,11,-3,45,-1,0,0,0,0,74   ,10/03/2011
15,Pune,37,0,20,1,50,8,0,TR,-7,TR,74   ,10/04/2011
16,Pune,27,-6,23,0,95,26,45,190,139,22,74   ,10/06/2011
16,Pune,29,0,22,0,80,-2,5,291,93,32,74   ,10/07/2011
14,Pune,27,-2,23,1,85,1,1,489,121,52,74   ,10/08/2011
15,Pune,29,0,22,1,80,-1,0,712,248,74,74   ,10/09/2011
14,Pune,33,2,21,2,95,20,0,39,-3,88,74   ,10/10/2011
15,Pune,32,2,14,0,85,19,0,157,62,99,74   ,10/11/2011
14,Pune,32,3,13,2,70,7,0,157,45,99,74   ,10/12/2011
16,Pune,28,-1,7,-4,95,31,0,0,0,0,74   ,11/01/2011
16,Pune,32,0,11,0,95,41,0,0,-1,0,74   ,11/02/2011
15,Pune,35,0,11,-3,55,9,0,0,0,TR,74   ,11/03/2011
16,Pune,37,0,22,3,60,18,0,0,-7,TR,74   ,11/04/2011
15,Pune,36,-1,21,-1,30,-22,0,0,0,3,74   ,11/05/2011
16,Pune,26,-7,22,-1,95,26,29,219,165,25,74   ,11/06/2011
15,Pune,29,0,22,0,80,-2,3,294,86,33,74   ,11/07/2011
15,Pune,28,1,23,2,80,-4,2,491,120,52,74   ,11/08/2011
15,Pune,28,1,21,0,80,-1,TR,713,246,74,74   ,11/09/2011
15,Pune,34,3,22,3,80,5,0,39,-8,89,74   ,11/10/2011
14,Pune,32,3,12,1,80,17,0,157,45,99,74   ,11/12/2011
16,Pune,30,1,7,-4,95,31,0,0,0,0,74   ,12/01/2011
16,Pune,32,0,12,1,95,41,0,0,-1,0,74   ,12/02/2011
16,Pune,35,0,12,-3,55,10,0,0,0,0,74   ,12/03/2011
15,Pune,37,0,21,2,60,18,0,0,-7,TR,74   ,12/04/2011
15,Pune,36,-1,22,0,57,5,0,26,-1,3,74   ,12/05/2011
15,Pune,26,-7,22,-1,80,11,6,225,166,25,74   ,12/06/2011
16,Pune,30,1,22,0,90,8,0,295,82,33,74   ,12/07/2011
15,Pune,29,2,23,2,80,-4,0,491,116,52,74   ,12/08/2011
15,Pune,28,-1,22,1,85,4,2,715,243,74,74   ,12/09/2011
14,Pune,33,2,20,1,97,22,105,144,96,98,74   ,12/10/2011
14,Pune,33,3,14,0,70,5,0,157,61,99,74   ,12/11/2011
15,Pune,32,3,13,3,85,22,0,158,44,99,74   ,12/12/2011
15,Pune,30,1,8,-3,90,26,0,0,0,0,74   ,13/01/2011
15,Pune,33,1,13,2,80,26,0,0,-1,0,74   ,13/02/2011
16,Pune,35,0,13,-2,50,5,0,0,0,0,74   ,13/03/2011
14,Pune,38,1,23,4,37,5,0,0,-7,TR,74   ,13/04/2011
14,Pune,37,0,22,0,57,5,0,0,-1,3,74   ,13/05/2011
15,Pune,29,-4,22,-1,90,21,3,227,164,26,74   ,13/06/2011
14,Pune,29,0,23,1,85,3,0,295,78,33,74   ,13/07/2011
15,Pune,27,0,22,1,90,6,5,497,115,53,74   ,13/08/2011
15,Pune,28,-1,20,-1,85,5,TR,715,240,75,74   ,13/09/2011
15,Pune,31,0,22,3,75,1,3,147,98,98,74   ,13/10/2011
15,Pune,33,3,15,1,75,10,0,157,60,99,74   ,13/11/2011
14,Pune,31,2,14,4,90,27,0,157,43,99,74   ,13/12/2011
16,Pune,31,2,9,-2,90,20,0,0,0,0,74   ,14/01/2011
16,Pune,33,1,12,1,70,16,0,0,-2,0,74   ,14/02/2011
16,Pune,36,1,14,-1,50,5,0,0,0,0,74   ,14/03/2011
16,Pune,38,1,20,1,43,1,0,0,-8,TR,74   ,14/04/2011
14,Pune,37,0,23,1,65,13,0,26,-3,3,74   ,14/05/2011
15,Pune,30,-3,23,0,85,10,3,230,193,26,74   ,14/06/2011
15,Pune,26,-3,21,-1,98,16,17,311,89,34,74   ,14/07/2011
15,Pune,28,1,23,2,80,-4,TR,497,111,53,74   ,14/08/2011
15,Pune,30,1,22,1,80,0,0,719,237,74,74   ,14/09/2011
14,Pune,31,0,22,3,90,16,3,149,97,99,74   ,14/10/2011
15,Pune,33,3,16,2,85,20,0,157,59,99,74   ,14/11/2011
13,Pune,31,2,13,3,85,22,0,157,43,99,74   ,14/12/2011
16,Pune,32,3,9,-2,95,31,0,0,0,0,74   ,15/01/2011
15,Pune,32,0,12,0,95,43,0,0,-2,0,74   ,15/02/2011
16,Pune,36,1,13,-2,55,10,0,0,0,TR,74   ,15/03/2011
16,Pune,37,0,24,5,50,8,0,0,-8,TR,74   ,15/04/2011
13,Pune,37,0,22,0,47,-5,0,25,-3,3,74   ,15/05/2011
15,Pune,29,3,22,-1,85,14,2,232,162,26,74   ,15/06/2011
16,Pune,26,-2,22,0,80,-3,0,312,84,34,74   ,15/07/2011
14,Pune,27,0,22,1,90,6,2,419,109,53,74   ,15/08/2011
15,Pune,31,2,23,2,85,5,TR,715,232,75,74   ,15/09/2011
15,Pune,32,1,21,2,85,11,0,149,96,99,74   ,15/10/2011
14,Pune,33,-,-,-,-,-,-,-,-,-,74   ,15/11/2011
15,Pune,29,0,11,1,85,22,0,157,43,99,74   ,15/12/2011
15,Pune,31,2,10,-1,85,21,0,0,0,0,74   ,16/01/2011
16,Pune,30,-2,15,3,70,18,0,0,-2,0,74   ,16/02/2011
16,Pune,36,1,13,-2,45,0,0,0,-1,TR,74   ,16/03/2011
15,Pune,37,0,23,3,65,22,0,0,-8,TR,74   ,16/04/2011
16,Pune,39,2,26,4,43,-11,0,26,-5,3,74   ,16/05/2011
16,Pune,29,-3,23,0,85,14,TR,233,157,26,74   ,16/06/2011
16,Pune,29,1,22,0,85,2,1,313,80,34,74   ,16/07/2011
14,Pune,29,2,22,1,90,6,0,499,106,53,74   ,16/08/2011
15,Pune,31,2,21,0,90,10,14,729,244,76,74   ,16/09/2011
11,Pune,33,2,-,,-,-,-,-,-,-,74,16/10/2011
14,Pune,32,2,-,,-,-,-,-,-,-,74   ,16/11/2011
15,Pune,30,0,10,-1,95,31,0,0,0,0.0,74   ,17/01/2011
16,Pune,28,-4,12,0,85,33,0,0,-2,0.0,74   ,17/02/2011
15,Pune,36,0,12,-4,45,1,0,0,-1,TR,74   ,17/03/2011
16,Pune,38,1,23,3,55,12,0,0,-9,TR,74   ,17/04/2011
15,Pune,36,-1,25,3,43,-11,0,26,-7,3,74   ,17/05/2011
15,Pune,29,-3,22,-1,90,19,5,238,159,27,74   ,17/06/2011
16,Pune,29,1,22,0,95,12,15,328,90,36,74   ,17/07/2011
13,Pune,28,1,22,1,85,1,1,500,99,53,74   ,17/08/2011
15,Pune,29,0,21,0,85,5,0,728,241,76,74   ,17/09/2011
15,Pune,31,1,-,,-,-,-,-,-,-,74   ,17/11/2011
14,Pune,29,0,11,1,90,27,0,157,43,99.0,74   ,17/12/2011
16,Pune,31,1,10,-1,95,31,0,0,-1,0,74   ,18/01/2011
16,Pune,30,-2,12,0,85,33,0,0,-2,0,74   ,18/02/2011
16,Pune,36,0,14,-2,55,11,0,0,-1,0,74   ,18/03/2011
16,Pune,39,2,21,1,43,-7,0,0,-6,0,74   ,18/04/2011
15,Pune,40,3,25,3,55,1,0,26,-9,3,74   ,18/05/2011
16,Pune,29,3,23,0,75,4,1,239,158,27,74   ,18/06/2011
15,Pune,27,-1,23,1,95,12,33,361,117,39,74   ,18/07/2011
14,Pune,28,1,21,0,85,1,1,501,98,53,74   ,18/08/2011
14,Pune,29,0,22,2,90,11,TR,729,239,76,74   ,18/09/2011
14,Pune,32,1,21,3,95,22,7,156,96,99,74   ,18/10/2011
14,Pune,31,-,-,-,-,-,-,-,-,-,74   ,18/11/2011
16,Pune,32,2,10,-1,80,16,0,0,-1,0,74   ,19/01/2011
16,Pune,30,-2,13,1,95,43,0,0,-1,0,74   ,19/02/2011
14,Pune,37,1,15,-1,50,6,0,0,-1,TR,74   ,19/03/2011
15,Pune,38,1,21,1,50,7,0,0,-9,0,74   ,19/04/2011
15,Pune,38,1,25,3,50,-4,0,26,-11,3,74   ,19/05/2011
16,Pune,30,-2,23,0,75,4,0,239,153,27,74   ,19/06/2011
16,Pune,27,-1,23,1,95,12,20,381,129,41,74   ,19/07/2011
14,Pune,30,2,22,1,80,-4,0,501,95,53,74   ,19/08/2011
15,Pune,28,-1,19,-1,80,1,0,729,232,76,74   ,19/09/2011
15,Pune,30,4,22,4,-,-,-,-,-,-,74   ,19/10/2011
15,Pune,31,1,11,-2,60,-4,0,157,56,99,74   ,19/11/2011
15,Pune,30,1,11,1,95,42,0,157,42,99,74   ,19/12/2011
16,Pune,33,3,10,-1,90,26,0,-,-,-,74   ,20/01/2011
16,Pune,30,-2,13,1,70,14,0,0,-1,0,74   ,20/02/2011
15,Pune,37,1,16,0,50,6,0,0,-1,TR,74   ,20/03/2011
16,Pune,38,1,20,0,45,2,0,0,-9,TR,74   ,20/04/2011
15,Pune,37,0,23,1,50,-4,0,26,-12,3,74   ,20/05/2011
16,Pune,30,-1,23,0,75,1,0,239,149,27,74   ,20/06/2011
16,Pune,26,-3,22,0,90,6,38,419,159,45,74   ,20/07/2011
15,Pune,30,2,22,1,80,-4,0,501,93,53,74   ,20/08/2011
