,0,1,2,3,4,5,6,7,8,9,10,11,12
8,Ratnagiri,29,-3,15,-5,90,26,0,-,-,-,301  ,01/01/2011
7,Ratnagiri,34,3,19,0,40,27,0,0,-1,0,301  ,01/02/2011
8,Ratnagiri,35,4,22,1,80,9,0,0,0,0,301  ,01/03/2011
7,Ratnagiri,33,1,22,-2,75,2,0,0,0,0,301  ,01/04/2011
7,Ratnagiri,33,-1,27,0,75,3,0,0,-3,0,301  ,01/05/2011
8,Ratnagiri,34,2,27,1,80,-1,0,0,-7,TR,301  ,01/06/2011
8,Ratnagiri,31,2,25,0,95,7,5,1273,392,127,301  ,01/07/2011
8,Ratnagiri,26,-2,23,-1,98,9,79,3079,1212,308,301  ,01/08/2011
8,Ratnagiri,29,0,24,0,95,6,42,3977,1465,398,301  ,01/09/2011
8,Ratnagiri,32,2,24,0,80,-6,0,0,-13,436,301  ,01/10/2011
8,Ratnagiri,35,3,23,0,70,-6,0,101,-24,446,301  ,01/11/2011
8,Ratnagiri,33,1,23,2,90,28,0,107,-47,446,301  ,01/12/2011
8,Ratnagiri,35,4,20,1,55,-12,0,0,-1,0.0,301  ,02/02/2011
8,Ratnagiri,35,4,23,2,70,-3,0,0,0,0.0,301  ,02/03/2011
8,Ratnagiri,35,3,21,-3,70,-3,0,0,0,0,301  ,02/04/2011
8,Ratnagiri,33,0,27,0,80,8,0,0,-3,0,301  ,02/05/2011
8,Ratnagiri,34,2,26,0,70,-11,0,0,-16,TR,301  ,02/06/2011
8,Ratnagiri,31,2,24,-1,95,7,9,1282,360,127,301  ,02/07/2011
8,Ratnagiri,26,-2,24,0,98,9,86,3165,1265,317,301  ,02/08/2011
7,Ratnagiri,28,-1,23,-1,98,9,79,4055,1521,406,301  ,02/09/2011
8,Ratnagiri,32,2,25,1,85,-1,0,0,-24,436,301  ,02/10/2011
7,Ratnagiri,35,3,23,1,70,0,0,101,-25,446,301  ,02/11/2011
7,Ratnagiri,33,1,23,2,90,28,0,107,-47,446,301  ,02/12/2011
8,Ratnagiri,28,-3,19,-1,80,16,0,0,0,0,301  ,03/01/2011
8,Ratnagiri,35,4,20,1,55,-12,0,0,-1,0,301  ,03/02/2011
8,Ratnagiri,34,3,23,2,70,-3,0,0,0,0,301  ,03/03/2011
8,Ratnagiri,32,0,22,-2,70,-3,0,0,0,0,301  ,03/04/2011
7,Ratnagiri,33,0,25,-2,70,-2,0,0,-4,0.0,301  ,03/05/2011
7,Ratnagiri,34,2,24,-2,90,9,6,6,-20,1,301  ,03/06/2011
7,Ratnagiri,29,0,24,-1,95,7,34,1316,354,132,301  ,03/07/2011
8,Ratnagiri,28,0,23,-1,100,11,159,3324,1397,333,301  ,03/08/2011
8,Ratnagiri,28,-1,24,0,98,9,137,4192,1638,419,301  ,03/09/2011
7,Ratnagiri,32,2,23,-1,85,0,0,0,-34,436,301  ,03/10/2011
5,Ratnagiri,37,5,24,2,97,27,0,101,-25,446,301  ,03/11/2011
8,Ratnagiri,33,1,21,0,45,17,0,107,-47,446,301  ,03/12/2011
8,Ratnagiri,31,0,21,1,60,-4,0,0,0,0,301  ,04/01/2011
7,Ratnagiri,36,5,20,1,58,-9,0,0,-1,0,301  ,04/02/2011
8,Ratnagiri,32,0,21,-3,70,-3,0,0,0,0,301  ,04/04/2011
8,Ratnagiri,33,0,25,-2,75,3,0,0,-4,0,301  ,04/05/2011
8,Ratnagiri,29,-3,24,-2,90,9,26,32,-4,3,301  ,04/06/2011
8,Ratnagiri,29,0,23,-2,98,10,1,1317,320,132,301  ,04/07/2011
8,Ratnagiri,27,-1,24,0,98,9,38,3361,1413,-,301  ,04/08/2011
8,Ratnagiri,26,-3,24,0,95,6,48,4240,1673,424,301  ,04/09/2011
7,Ratnagiri,31,1,23,-1,75,-10,0,0,-44,436,301  ,04/10/2011
8,Ratnagiri,35,3,24,2,70,0,0,101,-26,446,301  ,04/11/2011
6,Ratnagiri,30,-1,21,1,50,-14,0,0,0,0,301  ,05/01/2011
8,Ratnagiri,35,4,20,1,45,-23,0,0,-1,0,301  ,05/02/2011
8,Ratnagiri,35,4,22,1,70,-3,0,0,0,0,301  ,05/03/2011
8,Ratnagiri,31,-1,21,-3,75,2,0,0,0,0,301  ,05/04/2011
8,Ratnagiri,29,-3,25,-1,95,13,26,58,11,6,301  ,05/06/2011
8,Ratnagiri,29,1,25,1,95,6,5,3366,1395,337,301  ,05/08/2011
8,Ratnagiri,29,0,23,-1,90,0,15,4255,1678,426,301  ,05/09/2011
8,Ratnagiri,32,2,24,0,80,-5,0,0,-47,436,301  ,05/10/2011
8,Ratnagiri,33,1,23,1,62,-8,0,101,-26,446,301  ,05/11/2011
8,Ratnagiri,35,3,21,1,90,28,0,107,-50,446,301  ,05/12/2011
8,Ratnagiri,34,3,23,4,35,-30,0,0,0,0,301  ,06/01/2011
8,Ratnagiri,36,5,19,0,33,-35,0,0,-1,0,301  ,06/02/2011
8,Ratnagiri,34,3,21,0,60,-13,0,0,0,0,301  ,06/03/2011
8,Ratnagiri,31,-1,21,-4,65,-8,0,0,0,0,301  ,06/04/2011
8,Ratnagiri,34,1,25,-2,70,-3,0,0,-5,0,301  ,06/05/2011
7,Ratnagiri,27,-4,24,-2,98,16,112,170,110,17,301  ,06/06/2011
7,Ratnagiri,30,1,24,-1,98,9,32,1352,295,135,301  ,06/07/2011
8,Ratnagiri,29,1,26,2,90,1,12,3378,1389,338,301  ,06/08/2011
8,Ratnagiri,29,0,24,0,98,9,15,4271,1680,427,301  ,06/09/2011
8,Ratnagiri,32,2,25,1,85,0,0,0,-50,436,301  ,06/10/2011
7,Ratnagiri,36,4,23,1,75,5,0,101,-28,446,301  ,06/11/2011
8,Ratnagiri,34,2,20,0,80,18,0,107,-50,446,301  ,06/12/2011
7,Ratnagiri,32,1,20,1,22,-43,0,0,0,0,301  ,07/01/2011
8,Ratnagiri,36,5,18,-1,60,-8,0,0,-1,0,301  ,07/02/2011
