,0,1,2,3,4,5,6,7,8,9,10,11,12
18,Sangli,28,-2,16,2,70,7,0,-,-,-,67   ,01/01/2011
17,Sangli,34,2,15,0,75,17,0,0,-3,0,67   ,01/02/2011
18,Sangli,34,0,21,5,60,5,0,0,0,3,67   ,01/03/2011
17,Sangli,39,2,21,1,37,-23,0,0,-3,3,67   ,01/04/2011
17,Sangli,39,1,22,0,90,31,10,21,-7,6,67   ,01/05/2011
18,Sangli,35,1,25,2,80,3,0,0,-3,8,67   ,01/06/2011
18,Sangli,36,-7,23,1,90,5,1,76,-39,15,67   ,01/07/2011
17,Sangli,27,0,22,1,98,14,1,165,-63,24,67   ,01/08/2011
17,Sangli,27,4,22,0,95,16,2,245,-66,32,67   ,01/09/2011
17,Sangli,32,2,23,3,90,8,0,0,-5,44,67   ,01/10/2011
17,Sangli,33,2,20,1,80,9,0,25,-86,46,67   ,01/11/2011
18,Sangli,34,2,16,1,70,12,0,0,-3,0,67   ,02/02/2011
18,Sangli,35,0,21,4,70,17,0,0,0,3.0,67   ,02/03/2011
18,Sangli,38,1,19,-1,45,-15,0,0,-3,3,67   ,02/04/2011
18,Sangli,37,-1,24,2,85,26,3,24,-8,6,67   ,02/05/2011
18,Sangli,36,2,24,1,85,8,0,0,-10,8,67   ,02/06/2011
17,Sangli,-,-,23,-,85,0,0,76,-41,15,67   ,02/07/2011
17,Sangli,27,0,22,1,95,7,4,169,-62,25,67   ,02/08/2011
16,Sangli,27,4,23,1,98,19,5,250,-65,33,67   ,02/09/2011
17,Sangli,33,3,23,3,90,8,0,0,-9,44,67   ,02/10/2011
16,Sangli,33,2,21,3,85,17,0,25,-88,46,67   ,02/11/2011
18,Sangli,28,-2,17,3,85,22,0,0,-1,0,67   ,03/01/2011
18,Sangli,33,1,17,2,70,12,0,0,-3,0,67   ,03/02/2011
18,Sangli,35,0,21,4,70,17,0,0,0,3,67   ,03/03/2011
18,Sangli,38,1,18,-2,85,25,0,0,-3,3,67   ,03/04/2011
17,Sangli,36,-2,24,2,75,16,0,24,-8,6.0,67   ,03/05/2011
16,Sangli,36,2,23,0,85,8,1,1,-13,8,67   ,03/06/2011
17,Sangli,29,0,23,1,85,0,10,86,-35,16,67   ,03/07/2011
17,Sangli,28,1,21,0,90,2,12,181,-56,26,67   ,03/08/2011
17,Sangli,27,-4,22,0,98,19,19,269,-48,35,67   ,03/09/2011
16,Sangli,31,1,21,0,95,15,0,0,-14,44,67   ,03/10/2011
14,Sangli,33,3,22,4,75,7,0,25,-88,46,67   ,03/11/2011
17,Sangli,33,3,17,1,65,1,0,25,-109,46,67   ,03/12/2011
18,Sangli,29,-1,17,3,85,-,0,0,-1,0,67   ,04/01/2011
17,Sangli,33,1,16,1,70,12,0,0,-3,0,67   ,04/02/2011
18,Sangli,38,1,18,2,90,30,0,0,-4,3,67   ,04/04/2011
18,Sangli,37,-1,-,,-,-,-,-,-,-,67   ,04/05/2011
17,Sangli,29,-5,23,0,95,17,6,7,-11,8,67   ,04/06/2011
17,Sangli,29,0,22,0,85,0,13,100,-23,18,67   ,04/07/2011
17,Sangli,27,-1,22,1,85,-2,3,184,-56,26,67   ,04/08/2011
17,Sangli,25,-6,22,0,99,18,21,291,-28,37,67   ,04/09/2011
16,Sangli,33,2,20,-1,90,10,0,0,-24,44,67   ,04/10/2011
17,Sangli,32,2,22,4,85,17,0,25,-88,46,67   ,04/11/2011
16,Sangli,28,-2,17,3,85,22,0,0,-1,0,67   ,05/01/2011
18,Sangli,34,2,15,0,70,13,0,0,-3,0,67   ,05/02/2011
18,Sangli,-,-,-,-,-,-,-,-,-,-,67   ,05/03/2011
17,Sangli,36,-1,18,-2,80,20,0,0,-7,3,67   ,05/04/2011
17,Sangli,29,-5,23,1,90,-,5,11,-12,9,67   ,05/06/2011
17,Sangli,28,0,23,2,98,11,1,184,-59,26,67   ,05/08/2011
17,Sangli,28,-3,22,0,90,9,1,291,-29,37,67   ,05/09/2011
17,Sangli,32,2,23,5,80,12,0,25,-90,46,67   ,05/11/2011
17,Sangli,33,3,17,2,67,12,0,25,-109,46,67   ,05/12/2011
18,Sangli,29,-1,15,1,70,8,0,0,-1,0,67   ,06/01/2011
18,Sangli,34,2,15,0,60,3,0,0,-3,0,67   ,06/02/2011
18,Sangli,-,-,20,3,60,7,0,0,0,3,67   ,06/03/2011
17,Sangli,37,1,19,-2,85,24,0,0,-9,3,67   ,06/04/2011
17,Sangli,29,5,23,0,80,3,3,14,-17,9,67   ,06/06/2011
17,Sangli,31,2,23,1,90,4,0,101,-27,18,67   ,06/07/2011
17,Sangli,29,1,23,2,90,3,3,188,-59,27,67   ,06/08/2011
17,Sangli,30,-1,23,1,90,9,0,291,-33,37,67   ,06/09/2011
17,Sangli,33,2,23,2,80,0,TR,TR,-34,44,67   ,06/10/2011
16,Sangli,33,3,20,2,70,2,0,25,-92,46,67   ,06/11/2011
17,Sangli,34,4,17,2,75,20,0,153,57,73,67   ,06/12/2011
17,Sangli,29,-1,10,-4,55,-7,0,0,-1,0,67   ,07/01/2011
17,Sangli,34,2,14,-1,70,13,0,0,-3,0,67   ,07/02/2011
17,Sangli,39,4,19,1,53,0,0,0,0,3,67   ,07/03/2011
18,Sangli,37,1,20,-1,75,14,0,0,-10,3,67   ,07/04/2011
17,Sangli,31,-2,23,1,85,-,0,14,-23,9,67   ,07/06/2011
18,Sangli,29,0,22,0,98,12,3,104,-28,18,67   ,07/07/2011
17,Sangli,28,0,23,2,90,3,1,189,-61,27,67   ,07/08/2011
16,Sangli,29,2,22,-,80,-,1,292,-33,37,67   ,07/09/2011
17,Sangli,-,-,22,-,85,5,0,0,-42,44,67   ,07/10/2011
17,Sangli,35,5,-,,-,-,-,-,-,-,67   ,07/11/2011
17,Sangli,33,3,18,2,75,20,0,25,-110,46,67   ,07/12/2011
17,Sangli,29,-1,12,-2,65,3,0,0,-2,0.0,67   ,08/01/2011
