,0,1,2,3,4,5,6,7,8,9,10,11,12
18,Satara,34,-,13,-,75,-,0,0,-2,0,96   ,01/02/2011
19,Satara,33,-,18,-,85,-,0,0,0,0,96   ,01/03/2011
18,Satara,38,-,19,-,35,-,0,3,-1,TR,96   ,01/04/2011
18,Satara,41,-,25,-,75,-,0,4,-26,1,96   ,01/05/2011
19,Satara,36,-,23,-,70,-,0,0,-3,7,96   ,01/06/2011
19,Satara,29,-,21,-,90,-,0,142,-63,16,96   ,01/07/2011
18,Satara,25,-,21,-,90,-,3,261,-187,28,96   ,01/08/2011
18,Satara,29,-,21,-,85,-,0,391,-213,41,96   ,01/09/2011
18,Satara,32,-,21,-,90,-,TR,TR,-5,57,96   ,01/10/2011
18,Satara,33,-,17,-,85,-,0,111,5,68,96   ,01/11/2011
17,Satara,34,2,18,2,85,21,0,111,-30,68,96   ,01/12/2011
19,Satara,33,-,14,-,80,-,0,0,-2,0,96   ,02/02/2011
19,Satara,35,-,18,-,85,-,0,0,0,3.0,96   ,02/03/2011
19,Satara,36,-,15,-,43,-,0,3,-2,TR,96   ,02/04/2011
19,Satara,40,-,24,-,85,-,0,4,-26,TR,96   ,02/05/2011
19,Satara,36,-,24,-,70,-,0,0,-9,2,96   ,02/06/2011
18,Satara,29,-,21,-,98,-,2,143,-73,17,96   ,02/07/2011
18,Satara,25,-,21,-,90,-,5,266,-189,29,96   ,02/08/2011
17,Satara,27,-,20,-,100,-,17,407,-200,43,96   ,02/09/2011
18,Satara,31,-,22,-,90,-,0,0,-9,57,96   ,02/10/2011
17,Satara,33,-,18,-,90,-,0,111,4,68,96   ,02/11/2011
16,Satara,33,-,17,-,95,-,0,111,-31,68,96   ,02/12/2011
19,Satara,29,-,17,-,75,-,0,0,-1,0,96   ,03/01/2011
19,Satara,34,-,14,-,80,-,0,0,-2,0,96   ,03/02/2011
19,Satara,36,-,19,-,70,-,0,0,0,0,96   ,03/03/2011
19,Satara,36,-,16,-,90,-,0,3,-2,TR,96   ,03/04/2011
18,Satara,39,-,23,-,55,-,1,4,-26,1.0,96   ,03/05/2011
17,Satara,36,-,22,-,75,-,1,1,-14,2,96   ,03/06/2011
18,Satara,29,-,22,-,90,-,3,146,-76,17,96   ,03/07/2011
18,Satara,27,-,21,-,90,-,5,271,-194,29,96   ,03/08/2011
18,Satara,26,-,21,-,100,-,50,457,-152,48,96   ,03/09/2011
17,Satara,29,-,19,-,95,-,0,0,-13,57,96   ,03/10/2011
15,Satara,32,-,18,-,85,-,0,111,4,68,96   ,03/11/2011
18,Satara,34,-,15,-,60,-,0,111,-31,68,96   ,03/12/2011
19,Satara,30,-,16,-,85,-,0,0,-1,0,96   ,04/01/2011
18,Satara,33,-,13,-,75,-,0,0,-2,0,96   ,04/02/2011
19,Satara,36,-,15,-,65,-,0,0,-2,TR,96   ,04/04/2011
19,Satara,39,-,21,-,47,-,0,4,-26,1,96   ,04/05/2011
18,Satara,31,-,21,-,95,-,52,53,33,7,96   ,04/06/2011
18,Satara,29,-,21,-,90,-,1,147,-82,17,96   ,04/07/2011
18,Satara,27,-,20,-,90,-,2,273,-199,30,96   ,04/08/2011
18,Satara,23,-,21,-,95,-,53,510,-102,53,96   ,04/09/2011
17,Satara,32,-,19,-,85,-,0,0,-24,57,96   ,04/10/2011
18,Satara,33,-,17,-,80,-,0,111,3,68,96   ,04/11/2011
17,Satara,30,-,14,-,95,-,0,0,-1,0,96   ,05/01/2011
19,Satara,33,-,11,-,90,-,0,0,-2,0,96   ,05/02/2011
19,Satara,37,-,17,-,70,-,0,0,0,0,96   ,05/03/2011
18,Satara,36,-,16,-,65,-,0,0,-2,TR,96   ,05/04/2011
18,Satara,27,-,22,-,95,-,7,59,34,8,96   ,05/06/2011
18,Satara,27,-,21,-,98,-,4,277,-200,30,96   ,05/08/2011
18,Satara,27,-,20,-,85,-,7,517,-98,54,96   ,05/09/2011
18,Satara,33,-,18,-,80,-,0,111,1,68,96   ,05/11/2011
18,Satara,35,-,14,-,85,-,0,111,-31,68,96   ,05/12/2011
19,Satara,29,-,12,-,85,-,0,0,-2,0,96   ,06/01/2011
19,Satara,35,-,11,-,75,-,0,0,-3,0,96   ,06/02/2011
19,Satara,37,-,17,-,80,-,0,0,0,TR,96   ,06/03/2011
18,Satara,37,-,17,-,65,-,0,0,-3,TR,96   ,06/04/2011
