,0,1,2,3,4,5,6,7,8,9,10,11,12
19,Solapur,30,0,17,2,60,8,0,-,-,-,76   ,01/01/2011
19,Solapur,33,1,19,2,70,27,0,0,-5,0,76   ,01/02/2011
20,Solapur,34,-1,21,2,80,43,0,0,0,0,76   ,01/03/2011
19,Solapur,40,2,23,0,30,-8,0,0,-5,0,76   ,01/04/2011
19,Solapur,41,1,27,2,60,16,0,37,19,4,76   ,01/05/2011
20,Solapur,38,1,26,2,65,2,0,0,-2,7,76   ,01/06/2011
20,Solapur,36,4,25,2,65,-11,0,30,-95,10,76   ,01/07/2011
19,Solapur,30,-1,22,0,85,5,15,337,78,41,76   ,01/08/2011
19,Solapur,32,1,23,1,90,11,25,464,66,53,76   ,01/09/2011
19,Solapur,34,2,23,2,75,-1,0,0,-7,55,76   ,01/10/2011
19,Solapur,33,1,20,1,70,7,0,130,26,68,76   ,01/11/2011
18,Solapur,33,2,19,3,60,5,0,130,5,68,76   ,01/12/2011
20,Solapur,34,2,16,-1,60,17,0,0,-5,0,76   ,02/02/2011
20,Solapur,35,-1,21,1,75,39,0,0,0,0.0,76   ,02/03/2011
20,Solapur,38,0,16,-7,35,-3,0,0,-5,0,76   ,02/04/2011
20,Solapur,39,-2,25,0,60,16,7,44,26,4,76   ,02/05/2011
20,Solapur,39,2,24,0,75,12,0,0,-6,7,76   ,02/06/2011
19,Solapur,35,3,23,0,75,-1,0,30,-101,10,76   ,02/07/2011
19,Solapur,31,0,23,1,85,5,0,337,74,41,76   ,02/08/2011
18,Solapur,29,-2,24,2,80,1,1,466,63,54,76   ,02/09/2011
19,Solapur,36,4,25,4,70,-6,0,0,-10,55,76   ,02/10/2011
18,Solapur,33,1,20,2,75,15,0,130,25,68,76   ,02/11/2011
17,Solapur,33,2,17,1,55,0,0,130,5,68,76   ,02/12/2011
20,Solapur,31,1,18,3,70,18,0,0,-1,0,76   ,03/01/2011
20,Solapur,34,2,15,-2,80,37,0,0,-5,0,76   ,03/02/2011
20,Solapur,35,-1,23,3,55,19,0,0,0,0,76   ,03/03/2011
20,Solapur,39,1,22,-1,60,22,0,0,-8,0,76   ,03/04/2011
19,Solapur,38,-3,24,-1,55,11,1,45,26,4.0,76   ,03/05/2011
18,Solapur,37,0,23,-1,70,7,1,1,-9,7,76   ,03/06/2011
19,Solapur,35,3,24,1,75,-1,0,30,-105,10,76   ,03/07/2011
19,Solapur,32,1,23,1,85,5,3,340,72,41,76   ,03/08/2011
19,Solapur,30,-1,24,2,80,1,2,468,63,54,76   ,03/09/2011
18,Solapur,36,4,23,2,85,13,0,0,-19,55,76   ,03/10/2011
