,0,1,2,3,4,5,6,7,8,9,10,11,12
30,Wardha,28,-1,17,3,70,18,0,-,-,-,109  ,01/01/2011
30,Wardha,32,1,17,1,65,24,0,-,-,-,109  ,01/02/2011
31,Wardha,33,-2,18,0,75,41,0,-,-,-,109  ,01/03/2011
29,Wardha,40,1,-,,-,-,-,-,-,-,109  ,01/04/2011
30,Wardha,42,1,23,-3,80,52,4,72,50,8,109  ,01/05/2011
31,Wardha,45,5,30,1,57,-2,0,-,-,-,109  ,01/06/2011
31,Wardha,36,3,25,1,65,-15,0,-,-,-,109  ,01/07/2011
30,Wardha,30,-1,24,-2,98,11,30,-,-,-,109  ,01/09/2011
29,Wardha,35,2,-,,-,-,-,-,-,-,109  ,01/10/2011
30,Wardha,-,-,16,-,70,1,0,-,-,-,109  ,01/11/2011
29,Wardha,31,1,15,0,67,18,0,-,-,-,109  ,01/12/2011
31,Wardha,32,1,16,0,77,36,0,-,-,-,109  ,02/02/2011
31,Wardha,34,-1,20,1,85,50,0,0,-2,0.0,109  ,02/03/2011
31,Wardha,31,-8,21,-2,57,26,0,-,-,-,109  ,02/04/2011
31,Wardha,-,-,27,-,80,52,0,-,-,-,109  ,02/05/2011
31,Wardha,44,4,31,2,65,6,0,-,-,-,109  ,02/06/2011
30,Wardha,37,4,-,,-,-,-,-,-,-,109  ,02/07/2011
30,Wardha,32,-2,24,0,90,17,0,-,-,-,109  ,02/08/2011
29,Wardha,29,-2,23,-3,96,9,29,-,-,-,109  ,02/09/2011
29,Wardha,35,2,-,,-,-,-,-,-,-,109  ,02/10/2011
28,Wardha,-,-,15,-,75,12,0,-,-,-,109  ,02/11/2011
28,Wardha,31,1,15,0,70,21,0,-,-,-,109  ,02/12/2011
31,Wardha,26,-3,12,-2,60,8,0,0,0,0,109  ,03/01/2011
31,Wardha,32,1,-,,-,-,-,-,-,-,109  ,03/02/2011
31,Wardha,35,0,20,1,85,50,0,0,-3,0,109  ,03/03/2011
31,Wardha,-,-,20,-,65,34,0,-,-,-,109  ,03/04/2011
28,Wardha,40,0,28,-1,70,11,0,-,-,-,109  ,03/06/2011
30,Wardha,34,0,26,2,85,12,0,-,-,-,109  ,03/08/2011
30,Wardha,31,-1,23,-1,98,18,5,-,-,-,109  ,03/09/2011
29,Wardha,36,3,22,1,85,23,0,-,-,-,109  ,03/10/2011
26,Wardha,32,-2,-,,-,-,-,-,-,-,109  ,03/11/2011
30,Wardha,31,1,14,-1,70,21,0,-,-,-,109  ,03/12/2011
31,Wardha,27,-2,11,-3,60,8,0,0,0,0,109  ,04/01/2011
30,Wardha,-,-,13,-,55,14,0,-,-,-,109  ,04/02/2011
30,Wardha,40,1,21,-2,60,29,0,-,-,-,109  ,04/04/2011
31,Wardha,43,0,-,,-,-,-,-,-,-,109  ,04/05/2011
30,Wardha,41,1,24,-5,98,39,2,-,-,-,109  ,04/06/2011
29,Wardha,37,4,-,,-,-,-,-,-,-,109  ,04/07/2011
28,Wardha,31,0,23,-4,98,16,42,-,-,-,109  ,04/08/2011
30,Wardha,32,0,23,-1,95,15,27,-,-,-,109  ,04/09/2011
29,Wardha,35,1,21,0,80,17,0,-,-,-,109  ,04/10/2011
30,Wardha,32,-2,-,,-,-,-,-,-,-,109  ,04/11/2011
28,Wardha,27,-2,9,-5,70,18,0,-,-,-,109  ,05/01/2011
31,Wardha,32,1,14,-2,53,14,0,-,-,-,109  ,05/02/2011
31,Wardha,37,2,21,2,75,40,0,-,-,-,109  ,05/03/2011
30,Wardha,39,0,23,0,70,39,0,-,-,-,109  ,05/04/2011
30,Wardha,-,-,24,-,100,39,2,-,-,-,109  ,05/06/2011
30,Wardha,29,-2,24,-3,90,8,1,-,-,-,109  ,05/08/2011
30,Wardha,33,1,22,-2,98,18,75,-,-,-,109  ,05/09/2011
17,Wardha,35,1,20,-1,90,27,0,-,-,-,109  ,05/10/2011
30,Wardha,33,-1,-,,-,-,-,-,-,-,109  ,05/11/2011
30,Wardha,32,3,16,2,81,30,0,5,-,100,109  ,05/12/2011
31,Wardha,26,-3,6,-8,65,14,0,-,-,-,109  ,06/01/2011
31,Wardha,33,1,13,-3,60,21,0,-,-,-,109  ,06/02/2011
31,Wardha,38,3,21,2,85,50,0,-,-,-,109  ,06/03/2011
30,Wardha,37,-3,21,-2,75,45,0,-,-,-,109  ,06/04/2011
28,Wardha,42,-1,-,,-,-,-,-,-,-,109  ,06/05/2011
30,Wardha,39,0,25,-3,95,34,10,-,-,-,109  ,06/06/2011
29,Wardha,29,3,25,2,85,3,1,-,-,-,109  ,06/07/2011
29,Wardha,31,0,23,-4,95,13,56,-,-,-,109  ,06/08/2011
30,Wardha,33,1,24,0,95,15,5,-,-,-,109  ,06/09/2011
30,Wardha,-,-,21,-,85,22,0,-,-,-,109  ,06/10/2011
29,Wardha,-,-,16,-,80,17,0,-,-,-,109  ,06/11/2011
30,Wardha,32,3,17,3,85,34,0,-,-,-,109  ,06/12/2011
30,Wardha,26,-3,7,-7,55,4,0,-,-,-,109  ,07/01/2011
27,Wardha,-,-,14,-,60,21,0,-,-,-,109  ,07/02/2011
30,Wardha,38,2,23,3,70,36,0,-,-,-,109  ,07/03/2011
31,Wardha,37,3,24,1,70,40,0,-,-,-,109  ,07/04/2011
30,Wardha,43,0,27,1,30,1,0,-,-,-,109  ,07/05/2011
30,Wardha,39,0,-,,-,-,-,-,-,-,109  ,07/06/2011
30,Wardha,34,2,23,0,85,3,2,-,-,-,109  ,07/07/2011
30,Wardha,29,-2,24,-3,98,16,8,-,-,-,109  ,07/08/2011
29,Wardha,33,1,23,-1,92,8,33,-,-,-,109  ,07/09/2011
30,Wardha,35,1,22,1,85,22,0,-,-,-,109  ,07/10/2011
30,Wardha,-,-,16,-,80,20,0,-,-,-,109  ,07/11/2011
28,Wardha,31,2,-,,-,-,-,-,-,-,109  ,07/12/2011
30,Wardha,-,-,7,-,70,19,0,-,-,-,109  ,08/01/2011
29,Wardha,34,2,15,-1,65,26,0,-,-,-,109  ,08/02/2011
31,Wardha,38,2,-,,-,-,-,-,-,-,109  ,08/03/2011
31,Wardha,37,-3,19,-4,85,55,7,-,-,-,109  ,08/04/2011
29,Wardha,42,-1,25,-1,38,10,0,72,49,8,109  ,08/05/2011
30,Wardha,41,2,27,-1,80,19,0,-,-,-,109  ,08/06/2011
30,Wardha,31,-1,24,1,95,13,20,-,-,-,109  ,08/07/2011
26,Wardha,30,-1,-,,-,-,-,-,-,-,109  ,08/08/2011
30,Wardha,29,-3,23,1,100,19,3,-,-,-,109  ,08/09/2011
28,Wardha,34,0,22,2,80,20,0,-,-,-,109  ,08/10/2011
27,Wardha,35,1,-,,-,-,-,-,-,-,109  ,08/11/2011
