,0,1,2,3,4,5,6,7,8,9,10,11,12
31,Yeotmal,-,-,9,-,65,11,0,-,-,-,109  ,01/01/2011
31,Yeotmal,31,0,14,-3,50,5,0,-,-,-,109  ,01/02/2011
32,Yeotmal,33,-1,15,-4,70,32,0,-,-,-,109  ,01/03/2011
30,Yeotmal,38,0,-,,-,-,-,-,-,-,109  ,01/04/2011
31,Yeotmal,41,1,18,-10,70,35,2,29,0,3,109  ,01/05/2011
32,Yeotmal,43,4,25,-2,47,-10,0,-,-,-,109  ,01/06/2011
32,Yeotmal,34,0,20,-6,65,-13,0,-,-,-,109  ,01/07/2011
31,Yeotmal,29,0,19,-3,96,9,3,-,-,-,109  ,01/09/2011
30,Yeotmal,32,2,-,,-,-,-,-,-,-,109  ,01/10/2011
31,Yeotmal,31,-,-,-,-,-,-,-,-,-,109  ,01/11/2011
30,Yeotmal,30,1,16,1,60,9,0,-,-,-,109  ,01/12/2011
32,Yeotmal,31,0,14,-3,50,5,0,-,-,-,109  ,02/02/2011
32,Yeotmal,32,-3,16,4,60,22,0,0,-2,0.0,109  ,02/03/2011
32,Yeotmal,-,-,19,-,30,-7,0,-,-,-,109  ,02/04/2011
32,Yeotmal,38,4,19,-9,60,25,0,-,-,-,109  ,02/05/2011
32,Yeotmal,42,3,25,-2,55,2,0,-,-,-,109  ,02/06/2011
31,Yeotmal,35,1,-,,-,-,-,-,-,-,109  ,02/07/2011
31,Yeotmal,30,1,19,3,98,10,12,-,-,-,109  ,02/08/2011
30,Yeotmal,26,-3,17,-5,95,9,12,-,-,-,109  ,02/09/2011
29,Yeotmal,31,1,15,-2,45,-12,0,-,-,-,109  ,02/11/2011
29,Yeotmal,30,1,16,1,65,14,0,-,-,-,109  ,02/12/2011
32,Yeotmal,26,-2,9,-6,50,-4,0,0,0,0,109  ,03/01/2011
32,Yeotmal,32,1,-,,-,-,-,-,-,-,109  ,03/02/2011
32,Yeotmal,33,-2,17,-3,55,17,0,0,-4,1,109  ,03/03/2011
32,Yeotmal,38,0,19,-5,28,-9,0,-,-,-,109  ,03/04/2011
29,Yeotmal,40,1,21,-6,60,3,3,-,-,-,109  ,03/06/2011
30,Yeotmal,35,1,25,-1,75,-3,0,-,-,-,109  ,03/07/2011
31,Yeotmal,31,2,20,-2,90,2,0,-,-,-,109  ,03/08/2011
31,Yeotmal,28,-2,17,-5,90,3,5,-,-,-,109  ,03/09/2011
30,Yeotmal,33,3,-,,-,-,-,-,-,-,109  ,03/10/2011
27,Yeotmal,-,-,15,-,40,-17,0,-,-,-,109  ,03/11/2011
31,Yeotmal,29,0,14,-1,65,14,0,-,-,-,109  ,03/12/2011
32,Yeotmal,26,-2,9,-6,50,-4,0,0,-1,0,109  ,04/01/2011
31,Yeotmal,-,-,14,-,35,10,0,-,-,-,109  ,04/02/2011
31,Yeotmal,38,0,19,-5,27,10,0,-,-,-,109  ,04/04/2011
32,Yeotmal,41,1,-,,-,-,-,-,-,-,109  ,04/05/2011
31,Yeotmal,39,0,20,-7,80,23,13,-,-,-,109  ,04/06/2011
30,Yeotmal,33,-1,-,,-,-,-,-,-,-,109  ,04/07/2011
29,Yeotmal,29,0,17,-5,98,11,37,-,-,-,109  ,04/08/2011
31,Yeotmal,30,0,17,-5,95,8,19,-,-,-,109  ,04/09/2011
30,Yeotmal,33,2,22,1,75,1,0,-,-,-,109  ,04/10/2011
31,Yeotmal,31,1,-,,-,-,-,-,-,-,109  ,04/11/2011
29,Yeotmal,25,-3,9,-6,47,-7,0,-,-,-,109  ,05/01/2011
32,Yeotmal,31,0,13,-4,35,-8,0,-,-,-,109  ,05/02/2011
32,Yeotmal,35,0,19,-1,55,17,0,-,-,-,109  ,05/03/2011
31,Yeotmal,39,1,18,-6,28,-9,0,-,-,-,109  ,05/04/2011
31,Yeotmal,35,-4,20,-6,80,18,13,-,-,-,109  ,05/06/2011
31,Yeotmal,27,-2,18,-4,90,3,1,-,-,-,109  ,05/08/2011
31,Yeotmal,30,0,17,5,90,3,13,-,-,-,109  ,05/09/2011
18,Yeotmal,34,3,21,0,70,-1,0,-,-,-,109  ,05/10/2011
31,Yeotmal,31,2,14,-1,68,16,0,9,-,-,109  ,05/12/2011
32,Yeotmal,24,-4,6,-9,40,-14,0,-,-,-,109  ,06/01/2011
32,Yeotmal,-,-,13,-,55,12,0,-,-,-,109  ,06/02/2011
32,Yeotmal,36,1,18,-2,55,17,0,-,-,-,109  ,06/03/2011
31,Yeotmal,38,0,20,-4,45,8,0,-,-,-,109  ,06/04/2011
29,Yeotmal,40,-2,24,-4,37,1,0,-,-,-,109  ,06/05/2011
31,Yeotmal,37,-2,21,-5,85,23,1,-,-,-,109  ,06/06/2011
30,Yeotmal,28,5,18,-7,98,17,36,-,-,-,109  ,06/07/2011
30,Yeotmal,29,0,18,-4,95,8,4,-,-,-,109  ,06/08/2011
31,Yeotmal,30,0,18,-4,80,-7,0,-,-,-,109  ,06/09/2011
31,Yeotmal,-,-,22,-,70,-4,0,-,-,-,109  ,06/10/2011
30,Yeotmal,32,2,16,-1,40,-17,0,-,-,-,109  ,06/11/2011
31,Yeotmal,24,-4,7,-8,40,-14,0,-,-,-,109  ,07/01/2011
28,Yeotmal,-,-,13,-,40,-3,0,-,-,-,109  ,07/02/2011
31,Yeotmal,37,2,19,-2,48,10,0,-,-,-,109  ,07/03/2011
32,Yeotmal,34,-4,19,-5,57,20,16,-,-,-,109  ,07/04/2011
31,Yeotmal,40,-2,24,-4,40,4,0,-,-,-,109  ,07/05/2011
31,Yeotmal,39,0,22,-4,70,8,2,-,-,-,109  ,07/06/2011
31,Yeotmal,30,-3,18,-8,65,-16,13,-,-,-,109  ,07/07/2011
31,Yeotmal,27,-2,18,-4,90,3,2,-,-,-,109  ,07/08/2011
30,Yeotmal,30,0,18,-4,85,-2,0,-,-,-,109  ,07/09/2011
31,Yeotmal,34,3,21,0,75,1,0,-,-,-,109  ,07/10/2011
31,Yeotmal,33,3,-,,-,-,-,-,-,-,109  ,07/11/2011
29,Yeotmal,32,4,-,,-,-,-,-,-,-,109  ,07/12/2011
31,Yeotmal,24,-4,7,-8,42,-12,0,-,-,-,109  ,08/01/2011
30,Yeotmal,33,2,14,-3,38,5,0,-,-,-,109  ,08/02/2011
32,Yeotmal,37,2,-,,-,-,-,-,-,-,109  ,08/03/2011
32,Yeotmal,35,-3,16,-8,65,28,10,-,-,-,109  ,08/04/2011
30,Yeotmal,40,-2,25,-3,33,-3,0,29,-5,3,109  ,08/05/2011
