,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,1,27,2,85,-4,2,-,-,-,226  
1,Bhira,-,-,23,-,95,-3,48,4185,625,419,490  
2,Dahanu,30,0,25,0,95,7,6,2069,614,207,200  
3,Goa(Dabolim),29,-,-,,-,-,-,-,-,-,275  
4,Goa(Panjim),30,1,25,0,92,0,1,2231,12,230.98,294  
5,Harnai,29,0,25,1,90,1,5,2440,594,244,252  
6,Mumbai (CLB),30,1,26,1,93,4,2,1996,434,199.61,216  
7,Mumbai (SCZ),30,0,24,-1,84,-3,3,2173,502,217.35,235  
8,Ratnagiri,30,2,25,1,90,-1,4,25,314,255,301  
9,Ahmednagar,29,0,-,-,90,7,0,232,-19,23,62   
10,Jalgaon,32,1,23,0,90,2,5,787,320,82,75   
11,Kolhapur,28,2,22,1,95,2,TR,600,-34,66,107  
12,Mahabaleshwar,19,-1,17,0,100,1,24,5367,1112,570,582  
13,Malegaon,29,-1,21,-1,90,8,0,420,138,43,56   
14,Nasik,27,-1,21,0,90,3,0,509,137,55,68   
15,Pune,29,2,21,-1,95,9,TR,476,83,48,74   
16,Pune AP(LHG),30,-,22,-,100,-,TR,460,136,47,-
17,Sangli,-,-,21,-,95,6,0,211,-65,30,67   
18,Satara,27,1,-,,-,-,-,-,-,-,96   
19,Solapur,31,0,23,1,90,8,0,453,130,55,76   
20,Aurangabad,30,1,22,1,85,-1,0,436,45,44,77   
21,Nanded,31,0,21,-1,95,13,0,724,203,75,94   
22,Osmanabad,30,-,18,-,85,-,1,653,257,68,82   
23,Parbhani,31,0,23,0,85,2,3,791,277,83,97   
24,Akola,33,2,24,1,85,1,0,686,203,74,83   
25,Amravati,31,1,22,-1,85,-2,0,688,194,73,89   
26,Brahmapuri,33,3,23,0,80,-8,0,1733,917,178,139  
27,Buldhana,29,2,21,0,95,8,4,731,243,78,85   
28,Chandrapur,31,1,27,3,85,0,0,1384,633,145,128  
29,Nagpur,33,2,25,1,98,13,0,1233,605,128,113  
30,Wardha,33,3,23,1,90,4,0,1230,607,133,109  
31,Yeotmal,30,1,22,0,85,0,1,869,233,95,109  
32,Ahmedabad,33,1,25,0,94,6,3,735,236,74.16,78   
33,Delhi (PLM),31,3,26,0,95,13,2,403,-38,47,75   
34,Delhi (SFD),31,3,25,-1,98,18,16,455,86,57,78   
35,Bangalore A.P,25,-2,-,,-,-,-,-,-,-,-
