5/9/2012, Time: 13:00 HRS IST, NIL Warning  
12/9/2012, Time: 13:00 HRS IST, NIL Warning  
12/9/2012, Time: 21:00 HRS IST, NIL Warning  
5/9/2012, Time: 13:00 HRS IST, NIL Warning  
10/09/2012,Time:1300 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES OVER KONKAN-GOA DURING NEXT 24 HOURS
10/09/2012,Time:2100 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL MAY OCCUR AT ISOLATED PLACES OVER KONKAN-GOADURING NEXT 12 HOURS.
11/09/2012,Time:1300 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES OVER KONKAN-GOAAND VIDARBHA DURING NEXT 24 HOURS.
12/9/2012, Time: 13:00 HRS IST, NIL Warning  
12/9/2012, Time: 21:00 HRS IST, NIL Warning  
13/9/2012, Time: 13:00 HRS IST, NIL Warning  
14/9/2012, Time: 13:00 HRS IST, NIL Warning  
15/9/2012, Time: 13:00 HRS IST, NIL Warning  
16/9/2012, Time: 13:00 HRS IST, NIL Warning  
17/09/201,Time:1300 HRS IST,HEAVY  RAINFALLWARNING: NIL
18/9/2012, Time: 13:00 HRS IST, NIL Warning  
20/9/2012, Time: 13:00 HRS IST, NIL Warning  
23/9/2012, Time: 13:00 HRS IST, NIL Warning  
24/9/2012, Time: 13:00 HRS IST, NIL Warning  
25/9/2012, Time: 13:00 HRS IST, NIL Warning  
26/9/2012, Time: 13:00 HRS IST, NIL Warning  
27/9/2012, Time: 13:00 HRS IST, NIL Warning  
28/9/2012, Time: 13:00 HRS IST, NIL Warning  
29/9/2012, Time: 13:00 HRS IST, NIL Warning  
1/10/2012, Time: 13:00 HRS IST, NIL Warning  
01/10/2012,Time:2100 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAIN WOULD OCCUR AT ISOLATED PLACES OVER MARATHWADA DURING NEXT 48 HOURS.
8/10/2012, Time: 13:00 HRS IST, NIL Warning  
9/10/2012, Time: 13:00 HRS IST, NIL Warning  
9/10/2012, Time: 21:00 HRS IST, NIL Warning  
11/10/2012, Time: 13:00 HRS IST, NIL Warning  
12/10/2012, Time: 13:00 HRS IST, NIL Warning  
13/10/2012, Time: 13:00 HRS IST, NIL Warning  
13/10/2012, Time: 21:00 HRS IST, NIL Warning  
14/10/2012, Time: 13:00 HRS IST, NIL Warning  
15/10/2012, Time: 13:00 HRS IST, NIL Warning  
16/10/2012, Time: 13:00 HRS IST, NIL Warning  
17/10/2012, Time: 13:00 HRS IST, NIL Warning  
19/10/2012, Time: 13:00 HRS IST, NIL Warning  
20/10/2012, Time: 13:00 HRS IST, NIL Warning  
22/10/2012, Time: 13:00 HRS IST, NIL Warning  
23/10/2012, Time: 13:00 HRS IST, NIL Warning  
23/10/2012, Time: 21:00 HRS IST, NIL Warning  
24/10/2012, Time: 13:00 HRS IST, NIL Warning  
25/10/2012, Time: 13:00 HRS IST, NIL Warning  
27/10/2012, Time: 13:00 HRS IST, NIL Warning  
28/10/2012, Time: 13:00 HRS IST, NIL Warning  
29/10/2012, Time: 13:00 HRS IST, NIL Warning  
30/10/2012, Time: 13:00 HRS IST, NIL Warning  
31/10/2012, Time: 13:00 HRS IST, NIL Warning  
1/11/2012, Time: 13:00 HRS IST, NIL Warning  
2/11/2012, Time: 13:00 HRS IST, NIL Warning  
3/11/2012, Time: 13:00 HRS IST, NIL Warning  
4/11/2012, Time: 13:00 HRS IST, NIL Warning  
5/11/2012, Time: 13:00 HRS IST, NIL Warning  
5/11/2012, Time: 21:00 HRS IST, NIL Warning  
6/11/2012, Time: 13:00 HRS IST, NIL Warning  
7/11/2012, Time: 13:00 HRS IST, NIL Warning  
8/11/2012, Time: 13:00 HRS IST, NIL Warning  
9/11/2012, Time: 13:00 HRS IST, NIL Warning  
10/11/2012, Time: 13:00 HRS IST, NIL Warning  
11/11/2012, Time: 13:00 HRS IST, NIL Warning  
12/11/2012, Time: 13:00 HRS IST, NIL Warning  
13/11/2012, Time: 13:00 HRS IST, NIL Warning  
14/11/2012, Time: 13:00 HRS IST, NIL Warning  
16/11/2012, Time: 13:00 HRS IST, NIL Warning  
17/11/2012, Time: 13:00 HRS IST, NIL Warning  
18/11/2012, Time: 13:00 HRS IST, NIL Warning  
19/11/2012, Time: 13:00 HRS IST, NIL Warning  
20/11/2012, Time: 13:00 HRS IST, NIL Warning  
22/11/2012, Time: 13:00 HRS IST, NIL Warning  
23/11/2012, Time: 13:00 HRS IST, NIL Warning  
24/11/2012, Time: 13:00 HRS IST, NIL Warning  
25/11/2012, Time: 13:00 HRS IST, NIL Warning  
26/11/2012, Time: 13:00 HRS IST, NIL Warning  
27/11/2012, Time: 13:00 HRS IST, NIL Warning  
29/11/2012, Time: 13:00 HRS IST, NIL Warning  
30/11/2012, Time: 13:00 HRS IST, NIL Warning  
1/12/2012, Time: 13:00 HRS IST, NIL Warning  
2/12/2012, Time: 13:00 HRS IST, NIL Warning  
3/12/2012, Time: 13:00 HRS IST, NIL Warning  
4/12/2012, Time: 13:00 HRS IST, NIL Warning  
5/12/2012, Time: 13:00 HRS IST, NIL Warning  
6/12/2012, Time: 13:00 HRS IST, NIL Warning  
7/12/2012, Time: 13:00 HRS IST, NIL Warning  
8/12/2012, Time: 13:00 HRS IST, NIL Warning  
9/12/2012, Time: 13:00 HRS IST, NIL Warning  
12/12/2012, Time: 13:00 HRS IST, NIL Warning  
13/12/2012, Time: 13:00 HRS IST, NIL Warning  
14/12/2012, Time: 13:00 HRS IST, NIL Warning  
15/12/2012, Time: 13:00 HRS IST, NIL Warning  
16/12/2012, Time: 13:00 HRS IST, NIL Warning  
17/12/2012, Time: 13:00 HRS IST, NIL Warning  
18/12/2012, Time: 13:00 HRS IST, NIL Warning  
19/12/2012, Time: 13:00 HRS IST, NIL Warning  
20/12/2012, Time: 13:00 HRS IST, NIL Warning  
21/12/2012, Time: 13:00 HRS IST, NIL Warning  
22/12/2012, Time: 13:00 HRS IST, NIL Warning  
24/12/2012, Time: 13:00 HRS IST, NIL Warning  
25/12/2012, Time: 13:00 HRS IST, NIL Warning  
26/12/2012, Time: 13:00 HRS IST, NIL Warning  
28/12/2012, Time: 13:00 HRS IST, NIL Warning  
29/12/2012, Time: 13:00 HRS IST, NIL Warning  
30/12/2012, Time: 13:00 HRS IST, NIL Warning  
31/12/2012, Time: 13:00 HRS IST, NIL Warning  
5/9/2012, Time: 13:00 HRS IST, NIL Warning  
10/09/2012,Time:1300 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES OVER KONKAN-GOA DURING NEXT 24 HOURS
10/09/2012,Time:2100 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL MAY OCCUR AT ISOLATED PLACES OVER KONKAN-GOADURING NEXT 12 HOURS.
11/09/2012,Time:1300 HRS IST,HEAVY RAINFALLWARNING: HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES OVER KONKAN-GOAAND VIDARBHA DURING NEXT 24 HOURS.
